n1,n2,weight
1,2,2.2195e+00
1,3,-4.3940e-02
1,4,-4.3824e-01
1,5,2.6138e+00
1,6,1.1809e+00
1,7,9.9468e-01
1,8,7.8656e-01
1,9,2.7642e+00
1,10,-2.1714e+00
1,11,1.2671e+00
1,12,2.7822e-01
1,13,2.5741e+00
1,14,2.2195e+00
1,15,1.1809e+00
1,16,2.1697e+00
1,17,-1.6630e+00
1,18,2.0657e+00
1,19,2.7822e-01
1,20,2.9359e+00
2,1,-9.4657e-01
2,3,-1.6630e+00
2,4,-9.4657e-01
2,5,-9.4657e-01
2,6,1.5030e+00
2,7,1.5030e+00
2,8,2.7822e-01
2,9,-1.6630e+00
2,10,-4.3824e-01
2,11,-2.1714e+00
2,12,7.8656e-01
2,13,1.8973e+00
2,14,9.9468e-01
2,15,-1.6630e+00
2,16,6.7252e-01
2,17,2.7822e-01
2,18,1.1809e+00
2,19,-4.3824e-01
2,20,-4.3940e-02
3,1,-9.4657e-01
3,2,-2.1714e+00
3,4,-4.3940e-02
3,5,-9.4657e-01
3,6,-4.1126e+00
3,7,-9.4657e-01
3,8,1.7754e+00
3,9,1.5030e+00
3,10,-4.3940e-02
3,11,-2.1714e+00
3,12,-6.7419e-01
3,13,1.7111e+00
3,14,2.7822e-01
3,15,-1.6630e+00
3,16,-1.6630e+00
3,17,-9.4657e-01
3,18,6.7252e-01
3,19,-4.3940e-02
3,20,-2.3011e-01
4,1,-1.6630e+00
4,2,1.1809e+00
4,3,2.7822e-01
4,5,9.9468e-01
4,6,2.7822e-01
4,7,1.3493e+00
4,8,2.7822e-01
4,9,6.7252e-01
4,10,7.8656e-01
4,11,9.9468e-01
4,12,-4.3940e-02
4,13,5.5061e-01
4,14,-2.1714e+00
4,15,2.7822e-01
4,16,1.5030e+00
4,17,2.7822e-01
4,18,2.7278e+00
4,19,-4.3940e-02
4,20,2.9359e+00
5,1,1.2671e+00
5,2,1.7754e+00
5,3,7.8656e-01
5,4,2.7822e-01
5,6,-2.8878e+00
5,7,-9.4657e-01
5,8,9.9468e-01
5,9,-4.3940e-02
5,10,2.7822e-01
5,11,1.1809e+00
5,12,-4.3824e-01
5,13,1.7754e+00
5,14,-4.3940e-02
5,15,-4.3940e-02
5,16,7.8656e-01
5,17,-9.4657e-01
5,18,-2.1714e+00
5,19,-1.2687e+00
5,20,-4.3940e-02
6,1,3.2083e+00
6,2,-4.3824e-01
6,3,2.4056e+00
6,4,-4.1126e+00
6,5,-9.4657e-01
6,7,2.1697e+00
6,8,1.5030e+00
6,9,2.7822e-01
6,10,-2.8878e+00
6,11,-2.8878e+00
6,12,-4.3824e-01
6,13,1.8973e+00
6,14,-6.7419e-01
6,15,2.4056e+00
6,16,-2.3011e-01
6,17,-9.4657e-01
6,18,1.5030e+00
6,19,-2.1714e+00
6,20,1.1809e+00
7,1,1.1809e+00
7,2,-1.6630e+00
7,3,1.2671e+00
7,4,-2.8878e+00
7,5,-4.3824e-01
7,6,-9.4657e-01
7,8,-9.4657e-01
7,9,7.8656e-01
