n1,n2,fij
1,2,2.5511e+00
1,3,1.7626e+00
1,4,1.8169e+00
1,5,-1.5227e+00
1,6,1.2980e+00
1,7,1.0439e+00
1,8,3.0441e-01
1,9,1.4304e-02
1,10,7.2896e-03
1,11,4.4991e+00
1,12,2.3453e+00
1,13,2.3061e+00
1,14,1.5005e+00
1,15,4.6909e+00
1,16,2.9324e+00
1,17,6.0692e+00
1,18,2.1786e+00
2,3,-1.7061e+00
2,4,-1.3021e+00
2,5,-1.8370e+00
2,6,-2.3978e+00
2,7,-5.6510e-01
2,8,2.1808e+00
2,9,-3.6026e+00
2,10,-1.3930e+00
2,11,3.9997e-01
2,12,-3.0246e+00
2,13,-2.2944e+00
2,14,-2.0619e+00
2,15,-2.4917e+00
2,16,2.1088e+00
2,17,-3.9732e+00
2,18,3.6061e+00
3,4,1.6909e+00
3,5,1.3316e-01
3,6,-2.9215e-01
3,7,2.4102e+00
3,8,2.2404e+00
3,9,1.5124e+00
3,10,5.1681e-03
3,11,1.4792e-01
3,12,1.4661e+00
3,13,1.1404e+00
3,14,-2.8433e+00
3,15,2.1120e+00
3,16,2.7391e+00
3,17,-1.6560e-01
3,18,3.1244e+00
4,5,9.5029e-01
4,6,4.0418e-01
4,7,2.9624e+00
4,8,-7.0714e-01
4,9,-2.2689e+00
4,10,-1.5368e+00
4,11,-8.2932e-01
4,12,2.4867e+00
4,13,-5.1479e-01
4,14,2.5856e+00
4,15,5.8211e-01
4,16,1.5465e+00
4,17,-7.8502e-01
4,18,2.4945e+00
5,6,6.7212e-01
5,7,5.0413e+00
5,8,7.8034e-01
5,9,-5.0479e-01
5,10,2.3890e+00
5,11,9.0925e-01
5,12,-5.3162e-01
5,13,2.1981e+00
5,14,8.9639e-01
5,15,1.7492e+00
5,16,-2.6875e-01
5,17,6.0959e-01
5,18,2.2286e+00
6,7,-2.2032e-01
6,8,2.3752e+00
6,9,1.0271e+00
6,10,2.4049e+00
6,11,3.1977e+00
6,12,2.1401e+00
6,13,-1.0417e+00
6,14,2.4527e+00
6,15,7.9279e-01
6,16,3.9127e-01
6,17,2.3870e+00
6,18,1.8739e+00
7,8,-1.8557e+00
7,9,-2.5742e+00
7,10,-3.1248e-02
7,11,-1.3200e+00
7,12,-3.0796e+00
7,13,7.3084e-02
7,14,3.3451e+00
7,15,-1.1895e+00
7,16,2.9414e+00
7,17,-4.8460e+00
7,18,-1.3238e+00
8,9,-2.9167e+00
8,10,-1.8495e-02
8,11,-4.6984e-01
8,12,1.0143e+00
8,13,3.3469e-01
8,14,3.8117e+00
8,15,-8.1512e-01
8,16,-2.6142e+00
8,17,-2.4999e+00
8,18,1.7989e-01
9,10,-9.1093e-01
9,11,-4.3620e-01
9,12,-2.7384e+00
9,13,-2.7589e-01
9,14,-3.8901e+00
9,15,-3.3837e+00
9,16,-1.7691e+00
9,17,-6.9646e-01
9,18,1.4537e+00
10,11,-2.9583e+00
10,12,-1.9874e+00
10,13,-6.1101e-01
10,14,-1.8789e+00
10,15,8.7917e-01
10,16,-1.4320e+00
10,17,2.3058e-01
10,18,4.5139e-01
11,12,-2.1139e+00
11,13,2.3083e+00
11,14,-1.0527e+00
11,15,4.5762e-01
11,16,7.9315e-01
11,17,1.7484e+00
11,18,1.0481e+00
12,13,2.9587e-03
12,14,2.7664e+00
12,15,2.6592e-01
12,16,3.6155e+00
12,17,3.1974e+00
12,18,-2.5684e+00
13,14,-1.0406e+00
13,15,2.2489e+00
13,16,-4.9267e-02
13,17,4.8521e+00
13,18,1.1886e+00
14,15,-2.5855e+00
14,16,-8.5230e-01
14,17,1.2215e+00
14,18,3.5731e-01
15,16,4.0220e+00
15,17,-1.4089e+00
15,18,-4.7097e-01
16,17,-2.0286e+00
16,18,-2.9388e+00
17,18,-8.0343e-01
