n1,n2,weight
1,2,1.8358e+00
1,3,2.6303e+00
1,4,1.5819e+00
1,5,-7.9163e-01
1,6,1.9574e+00
1,7,3.6340e+00
1,8,-7.4001e-01
1,9,5.3938e+00
1,10,2.1086e+00
1,11,5.3880e+00
1,12,1.3033e+00
1,13,4.7405e+00
1,14,2.7629e+00
1,15,1.3219e+00
1,16,2.7038e+00
1,17,3.5353e+00
1,18,5.8885e+00
2,1,-4.0845e-01
2,3,-2.7635e+00
2,4,7.4647e-03
2,5,-2.2831e+00
2,6,-2.6403e+00
2,7,-1.0343e+00
2,8,4.5074e-01
2,9,-1.7388e+00
2,10,-1.5783e+00
2,11,4.2700e-03
2,12,-1.6688e+00
2,13,-1.1105e+00
2,14,-1.4265e+00
2,15,-2.4488e+00
2,16,-1.3979e+00
2,17,-3.0322e+00
2,18,-1.5248e-01
3,1,-2.1458e+00
3,2,-4.7315e-01
3,4,-1.7500e+00
3,5,-9.4038e-01
3,6,-1.1832e+00
3,7,2.6667e+00
3,8,-8.6090e-01
3,9,-1.2325e-01
3,10,7.1898e-01
3,11,3.1283e-01
3,12,7.2383e-02
3,13,-1.1571e+00
3,14,-1.3253e+00
3,15,-1.3402e+00
3,16,-7.8458e-01
3,17,-1.4581e+00
3,18,-1.1470e+00
4,1,-4.7003e-01
4,2,-3.3572e-01
4,3,-2.1183e-01
4,5,1.1046e+00
4,6,-7.1445e-01
4,7,4.0465e-01
4,8,1.3781e+00
4,9,-3.9142e-01
4,10,2.0182e+00
4,11,7.0238e-01
4,12,5.9735e-01
4,13,-4.6639e-01
4,14,6.2298e+00
4,15,1.4520e+00
4,16,1.0607e+00
4,17,-5.9836e-01
4,18,3.9294e-01
5,1,5.2841e-01
5,2,2.6656e-01
5,3,-6.7507e-02
5,4,-3.6271e-01
5,6,2.9347e-01
5,7,5.3357e-01
5,8,-8.1980e-01
5,9,-1.8651e-01
5,10,2.2680e+00
5,11,5.6413e-02
5,12,8.7187e-01
5,13,1.4182e+00
5,14,1.9003e+00
5,15,6.5305e-01
5,16,2.1537e-01
5,17,-9.1288e-01
5,18,2.3376e+00
6,1,-1.5684e+00
6,2,1.4588e+00
6,3,7.5597e-01
6,4,2.2057e-01
6,5,-7.6233e-01
6,7,1.0089e-01
6,8,7.9685e-01
6,9,4.3788e-01
6,10,3.9197e+00
6,11,-5.9553e-01
6,12,2.7374e+00
6,13,3.8884e-01
6,14,2.3050e+00
6,15,1.2127e+00
6,16,-5.3864e-01
6,17,-1.6236e-02
6,18,1.3971e+00
7,1,-1.1906e+00
7,2,5.8705e-01
7,3,-1.8301e+00
7,4,6.2842e-01
7,5,-2.4593e+00
7,6,-2.4422e+00
7,8,-2.3062e+00
7,9,-1.4955e+00
7,10,-4.6908e-01
7,11,-4.2484e-01
7,12,-1.9066e+00
7,13,-9.2384e-01
7,14,1.2956e+00
7,15,1.5305e+00
7,16,-7.9248e-01
7,17,-2.8669e+00
7,18,-3.2543e-01
8,1,-8.2010e-01
8,2,-1.5822e+00
8,3,-1.0291e+00
8,4,4.1633e-01
8,5,-7.0982e-01
8,6,-1.1662e+00
8,7,-8.4784e-01
8,9,-1.4014e+00
8,10,-1.7751e+00
8,11,-5.0602e-01
8,12,1.3592e+00
8,13,-1.0426e+00
8,14,-3.5406e-01
8,15,-1.5397e+00
8,16,-1.9249e+00
8,17,-2.3235e+00
8,18,-2.1386e+00
9,1,-2.4880e+00
9,2,3.6548e+00
9,3,6.5398e-01
9,4,1.3217e+00
9,5,-7.7648e-01
9,6,7.3163e-01
9,7,2.9990e+00
9,8,2.2125e+00
9,10,-1.1584e+00
9,11,2.0899e+00
9,12,-2.0492e+00
9,13,1.3306e-01
9,14,-1.0815e+00
9,15,-1.6840e-01
9,16,-8.8688e-01
9,17,4.4811e-01
9,18,3.0923e-01
10,1,-1.4080e+00
10,2,-6.0706e-01
10,3,-6.1166e-01
10,4,-4.6437e-01
10,5,-2.4777e+00
10,6,-1.8767e+00
10,7,-1.6370e+00
10,8,-1.8037e-01
10,9,1.3110e+00
10,11,9.6895e-01
10,12,3.1269e-01
10,13,-1.3622e+00
10,14,-1.7523e+00
10,15,-2.2895e-01
10,16,-1.6486e+00
10,17,-1.1022e+00
