n1,n2,fij
1,2,-2.7352e+00
1,3,-6.0459e-01
1,4,-3.7575e+00
1,5,-1.7178e+00
1,6,-1.0148e+00
1,7,-4.6610e-01
1,8,-8.7314e-01
1,9,3.4994e+00
1,10,-1.5946e+00
1,11,-3.2685e+00
1,12,-2.7346e+00
1,13,1.5948e+00
1,14,1.4112e+00
1,15,-4.9734e+00
1,16,1.9226e+00
1,17,-1.9739e+00
1,18,2.4484e+00
2,3,4.1899e+00
2,4,7.2729e-01
2,5,1.0044e+00
2,6,9.7043e-01
2,7,1.0912e+00
2,8,-8.8343e-01
2,9,2.8433e+00
2,10,3.2584e+00
2,11,-1.1550e+00
2,12,5.9200e+00
2,13,2.4284e+00
2,14,3.2924e+00
2,15,-1.9580e+00
2,16,2.9355e+00
2,17,1.2572e+00
2,18,-2.2520e-01
3,4,-6.2262e+00
3,5,-3.9392e-01
3,6,1.7783e+00
3,7,-1.6004e+00
3,8,5.2167e-01
3,9,-2.0617e+00
3,10,1.5211e+00
3,11,-9.6919e-01
3,12,1.3840e+00
3,13,-1.7209e+00
3,14,7.8087e-01
3,15,-4.4340e+00
3,16,5.9888e-01
3,17,-3.1151e+00
3,18,-2.1147e+00
4,5,4.8335e-01
4,6,-5.9097e+00
4,7,-2.6485e+00
4,8,-6.1702e-01
4,9,-8.7268e-02
4,10,1.1298e+00
4,11,-2.1038e+00
4,12,9.1916e-01
4,13,-6.7664e-01
4,14,1.2727e+00
4,15,5.6787e-02
4,16,-1.0166e+00
4,17,-1.7730e+00
4,18,2.3161e-01
5,6,-1.2408e+00
5,7,-1.3799e+00
5,8,5.4209e-01
5,9,1.6187e+00
5,10,-1.1350e+00
5,11,8.4255e-01
5,12,6.2196e-01
5,13,3.7775e+00
5,14,2.1152e+00
5,15,-5.0190e+00
5,16,1.6651e+00
5,17,-1.4325e+00
5,18,-1.7555e+00
6,7,3.8015e-02
6,8,-1.7344e+00
6,9,1.4408e+00
6,10,2.4412e+00
6,11,-1.8168e+00
6,12,-1.0149e-01
6,13,-1.0394e+00
6,14,-1.5324e+00
6,15,-2.3408e+00
6,16,1.9613e+00
6,17,-1.3134e-01
6,18,6.4051e-02
7,8,6.8598e-01
7,9,4.6209e+00
7,10,5.2350e-01
7,11,1.2475e+00
7,12,8.7127e-01
7,13,-4.1010e-01
7,14,-4.4260e-01
7,15,-1.7609e+00
7,16,-2.5224e+00
7,17,1.7320e+00
7,18,5.2581e-01
8,9,2.0636e+00
8,10,9.1696e-01
8,11,-1.7421e+00
8,12,-3.3841e-01
8,13,4.1501e+00
8,14,7.6428e-01
8,15,2.0976e-01
8,16,1.5028e+00
8,17,3.3603e+00
8,18,5.5075e-01
9,10,-2.2416e+00
9,11,4.0105e-01
9,12,1.4863e+00
9,13,-1.2805e+00
9,14,-1.7449e+00
9,15,-8.4556e-01
9,16,-1.0695e+00
9,17,-1.1284e-01
9,18,-1.2758e+00
10,11,-1.6027e+00
10,12,-2.8673e+00
10,13,2.0546e+00
10,14,1.1306e+00
10,15,-6.3936e+00
10,16,-9.5138e-01
10,17,8.9077e-01
10,18,4.0771e-01
11,12,4.4707e+00
11,13,-3.2927e-01
11,14,-5.8003e-01
11,15,1.1805e+00
11,16,4.5858e-01
11,17,4.7561e-01
11,18,1.7536e-01
12,13,2.4515e-01
12,14,-2.8558e+00
12,15,-1.3229e+00
12,16,8.0264e-01
12,17,-2.5179e+00
12,18,-7.2133e-01
13,14,-1.2244e+00
13,15,-1.1759e+00
13,16,-5.6695e-01
13,17,-4.5133e+00
13,18,-3.6569e-01
14,15,1.8192e+00
14,16,6.8223e-01
14,17,1.4726e+00
14,18,3.8084e-01
15,16,1.2921e+00
15,17,3.1788e+00
15,18,-1.0946e+00
16,17,2.5163e+00
16,18,1.1766e+00
17,18,2.2451e+00
