n1,n2,fij
1,2,-2.4429e+00
1,3,-2.3789e+00
1,4,7.2211e-02
1,5,4.5969e-01
1,6,-2.3267e+00
1,7,-4.9241e+00
1,8,1.1292e+00
1,9,-5.0334e+00
1,10,-6.2418e+00
1,11,-5.1980e+00
1,12,-4.1195e+00
1,13,-5.4887e+00
1,14,-4.2064e+00
1,15,-4.3330e+00
1,16,-6.0232e+00
1,17,-5.8211e+00
1,18,-7.2761e+00
2,3,2.2643e-01
2,4,-4.4857e-02
2,5,8.8935e-02
2,6,1.3586e+00
2,7,3.6803e+00
2,8,-6.8140e-01
2,9,2.3605e+00
2,10,-3.0867e+00
2,11,9.4560e-01
2,12,1.1913e+00
2,13,-4.5970e-01
2,14,-1.2387e+00
2,15,-3.0552e-01
2,16,1.6924e+00
2,17,5.6993e-02
2,18,-7.4775e-01
3,4,1.4645e+00
3,5,1.3135e+00
3,6,3.5337e+00
3,7,-4.3797e+00
3,8,-1.0122e+00
3,9,1.0726e+00
3,10,-3.6872e+00
3,11,-2.5592e+00
3,12,-8.0349e-01
3,13,-3.6100e+00
3,14,-2.3900e+00
3,15,-2.8477e+00
3,16,1.5773e+00
3,17,5.3615e-01
3,18,-6.9850e-02
4,5,-2.4929e+00
4,6,-3.0769e+00
4,7,-4.3564e-01
4,8,-1.0915e+00
4,9,-4.9502e+00
4,10,-4.4238e+00
4,11,-4.2274e+00
4,12,-3.6466e+00
4,13,-4.4349e+00
4,14,-6.6559e+00
4,15,-2.2545e+00
4,16,-2.2867e+00
4,17,1.9736e-01
4,18,-5.6544e+00
5,6,-2.7434e-01
5,7,3.8748e-01
5,8,6.9310e-01
5,9,1.1720e-02
5,10,-2.3676e+00
5,11,1.3084e+00
5,12,-5.1649e+00
5,13,-2.7979e-01
5,14,-4.5076e+00
5,15,-2.0708e+00
5,16,-3.2051e-01
5,17,-7.8359e-01
5,18,-3.4265e+00
6,7,-3.0647e+00
6,8,-1.0720e+00
6,9,-1.2695e+00
6,10,-3.1359e+00
6,11,-2.3364e+00
6,12,-2.2184e+00
6,13,-2.2835e+00
6,14,-1.8251e+00
6,15,-5.0436e+00
6,16,-2.1746e+00
6,17,-5.4906e+00
6,18,-1.0401e+00
7,8,2.1648e+00
7,9,2.3115e+00
7,10,1.6047e+00
7,11,1.1216e+00
7,12,-7.4474e-01
7,13,7.9850e-01
7,14,5.3249e-01
7,15,-1.2199e+00
7,16,1.7258e+00
7,17,4.7729e+00
7,18,2.4073e+00
8,9,2.3581e+00
8,10,6.2725e-01
8,11,-9.2238e-01
8,12,-6.2925e+00
8,13,-1.2537e+00
8,14,-1.6716e-01
8,15,-1.3892e+00
8,16,1.4594e+00
8,17,1.8248e+00
8,18,-2.2005e-01
9,10,-1.9699e-01
9,11,3.9748e-01
9,12,2.8782e-01
9,13,-7.0877e-01
9,14,-5.0401e-01
9,15,-1.4269e+00
9,16,-3.8926e+00
9,17,1.1044e+00
9,18,-1.1944e+00
10,11,-1.5868e-02
10,12,6.4527e-01
10,13,-4.7891e-01
10,14,1.5813e-02
10,15,-1.3700e+00
10,16,2.5885e+00
10,17,4.6429e-01
10,18,8.8084e-01
11,12,-2.0280e+00
11,13,-3.0472e+00
11,14,-3.4235e+00
11,15,1.1784e+00
11,16,5.8458e+00
11,17,-2.2941e-01
11,18,1.3292e+00
12,13,1.6528e+00
12,14,-1.7690e+00
12,15,2.9640e+00
12,16,-1.3519e-01
12,17,-1.7915e+00
12,18,4.1416e+00
13,14,1.8427e+00
13,15,1.8615e+00
13,16,-1.6741e+00
13,17,3.0975e+00
13,18,-1.4562e+00
14,15,8.2764e-01
14,16,-2.0963e+00
14,17,-3.0779e-01
14,18,-1.4640e+00
15,16,7.9032e-01
15,17,2.4609e+00
15,18,-1.7049e+00
16,17,1.1689e+00
16,18,-1.5288e+00
17,18,2.7062e+00
