n1,n2,fij
1,2,-5.2050e+00
1,3,-4.2337e+00
1,4,-2.1010e+00
1,5,-1.1917e+00
1,6,-4.4974e+00
1,7,-5.5640e+00
1,8,5.6257e-01
1,9,-5.3150e+00
1,10,-6.1646e+00
1,11,-6.9025e+00
1,12,-4.3404e+00
1,13,-6.3896e+00
1,14,-5.0407e+00
1,15,-5.6119e+00
1,16,-5.1759e+00
1,17,-5.8242e+00
1,18,-7.2994e+00
2,3,2.0101e+00
2,4,-8.5648e-01
2,5,7.3332e-01
2,6,2.4122e+00
2,7,3.8319e+00
2,8,-1.9729e+00
2,9,3.2495e+00
2,10,-4.1036e-01
2,11,1.9384e+00
2,12,3.9110e+00
2,13,1.9523e-01
2,14,-1.7643e+00
2,15,1.1336e+00
2,16,2.3236e+00
2,17,7.8582e-01
2,18,-9.5291e-01
3,4,-1.2421e+00
3,5,1.7915e-01
3,6,2.5216e+00
3,7,-5.0579e+00
3,8,-1.8567e+00
3,9,4.0147e-01
3,10,-1.9534e+00
3,11,-2.1213e+00
3,12,-8.0457e-01
3,13,-1.6078e+00
3,14,-3.0285e+00
3,15,-3.6584e+00
3,16,2.6370e+00
3,17,-4.8737e-01
3,18,-1.6285e+00
4,5,-2.4404e+00
4,6,-3.6542e+00
4,7,-1.5595e+00
4,8,-6.8815e-01
4,9,-2.2873e+00
4,10,-4.5546e+00
4,11,-3.4999e+00
4,12,-1.7067e+00
4,13,-3.4168e+00
4,14,-6.9593e+00
4,15,-2.0138e+00
4,16,-2.2543e+00
4,17,6.9629e-01
4,18,-3.3675e+00
5,6,-1.0063e+00
5,7,-2.0606e+00
5,8,7.0945e-01
5,9,-6.5232e-01
5,10,-2.8717e+00
5,11,4.6922e-01
5,12,-2.9181e+00
5,13,9.6615e-02
5,14,-4.1854e+00
5,15,-3.6783e+00
5,16,-4.9160e-01
5,17,-8.8452e-01
5,18,-4.3954e+00
6,7,-3.2252e+00
6,8,-1.6311e+00
6,9,-9.7647e-01
6,10,-4.0732e+00
6,11,-2.8336e+00
6,12,-3.3500e+00
6,13,-2.2715e+00
6,14,-3.0371e+00
6,15,-5.5884e+00
6,16,-1.2561e+00
6,17,-4.1776e+00
6,18,-1.5203e+00
7,8,3.3792e+00
7,9,3.7310e+00
7,10,2.6326e-01
7,11,5.3496e-01
7,12,-5.6395e-02
7,13,1.3663e+00
7,14,1.0790e-01
7,15,-3.1872e+00
7,16,1.4600e+00
7,17,4.5364e+00
7,18,2.5369e+00
8,9,4.0794e+00
8,10,1.9708e+00
8,11,-6.3931e-01
8,12,-3.6548e+00
8,13,2.9385e-02
8,14,-3.2804e-01
8,15,-1.6831e+00
8,16,1.4107e+00
8,17,2.9251e+00
8,18,-2.5577e-01
9,10,1.4518e+00
9,11,6.8899e-01
9,12,1.5370e+00
9,13,-7.7723e-01
9,14,-6.9288e-01
9,15,-2.0506e+00
9,16,-2.3220e+00
9,17,-6.6967e-01
9,18,6.3105e-03
10,11,6.4187e-01
10,12,-1.4870e+00
10,13,1.7069e+00
10,14,5.6722e-01
10,15,-3.5372e+00
10,16,1.6992e+00
10,17,1.9016e+00
10,18,7.0274e-02
11,12,-6.9151e-01
11,13,-4.0513e+00
11,14,-2.1384e+00
11,15,6.7210e-01
11,16,3.6026e+00
11,17,-1.5241e+00
11,18,1.4851e+00
12,13,1.3744e+00
12,14,-4.1979e+00
12,15,1.4803e+00
12,16,-4.4763e-01
12,17,-2.6457e+00
12,18,3.0310e+00
13,14,1.0567e+00
13,15,6.7513e-01
13,16,-2.3623e+00
13,17,1.4360e-01
13,18,-8.2218e-01
14,15,-7.0410e-02
14,16,-1.5111e+00
14,17,2.9472e-01
14,18,-6.0423e-01
15,16,1.0388e+00
15,17,3.2223e+00
15,18,-1.9464e+00
16,17,1.8062e+00
16,18,-7.3119e-01
17,18,3.3642e+00
