n1,n2,weight
1,2,2.0782e+00
1,3,2.0230e+00
1,4,7.8554e-01
1,5,-7.0686e-02
1,6,2.0812e+00
1,7,2.8288e+00
1,8,-4.8359e-01
1,9,5.2791e+00
1,10,1.9374e+00
1,11,2.9688e+00
1,12,2.2425e+00
1,13,5.1713e+00
1,14,3.5682e+00
1,15,3.0991e+00
1,16,3.2743e+00
1,17,3.4255e+00
1,18,5.7540e+00
2,1,-1.3069e+00
2,3,-1.8090e+00
2,4,-5.7395e-01
2,5,-1.9638e+00
2,6,-2.2424e+00
2,7,-1.1957e+00
2,8,-1.7953e-01
2,9,-1.3660e+00
2,10,-5.0518e-02
2,11,-2.8973e-01
2,12,-1.4886e+00
2,13,-4.4267e-02
2,14,-8.7658e-01
2,15,-1.8451e+00
2,16,-5.0324e-01
2,17,-2.8366e+00
2,18,7.7443e-01
3,1,-2.5484e+00
3,2,2.8678e-01
3,4,-1.2680e+00
3,5,-6.7383e-01
3,6,-1.6024e+00
3,7,2.0889e+00
3,8,-7.1614e-02
3,9,3.3172e-01
3,10,1.6509e+00
3,11,1.3940e+00
3,12,3.3033e-01
3,13,1.7601e-01
3,14,-8.8872e-01
3,15,-7.4407e-01
3,16,-9.4557e-01
3,17,-1.0490e+00
3,18,-5.2308e-01
4,1,-3.8613e-02
4,2,-3.3874e-01
4,3,-7.1346e-01
4,5,1.5194e+00
4,6,2.2311e-01
4,7,1.3811e-01
4,8,1.1769e+00
4,9,1.2150e+00
4,10,2.7110e+00
4,11,1.9500e+00
4,12,1.9511e+00
4,13,4.9853e-01
4,14,5.3407e+00
4,15,1.6655e+00
4,16,1.3560e+00
4,17,2.7368e-01
4,18,2.8788e+00
5,1,2.1648e-01
5,2,2.9803e-01
5,3,1.4034e+00
5,4,-7.5402e-01
5,6,2.3938e-01
5,7,8.0900e-01
5,8,1.3648e-01
5,9,1.2784e+00
5,10,2.3045e+00
5,11,7.1229e-01
5,12,1.9297e+00
5,13,1.6397e+00
5,14,2.5687e+00
5,15,7.0218e-01
5,16,1.2511e+00
5,17,2.2402e-01
5,18,3.6936e+00
6,1,-1.6914e+00
6,2,2.7117e+00
6,3,8.8079e-01
6,4,7.7538e-01
6,5,-9.0376e-01
6,7,1.0140e+00
6,8,2.3523e+00
6,9,2.1950e+00
6,10,4.6592e+00
6,11,5.4781e-01
6,12,3.5949e+00
6,13,1.1353e+00
6,14,7.8316e-01
6,15,1.4436e+00
6,16,-4.5333e-01
6,17,1.1571e+00
6,18,1.7658e+00
7,1,-1.1702e+00
7,2,2.0189e+00
7,3,-1.8163e+00
7,4,-6.5671e-01
7,5,-1.0512e+00
7,6,-2.3491e+00
7,8,-1.9208e+00
7,9,-4.0967e-01
7,10,-5.4864e-01
7,11,2.9754e-01
7,12,-7.9073e-01
7,13,-6.0008e-01
7,14,4.4130e-01
7,15,1.1485e+00
7,16,-1.2589e+00
7,17,-2.6289e+00
7,18,-9.4022e-01
8,1,-1.4133e+00
8,2,-1.4653e+00
8,3,-1.5759e+00
8,4,4.8869e-01
8,5,-1.5162e+00
8,6,-2.1987e+00
8,7,9.8121e-01
8,9,-8.0629e-01
8,10,-6.6302e-01
8,11,-1.9414e-01
8,12,2.2824e+00
