n1,n2,fij
1,2,-1.0220e+00
1,3,-9.5068e-01
1,4,3.6123e+00
1,5,7.8541e-01
1,6,-2.2594e-01
1,7,-8.2897e-01
1,8,3.5228e+00
1,9,-2.9343e+00
1,10,-1.7018e+00
1,11,1.6434e+00
1,12,-1.0482e+00
1,13,-3.5606e+00
1,14,-4.3924e+00
1,15,-2.2535e+00
1,16,-4.0162e+00
1,17,-1.3811e+00
1,18,-3.5502e+00
2,3,-4.2044e+00
2,4,5.9230e-01
2,5,-7.0270e-01
2,6,3.3779e-01
2,7,-3.2956e-01
2,8,-2.5839e+00
2,9,-2.6305e+00
2,10,-2.2325e+00
2,11,1.2445e+00
2,12,-1.2645e-02
2,13,-2.1388e+00
2,14,-3.7247e+00
2,15,-6.3972e-01
2,16,1.6710e+00
2,17,8.5415e-01
2,18,1.0760e+00
3,4,2.8968e+00
3,5,2.1696e+00
3,6,-3.0116e-01
3,7,-1.9307e+00
3,8,9.7664e-02
3,9,2.8641e+00
3,10,2.7614e+00
3,11,-5.7429e+00
3,12,2.1934e+00
3,13,-2.1787e-01
3,14,7.5534e-01
3,15,2.1875e-02
3,16,6.9722e-01
3,17,2.4946e+00
3,18,-1.7899e+00
4,5,-1.2368e+00
4,6,3.4176e+00
4,7,1.6941e-01
4,8,1.7145e+00
4,9,-1.3338e+00
4,10,-3.6686e+00
4,11,7.8922e-01
4,12,-1.5723e+00
4,13,-2.3794e+00
4,14,-3.2543e+00
4,15,-3.5848e+00
4,16,-1.7098e+00
4,17,-1.7620e+00
4,18,8.3710e-01
5,6,-7.0303e-01
5,7,1.1908e+00
5,8,-4.1233e-01
5,9,-4.0942e-01
5,10,-1.0435e+00
5,11,-2.5210e+00
5,12,-1.0849e+00
5,13,-1.8514e+00
5,14,-1.8469e+00
5,15,-1.8950e+00
5,16,-1.9110e+00
5,17,3.9997e-01
5,18,-5.9169e-01
6,7,-1.1607e+00
6,8,-1.0508e+00
6,9,-3.3217e+00
6,10,-1.0247e+00
6,11,1.3549e+00
6,12,6.3581e-01
6,13,1.5202e-01
6,14,1.8543e+00
6,15,-3.4432e-01
6,16,-2.7334e+00
6,17,-2.8312e+00
6,18,-9.6701e-01
7,8,3.0123e+00
7,9,-4.4760e+00
7,10,-3.7744e+00
7,11,-2.8839e+00
7,12,-1.5086e+00
7,13,-2.1222e+00
7,14,-3.5248e-01
7,15,1.8132e+00
7,16,1.8077e+00
7,17,-1.0062e+00
7,18,3.2590e+00
8,9,-3.4328e+00
8,10,-1.5064e+00
8,11,2.3118e+00
8,12,3.2562e-01
8,13,-1.1674e+00
8,14,1.2355e-01
8,15,1.3288e+00
8,16,-1.6044e+00
8,17,-7.2142e-01
8,18,-1.9770e+00
9,10,1.7550e+00
9,11,-9.3991e-02
9,12,-1.0927e+00
9,13,-9.3794e-01
9,14,-1.5971e+00
9,15,-1.6668e+00
9,16,8.6206e-01
9,17,2.6142e+00
9,18,-1.6580e+00
10,11,4.4683e+00
10,12,1.8679e+00
10,13,-8.5341e-01
10,14,-3.0589e+00
10,15,1.0239e+00
10,16,3.7720e+00
10,17,-2.9766e+00
10,18,-1.0729e-01
11,12,-2.0764e+00
11,13,2.0758e+00
11,14,-1.3921e+00
11,15,1.0752e+00
11,16,1.1675e+00
11,17,-2.4039e+00
11,18,7.6716e-01
12,13,1.7326e+00
12,14,-4.8024e-01
12,15,1.0042e+00
12,16,7.6180e-01
12,17,8.9633e-01
12,18,-1.6609e+00
13,14,-8.3676e-01
13,15,1.3521e+00
13,16,1.6204e+00
13,17,1.0781e+00
13,18,-1.8652e-01
14,15,-2.2780e+00
14,16,2.9965e-01
14,17,-1.0195e+00
14,18,1.0083e+00
15,16,6.9762e-01
15,17,4.2530e-01
15,18,1.6922e+00
16,17,2.2456e-01
16,18,-2.2048e+00
17,18,-9.3281e-01
