n1,n2,weight
1,2,-2.4669e+00
1,3,-3.0576e-01
1,4,1.2048e+00
1,5,2.9212e-01
1,6,-7.2793e-01
1,7,-1.1205e+00
1,8,-2.7153e-01
1,9,-7.7723e-01
1,10,2.0264e-01
1,11,-3.5360e-01
1,12,-7.9012e-01
1,13,-1.4932e+00
1,14,3.4190e+00
1,15,5.5236e-01
1,16,2.6370e-01
1,17,3.0448e+00
1,18,4.5153e+00
1,19,1.4125e+00
1,20,3.4078e+00
2,1,6.8527e+00
2,3,1.4263e+00
2,4,2.9308e+00
2,5,3.5298e-01
2,6,6.1908e-01
2,7,2.4754e+00
2,8,1.2454e+00
2,9,5.4730e-01
2,10,6.3497e-01
2,11,5.6035e+00
2,12,3.2286e+00
2,13,2.9430e-01
2,14,7.6646e+00
2,15,1.1932e+00
2,16,3.0457e+00
2,17,3.5522e+00
2,18,3.2954e+00
2,19,4.3525e+00
2,20,1.7971e+00
3,1,1.5005e+00
3,2,-1.5201e+00
3,4,1.1468e+00
3,5,1.8253e+00
3,6,4.8832e-01
3,7,1.0748e+00
3,8,2.0093e+00
3,9,-2.3433e-01
3,10,-1.1240e+00
3,11,1.0364e+00
3,12,1.4951e+00
3,13,-3.7138e-01
3,14,1.9775e+00
3,15,2.4190e+00
3,16,2.0699e+00
3,17,1.3515e+00
3,18,2.0474e+00
3,19,1.1431e+00
3,20,2.0233e+00
4,1,1.9356e-01
4,2,-2.4058e+00
4,3,1.2196e+00
4,5,6.5106e-01
4,6,-1.6781e-01
4,7,-2.9208e-01
4,8,-1.6302e+00
4,9,6.8476e-02
4,10,1.4046e+00
4,11,4.1268e+00
4,12,6.9873e-01
4,13,1.1608e+00
4,14,3.2065e+00
4,15,1.1499e+00
4,16,9.2246e-01
4,17,2.6899e+00
4,18,1.0775e+00
4,19,3.9366e-01
4,20,2.8569e+00
5,1,-5.1168e-01
5,2,-1.8007e+00
5,3,-1.6343e+00
5,4,-2.6216e-01
5,6,3.1272e-01
5,7,1.3006e+00
5,8,1.7309e+00
5,9,3.4607e-01
5,10,5.0666e-01
5,11,-1.0655e+00
5,12,2.5787e+00
5,13,1.2004e+00
5,14,1.9283e+00
5,15,-7.3527e-02
5,16,7.2520e-01
5,17,8.6659e-02
5,18,1.9179e+00
5,19,1.3494e+00
5,20,2.9690e+00
6,1,2.3595e+00
6,2,4.1409e-01
6,3,4.9723e-01
6,4,1.8605e+00
6,5,2.7928e+00
6,7,5.2454e-01
6,8,1.6943e-01
6,9,-2.8902e-01
6,10,-4.3725e-01
6,11,2.2653e+00
6,12,2.4217e+00
6,13,-1.2487e+00
6,14,1.8194e+00
6,15,-6.5499e-01
6,16,-9.9342e-01
6,17,5.4360e-01
6,18,1.5771e+00
6,19,2.2486e+00
6,20,1.9684e+00
7,1,2.7960e+00
7,2,-9.5597e-02
7,3,1.0620e-01
7,4,1.7709e+00
7,5,5.4708e-01
7,6,1.6651e-01
7,8,1.0484e-01
7,9,1.6354e+00
7,10,1.9529e+00
7,11,1.0459e+00
7,12,2.0528e-01
7,13,1.8389e+00
7,14,2.4368e+00
7,15,4.3182e+00
7,16,3.8133e+00
7,17,-9.3854e-02
7,18,1.6853e+00
7,19,3.7352e+00
7,20,1.0004e+00
8,1,7.3620e-01
8,2,-2.9784e-01
8,3,-2.2705e+00
8,4,3.8685e+00
8,5,-1.8459e+00
