n1,n2,fij
1,2,-5.7626e+00
1,3,1.3148e+00
1,4,2.4079e+00
1,5,-5.2103e-01
1,6,-2.0607e+00
1,7,-1.7531e+00
1,8,-7.6794e-01
1,9,-4.1780e+00
1,10,1.0769e+00
1,11,-3.0770e+00
1,12,-4.0966e+00
1,13,-4.3333e-01
1,14,-2.3358e+00
1,15,-8.3691e-01
1,16,-2.7851e+00
1,17,6.3693e-01
1,18,-3.5745e+00
1,19,-1.0371e+00
1,20,3.5569e+00
2,3,2.9299e+00
2,4,4.6815e+00
2,5,4.0276e+00
2,6,4.2569e+00
2,7,7.9216e-01
2,8,2.0523e+00
2,9,1.8422e+00
2,10,2.2825e+00
2,11,-1.8550e+00
2,12,-1.2498e-01
2,13,-2.2200e+00
2,14,5.3558e-01
2,15,4.3734e+00
2,16,2.1324e+00
2,17,7.6384e+00
2,18,-1.5933e+00
2,19,6.1786e+00
2,20,5.5488e+00
3,4,-2.3820e+00
3,5,7.0301e-01
3,6,9.9663e-01
3,7,6.1732e-01
3,8,7.9834e-01
3,9,-8.3360e-01
3,10,2.1963e+00
3,11,-2.8827e+00
3,12,1.1041e+00
3,13,2.3265e+00
3,14,-3.3561e+00
3,15,4.0793e+00
3,16,6.0742e-01
3,17,1.1325e+00
3,18,-2.0100e+00
3,19,1.8140e+00
3,20,5.0735e+00
4,5,-3.5435e+00
4,6,4.7734e+00
4,7,-4.3851e+00
4,8,9.1440e-01
4,9,-2.0425e+00
4,10,1.0578e+00
4,11,-3.3530e+00
4,12,-7.9111e-01
4,13,-1.8750e-01
4,14,4.9446e-02
4,15,3.0660e+00
4,16,-7.3740e-01
4,17,4.3517e+00
4,18,-3.2614e+00
4,19,3.0300e-01
4,20,3.0487e+00
5,6,-3.6148e+00
5,7,-1.4951e+00
5,8,-1.5139e+00
5,9,1.1308e+00
5,10,1.5883e+00
5,11,-3.0099e+00
5,12,1.4789e+00
5,13,9.2178e-01
5,14,7.6600e-01
5,15,-8.5702e-01
5,16,5.6322e-01
5,17,1.4569e+00
5,18,-1.2139e+00
5,19,1.5526e+00
5,20,1.3915e+00
6,7,-2.9053e+00
6,8,7.0970e-01
6,9,-2.6821e+00
6,10,1.2375e+00
6,11,-1.7006e+00
6,12,1.3474e-01
6,13,6.2939e-01
6,14,1.1170e+00
6,15,-8.1339e-01
6,16,-4.0304e-01
6,17,-7.8776e-01
6,18,-2.4178e-01
6,19,-7.8568e-01
6,20,2.2971e+00
7,8,-2.6655e+00
7,9,-1.9827e+00
7,10,3.6099e+00
7,11,-9.1002e-01
7,12,1.9934e+00
7,13,-1.9179e+00
7,14,-1.4594e+00
7,15,-2.8295e+00
7,16,-2.5633e+00
7,17,-2.0284e-01
7,18,-2.2110e+00
7,19,3.0985e+00
7,20,3.0261e+00
8,9,-2.2254e+00
8,10,2.3896e+00
8,11,-2.2174e+00
8,12,1.4828e-01
8,13,-1.0281e+00
8,14,9.0935e-01
8,15,1.4107e+00
8,16,-1.0600e+00
8,17,1.8170e+00
8,18,-2.0051e+00
8,19,-1.5801e+00
8,20,3.8387e+00
9,10,2.6003e+00
9,11,-3.2824e+00
9,12,-3.7715e-02
9,13,4.6463e+00
9,14,-1.9858e-02
9,15,4.7834e-01
9,16,-5.1868e-01
9,17,-1.3742e+00
9,18,-2.1493e+00
9,19,2.8822e+00
9,20,1.1940e+00
10,11,-2.8007e-01
10,12,1.4249e+00
10,13,-4.3470e-01
10,14,-2.4241e+00
10,15,4.5536e-01
10,16,-9.9426e-01
10,17,-9.9360e-01
10,18,-2.9260e+00
10,19,-1.8373e+00
10,20,-7.1047e-01
11,12,4.8635e-01
11,13,1.2103e+00
11,14,-5.2392e-01
11,15,2.3415e+00
11,16,1.5834e+00
11,17,2.4891e+00
11,18,-8.1031e-01
11,19,2.6525e+00
11,20,7.1970e+00
12,13,-1.1767e+00
12,14,1.8394e+00
12,15,2.0459e+00
12,16,-1.7234e-01
12,17,4.2229e-01
12,18,1.6404e+00
12,19,4.4282e+00
12,20,1.9569e+00
13,14,-1.1912e+00
13,15,8.8435e-01
13,16,1.6401e-01
13,17,2.3875e+00
13,18,-4.3691e-01
13,19,6.0863e-01
13,20,-3.0711e-01
14,15,4.7138e+00
14,16,3.8320e+00
14,17,-7.0959e-01
14,18,5.7417e-02
14,19,-8.0121e-01
14,20,1.4988e+00
15,16,3.4294e-01
15,17,7.2278e-01
15,18,-1.4795e+00
15,19,2.6382e+00
15,20,8.4699e-01
16,17,9.6312e-01
16,18,-1.7064e-01
16,19,9.5352e-01
16,20,7.0530e+00
17,18,-2.1861e+00
17,19,9.4200e-01
17,20,2.0870e+00
18,19,3.2258e+00
18,20,1.1416e+00
19,20,2.5655e+00
