n1,n2,weight
1,2,1.7054e+00
1,3,-1.7251e-01
1,4,3.2471e+00
1,5,1.8370e+00
1,6,-1.0438e+00
1,7,4.7099e-01
1,8,1.7243e+00
1,9,4.6672e-01
1,10,1.8617e+00
1,11,8.0167e-01
1,12,1.0896e+00
1,13,2.7477e+00
1,14,1.3836e+00
1,15,1.1465e+00
1,16,-3.6557e-02
1,17,3.2845e+00
1,18,-8.9608e-01
1,19,9.6457e-01
1,20,3.6107e+00
2,1,4.6188e+00
2,3,3.5040e+00
2,4,5.9433e+00
2,5,6.2705e+00
2,6,-4.6100e-01
2,7,3.4705e+00
2,8,2.7670e+00
2,9,6.9367e+00
2,10,4.9572e+00
2,11,2.3787e+00
2,12,5.8816e+00
2,13,3.4143e-01
2,14,9.7959e-01
2,15,4.8932e+00
2,16,2.9359e+00
2,17,4.8303e+00
2,18,2.3163e+00
2,19,4.9975e+00
2,20,4.7280e+00
3,1,6.6434e-01
3,2,-1.2131e+00
3,4,-1.8374e-01
3,5,1.7364e+00
3,6,-7.0495e-01
3,7,1.1217e+00
3,8,3.6379e+00
3,9,6.0959e-02
3,10,1.7104e+00
3,11,-2.0581e-02
3,12,2.9817e+00
3,13,4.4250e+00
3,14,8.4938e-01
3,15,1.3895e+00
3,16,5.2969e-01
3,17,2.1389e+00
3,18,2.0194e+00
3,19,4.4431e+00
3,20,2.6922e+00
4,1,-8.5024e-01
4,2,1.0265e-01
4,3,3.4969e+00
4,5,-7.1001e-01
4,6,3.1248e+00
4,7,1.0664e+00
4,8,3.3700e+00
4,9,8.3284e-01
4,10,3.1617e+00
4,11,-1.7050e-01
4,12,1.1581e+00
4,13,2.9757e+00
4,14,2.2404e+00
4,15,1.8462e+00
4,16,4.9540e-02
4,17,2.3986e+00
4,18,9.7319e-01
4,19,1.5278e+00
4,20,4.9367e+00
5,1,-3.1242e-01
5,2,6.3947e-01
5,3,2.0881e+00
5,4,2.3861e+00
5,6,-1.1226e+00
5,7,-2.5389e-01
5,8,-1.8303e+00
5,9,1.0873e+00
5,10,-7.6876e-01
5,11,-1.5601e+00
5,12,6.4858e-01
5,13,4.0231e+00
5,14,2.2326e+00
5,15,8.6597e-01
5,16,3.5730e+00
5,17,7.1697e-02
5,18,-4.6998e-01
5,19,4.9900e-01
5,20,7.6555e+00
6,1,2.6898e+00
6,2,3.8589e+00
6,3,-1.1034e-01
6,4,-2.3166e+00
6,5,1.8247e+00
6,7,-1.8400e+00
6,8,-1.8811e-01
6,9,-1.3077e+00
6,10,-5.4416e-02
6,11,1.5401e+00
6,12,-1.0512e+00
6,13,7.4411e-01
6,14,2.0438e+00
6,15,1.9425e+00
6,16,-2.7884e-01
6,17,2.3209e-01
6,18,-1.4349e-01
6,19,-5.1816e-01
6,20,1.4205e+00
7,1,1.9626e+00
7,2,4.4072e-01
7,3,6.6351e-01
7,4,1.2738e+00
7,5,1.2214e+00
7,6,-5.7355e-01
7,8,-8.2602e-01
7,9,1.5836e+00
7,10,9.8346e-02
7,11,-8.8180e-01
7,12,2.4641e+00
7,13,-3.0951e-01
7,14,2.3641e+00
7,15,-1.6864e-01
