n1,n2,fij
1,2,-9.6820e+00
1,3,6.0314e-01
1,4,-7.9377e+00
1,5,-5.1394e+00
1,6,-3.8375e+00
1,7,-5.1603e+00
1,8,-1.6311e+01
1,9,-3.9318e+00
1,10,-5.0700e+00
1,11,-1.4008e+00
1,12,-1.2071e+01
1,13,-2.1766e+00
1,14,-1.2539e+01
1,15,-8.3801e+00
1,16,-5.5127e+00
1,17,-9.5708e+00
1,18,-5.3051e+00
1,19,-1.8289e+00
1,20,-1.2394e+01
2,3,9.7489e+00
2,4,1.8915e+00
2,5,2.5415e+00
2,6,1.1169e+01
2,7,5.7888e+00
2,8,-6.4961e-01
2,9,6.8514e+00
2,10,-1.1472e+00
2,11,-9.7151e-01
2,12,-2.3638e+00
2,13,6.4583e+00
2,14,-5.5983e+00
2,15,-1.2122e+00
2,16,8.1893e-01
2,17,-5.5248e+00
2,18,2.6451e+00
2,19,1.8180e+00
2,20,-2.3904e+00
3,4,-3.0864e+00
3,5,-5.1021e+00
3,6,-3.8365e+00
3,7,-6.0952e+00
3,8,-1.1061e+01
3,9,-2.7556e+00
3,10,-6.0033e+00
3,11,1.8061e+00
3,12,-7.0823e+00
3,13,-5.7002e-01
3,14,-9.7902e+00
3,15,-1.2692e+01
3,16,-1.0268e+01
3,17,-4.8651e+00
3,18,-8.3180e+00
3,19,-2.1506e+00
3,20,-4.6442e+00
4,5,-2.6898e-01
4,6,5.0858e+00
4,7,3.8705e+00
4,8,-1.1802e+01
4,9,-2.3603e+00
4,10,1.4611e+00
4,11,6.2135e+00
4,12,-6.2298e-01
4,13,5.7626e+00
4,14,-4.7404e+00
4,15,-3.8219e+00
4,16,4.0534e+00
4,17,-4.1787e+00
4,18,9.7571e-02
4,19,2.7126e+00
4,20,-4.0330e+00
5,6,-1.3297e+00
5,7,2.5616e+00
5,8,-3.9827e+00
5,9,-1.4605e+00
5,10,-5.3548e+00
5,11,2.9739e+00
5,12,-9.5847e-01
5,13,8.2698e+00
5,14,-6.7890e+00
5,15,-2.3650e+00
5,16,8.3775e-01
5,17,-2.8957e+00
5,18,1.0973e+00
5,19,2.0967e+00
5,20,-6.0848e+00
6,7,-8.2723e-01
6,8,-8.7883e+00
6,9,-1.5018e+00
6,10,-2.4045e+00
6,11,2.7132e+00
6,12,-8.5341e+00
6,13,3.7607e-01
6,14,-1.7218e+00
6,15,-6.9143e+00
6,16,-4.5590e+00
6,17,-9.1770e+00
6,18,-6.3367e+00
6,19,-9.6426e-01
6,20,-3.9680e+00
7,8,-5.2993e+00
7,9,-7.2876e+00
7,10,2.9126e-01
7,11,3.0307e+00
7,12,-3.8384e-01
7,13,-2.1165e+00
7,14,-5.7990e+00
7,15,-4.6317e+00
7,16,-3.9411e+00
7,17,-5.7471e+00
7,18,-5.9198e+00
7,19,5.0510e-01
7,20,-3.3725e+00
8,9,6.6234e+00
8,10,1.7070e+00
8,11,3.2406e+00
8,12,1.8333e+00
8,13,7.9714e+00
8,14,6.2257e-01
8,15,-4.9937e-01
8,16,4.7061e+00
8,17,5.6161e+00
8,18,4.5606e+00
8,19,9.5604e+00
8,20,-2.8097e+00
9,10,6.7484e+00
9,11,2.2488e+00
9,12,-1.9307e+00
9,13,7.5591e-01
9,14,-7.5018e+00
9,15,-1.2311e+01
9,16,-7.2861e+00
9,17,-3.2860e+00
9,18,-7.1593e+00
9,19,3.5188e+00
9,20,-4.1385e+00
10,11,-5.5612e+00
10,12,-2.6426e+00
10,13,6.0181e+00
10,14,-3.8159e-01
10,15,1.0767e+00
10,16,2.0999e+00
10,17,3.6767e+00
10,18,4.1515e+00
10,19,6.4041e+00
10,20,6.8246e-01
11,12,-6.2549e+00
11,13,2.1395e+00
11,14,-7.6892e+00
11,15,-8.0231e+00
11,16,-4.5903e+00
11,17,-1.1061e+01
11,18,-3.7444e+00
11,19,1.6189e+00
11,20,-9.7464e+00
12,13,9.4815e+00
12,14,-6.0837e+00
12,15,-7.6236e+00
12,16,4.7650e+00
12,17,-3.9181e+00
12,18,6.5370e+00
12,19,3.4205e-01
12,20,-2.5593e+00
13,14,-1.0954e+01
13,15,-7.2249e+00
13,16,7.9929e-01
13,17,-7.2994e+00
13,18,2.5102e+00
13,19,-3.2355e-01
13,20,-5.4347e+00
14,15,2.3525e-01
14,16,4.6663e+00
14,17,2.8208e-01
14,18,6.8850e-01
14,19,6.1550e+00
14,20,3.2680e+00
15,16,-3.7075e+00
15,17,-2.0331e+00
15,18,-6.0054e+00
15,19,2.6940e+00
15,20,1.4511e-01
16,17,-1.7646e+00
16,18,-3.8125e+00
16,19,-2.6055e-01
16,20,-4.7236e+00
17,18,2.8866e+00
17,19,1.0224e+01
17,20,-2.4342e+00
18,19,5.5967e+00
18,20,-1.2999e+00
19,20,-4.9755e+00
