n1,n2,weight
1,2,3.8391e+00
1,3,6.6932e-01
1,4,5.5266e+00
1,5,4.4656e+00
1,6,1.3999e+00
1,7,3.0220e+00
1,8,5.6954e+00
1,9,-1.2109e+00
1,10,1.2448e+00
1,11,9.8705e-01
1,12,2.3737e+00
1,13,2.4817e+00
1,14,5.0755e+00
1,15,3.2667e+00
1,16,1.1985e+00
1,17,1.1666e+00
1,18,2.6587e+00
1,19,7.1752e-01
1,20,3.4729e+00
2,1,-5.6601e-01
2,3,-8.4542e-03
2,4,2.9550e+00
2,5,-1.2452e-01
2,6,-6.5941e-01
2,7,-8.0027e-01
2,8,-7.7054e-01
2,9,-2.9511e+00
2,10,-5.6955e-02
2,11,1.4720e+00
2,12,-4.3342e-01
2,13,-6.0289e-01
2,14,2.4003e+00
2,15,5.3809e-01
2,16,2.4208e-01
2,17,-3.2147e-01
2,18,-9.1366e-03
2,19,-5.5456e-01
2,20,9.1049e-02
3,1,2.6275e+00
3,2,3.7736e+00
3,4,1.7037e+00
3,5,2.9939e+00
3,6,3.5788e+00
3,7,4.1640e+00
3,8,3.4182e+00
3,9,1.5921e-01
3,10,1.2396e+00
3,11,1.4802e+00
3,12,4.1037e+00
3,13,3.5091e+00
3,14,2.6160e+00
3,15,3.3410e+00
3,16,4.8820e+00
3,17,3.5507e-01
3,18,1.7433e+00
3,19,3.0010e+00
3,20,1.6707e+00
4,1,9.8812e-01
4,2,1.8402e+00
4,3,8.1428e-01
4,5,4.5396e-01
4,6,-6.6456e-01
4,7,-6.4534e-01
4,8,3.0125e+00
4,9,-4.9373e-01
4,10,1.4248e-01
4,11,-7.1295e-03
4,12,-6.4537e-01
4,13,1.0697e+00
4,14,-7.4611e-01
4,15,-4.3492e-01
4,16,-1.8105e+00
4,17,-1.4210e+00
4,18,1.7681e+00
4,19,-1.8854e+00
4,20,-4.2984e-01
5,1,-4.2022e-01
5,2,3.3740e+00
5,3,1.7982e-02
5,4,-9.5348e-02
5,6,-7.0622e-01
5,7,-1.9729e+00
5,8,-1.5512e+00
5,9,-8.0098e-01
5,10,1.1627e+00
5,11,-1.3222e+00
