n1,n2,weight
1,2,2.4774e+00
1,3,2.8538e-01
1,4,1.6820e+00
1,5,2.1087e+00
1,6,2.5798e+00
1,7,2.4530e+00
1,8,3.1392e+00
1,9,-4.2861e-02
1,10,9.6019e-01
1,11,1.0710e+00
1,12,1.9465e+00
1,13,3.0811e-01
1,14,3.1808e+00
1,15,2.6657e+00
1,16,-8.7669e-02
1,17,3.5628e+00
1,18,1.6531e+00
1,19,1.6889e+00
1,20,5.4990e+00
2,1,-1.7717e+00
2,3,-1.6455e+00
2,4,-1.8463e-01
2,5,1.0139e-01
2,6,-2.4555e+00
2,7,-1.7888e-01
2,8,9.4494e-01
2,9,-2.4904e+00
2,10,7.2392e-01
2,11,-3.2784e-01
2,12,4.3687e-01
2,13,-1.1106e+00
2,14,1.2212e+00
2,15,1.2690e+00
2,16,-7.3141e-01
2,17,3.6494e+00
2,18,-8.4253e-01
2,19,-5.7517e-01
2,20,1.8557e+00
3,1,1.5091e-01
3,2,2.8945e+00
3,4,1.8088e+00
3,5,2.0734e+00
3,6,6.1369e-01
3,7,1.6948e+00
3,8,3.2911e+00
3,9,4.7953e-01
3,10,3.0159e+00
3,11,-3.6009e-01
3,12,1.3185e+00
3,13,3.3240e-01
3,14,3.1884e+00
3,15,4.4444e+00
3,16,1.0854e+00
3,17,9.9604e-01
3,18,2.1972e+00
3,19,9.1014e-01
3,20,2.1552e+00
4,1,-1.4817e+00
4,2,1.7749e+00
4,3,-5.9489e-01
4,5,9.5080e-01
4,6,-6.2513e-01
4,7,-5.5858e-01
4,8,8.4220e-01
4,9,-9.6545e-01
4,10,3.1434e-01
4,11,-2.0447e+00
4,12,1.4196e+00
4,13,-1.4533e+00
4,14,3.0727e-01
4,15,1.8205e+00
4,16,-9.7669e-01
4,17,1.2997e+00
4,18,6.1866e-01
4,19,-4.4762e-02
4,20,1.0730e+00
5,1,1.2711e+00
5,2,9.2533e-01
5,3,-9.2476e-01
5,4,1.4799e+00
5,6,6.7070e-01
5,7,-9.8961e-01
5,8,1.3636e+00
5,9,-1.9244e+00
5,10,1.5476e-01
5,11,-4.0271e-01
5,12,7.6172e-01
5,13,-1.3792e+00
5,14,8.1659e-01
5,15,6.1694e-01
5,16,-9.3588e-01
5,17,1.1813e+00
5,18,1.8428e+00
5,19,3.5575e-01
5,20,1.4693e+00
6,1,-7.5772e-01
6,2,4.0223e+00
6,3,-1.3444e-02
6,4,2.8713e+00
6,5,6.7415e-01
6,7,-9.4298e-02
6,8,2.3063e+00
6,9,-1.4856e+00
6,10,-4.9377e-01
6,11,-4.3872e-01
6,12,2.8817e+00
6,13,4.4561e-01
6,14,1.5864e+00
6,15,2.9278e+00
6,16,1.0836e+00
6,17,1.6489e+00
6,18,1.0697e-01
6,19,2.3060e+00
6,20,1.0388e+00
7,1,1.0999e+00
7,2,2.2298e+00
7,3,4.5171e-01
7,4,5.4812e-02
7,5,1.5646e+00
7,6,-1.2369e+00
7,8,1.2337e+00
7,9,4.7388e-01
7,10,-5.2456e-01
7,11,-2.3923e-01
7,12,-8.8957e-01
7,13,1.1753e+00
7,14,7.4171e-01
7,15,6.0019e-01
7,16,5.5619e-01
7,17,1.4651e+00
7,18,1.0214e+00
7,19,-8.1287e-01
7,20,4.1186e-01
8,1,-3.4675e+00
8,2,-4.2664e-01
8,3,-2.4587e+00
8,4,-3.2796e+00
8,5,-2.0225e+00
8,6,-3.0756e+00
8,7,-2.3328e+00
8,9,-3.5958e+00
8,10,-2.7311e+00
8,11,-1.5008e+00
8,12,-4.1596e-02
8,13,-3.6201e+00
8,14,-1.3283e+00
8,15,-2.4430e+00
8,16,-1.6468e+00
8,17,-3.4095e+00
8,18,-2.7684e+00
8,19,-3.6236e+00
8,20,-1.1252e+00
9,1,1.4362e-01
9,2,9.8082e-01
9,3,1.3993e+00
9,4,-9.5514e-01
9,5,-1.0311e+00
9,6,6.6682e-01
9,7,-7.0508e-01
9,8,-1.3402e+00
9,10,-1.9652e+00
9,11,1.8291e-02
9,12,4.3495e-01
9,13,-1.4550e+00
9,14,9.3614e-02
9,15,2.6421e+00
9,16,4.2264e-01
9,17,-1.5517e+00
9,18,1.1765e+00
9,19,-1.5402e+00
9,20,6.0457e-01
10,1,-7.2962e-01
10,2,1.2726e+00
10,3,-9.3495e-01
10,4,-7.2216e-02
10,5,-1.8198e+00
10,6,-1.1848e+00
10,7,-1.1161e+00
10,8,-1.8566e-01
10,9,-8.5721e-02
10,11,9.7983e-01
10,12,6.3196e-02
10,13,-4.7200e-01
10,14,1.0935e-01
10,15,-2.9777e-01
10,16,-1.1751e+00
10,17,-2.1815e+00
10,18,-1.2614e+00
10,19,-3.6011e+00
10,20,-1.1527e+00
11,1,2.4239e-01
11,2,-1.7309e+00
11,3,3.8159e-01
11,4,1.8929e+00
11,5,4.7606e-01
11,6,2.9306e-01
11,7,5.0613e-01
11,8,-8.3894e-01
11,9,-1.1935e+00
11,10,-1.6270e+00
11,12,2.0508e-01
11,13,-7.0134e-01
11,14,1.5606e+00
11,15,2.6097e+00
11,16,7.3826e-01
11,17,1.6911e+00
11,18,-2.0946e-01
11,19,-7.2752e-02
11,20,2.1593e+00
12,1,-3.5855e+00
12,2,-1.2007e-01
12,3,-8.1707e-03
12,4,3.1724e-01
12,5,-2.7055e-01
12,6,-7.4659e-01
12,7,2.3228e-01
12,8,1.7917e-01
12,9,-2.3470e+00
12,10,-1.7793e+00
12,11,-7.6196e-01
12,13,-1.4005e+00
12,14,1.2767e+00
12,15,1.1518e-01
12,16,-7.8299e-01
12,17,-5.1799e-01
12,18,-1.0111e+00
12,19,-6.2389e-01
12,20,-1.0441e+00
13,1,-5.2293e-01
13,2,2.0262e+00
13,3,9.8244e-03
13,4,2.8940e+00
13,5,2.7606e+00
13,6,-1.1840e+00
13,7,-3.0831e-02
13,8,1.5168e+00
13,9,-1.7670e+00
13,10,2.0897e+00
13,11,8.8828e-01
13,12,1.9138e+00
13,14,1.8076e+00
13,15,1.4825e+00
13,16,-1.6873e+00
13,17,1.4842e+00
13,18,-3.7959e-01
13,19,-5.9876e-01
13,20,-5.9194e-02
