n1,n2,weight
1,2,4.3488e+00
1,3,-1.0574e+00
1,4,3.4638e+00
1,5,5.9150e-01
1,6,-3.0580e-01
1,7,1.2441e+00
1,8,3.5044e+00
1,9,2.4962e+00
1,10,6.2648e-01
1,11,-1.7561e-01
1,12,1.1122e-01
1,13,-4.7890e-01
1,14,2.1240e+00
1,15,7.7734e-01
1,16,6.3606e-01
1,17,1.0363e+00
1,18,3.4542e+00
1,19,5.9339e-01
1,20,3.7500e+00
2,1,-2.0572e+00
2,3,4.0632e-01
2,4,9.2942e-01
2,5,-4.0056e-01
2,6,-2.6367e+00
2,7,-1.1651e-01
2,8,-1.0885e+00
2,9,-2.6649e+00
2,10,5.6400e-01
2,11,2.4976e-01
2,12,1.1048e+00
2,13,-2.3114e+00
2,14,-4.6512e-01
2,15,2.5082e-01
2,16,-2.9970e-01
2,17,9.0711e-01
2,18,-8.0332e-01
2,19,-9.5724e-01
2,20,1.0417e+00
3,1,1.6097e+00
3,2,4.7632e+00
3,4,9.7702e-01
3,5,2.6119e+00
3,6,2.5310e+00
3,7,1.6325e+00
3,8,2.4219e+00
3,9,3.1322e+00
3,10,2.2233e+00
3,11,-1.3260e-01
3,12,1.7978e+00
3,13,9.3706e-01
3,14,4.1970e+00
3,15,4.2853e+00
3,16,2.1695e+00
3,17,1.6308e+00
3,18,5.2865e+00
3,19,2.7841e+00
3,20,2.3356e+00
4,1,-1.2881e-01
4,2,2.4772e+00
4,3,1.5297e+00
4,5,1.9645e-01
4,6,-7.4603e-01
4,7,1.5692e+00
4,8,1.3796e+00
4,9,-5.4919e-01
4,10,5.7756e-01
4,11,-1.1884e+00
4,12,1.9211e+00
4,13,-1.6034e+00
4,14,1.3906e+00
4,15,3.6788e-01
4,16,-1.5933e+00
4,17,2.7632e+00
4,18,5.0153e-01
4,19,1.6024e+00
4,20,3.2875e-01
5,1,1.1788e+00
5,2,-1.6447e-01
5,3,1.2835e+00
5,4,6.4041e-01
5,6,-2.7301e-01
5,7,1.0709e+00
5,8,4.8161e-01
5,9,-5.0479e-01
5,10,2.4892e+00
5,11,-2.8692e-01
5,12,-1.4775e-01
5,13,-1.7614e+00
5,14,2.3292e+00
5,15,7.1892e-01
5,16,-1.1232e+00
5,17,-9.2645e-01
5,18,-1.3152e+00
5,19,3.6634e+00
5,20,1.8262e+00
6,1,-2.4313e+00
6,2,8.0826e-01
6,3,-1.2648e+00
6,4,3.2286e-01
6,5,5.5215e-01
6,7,-1.1284e+00
6,8,6.5011e-01
6,9,-1.9593e+00
6,10,-5.8991e-01
6,11,-1.5649e-01
6,12,-2.4615e-01
6,13,-1.7903e+00
6,14,-2.8304e-01
6,15,5.8060e-01
6,16,-4.7048e-01
6,17,1.9968e+00
6,18,1.3190e+00
6,19,9.1512e-01
6,20,-1.2151e+00
7,1,1.1844e+00
7,2,8.3391e-01
7,3,-6.4563e-01
7,4,2.2811e+00
7,5,1.8239e+00
7,6,-2.5578e+00
7,8,1.4582e+00
7,9,5.2297e-01
7,10,-1.9929e-01
7,11,-1.6780e-01
7,12,-1.0002e+00
7,13,-5.9099e-02
7,14,2.7298e-01
7,15,3.3287e+00
7,16,4.6381e-01
7,17,8.9872e-02
7,18,2.0860e+00
7,19,1.6960e-01
7,20,-3.9684e-01
8,1,-2.5894e+00
8,2,1.0716e+00
8,3,-1.5750e+00
8,4,-2.9559e+00
8,5,-1.5722e+00
8,6,-1.6108e+00
8,7,-6.5758e-01
8,9,-3.5745e+00
8,10,4.1776e-01
8,11,-8.5303e-01
8,12,-1.3010e+00
8,13,-1.5705e+00
8,14,-1.5044e+00
8,15,-1.9248e+00
8,16,-2.3942e+00
8,17,-2.5182e+00
8,18,-1.5410e+00
8,19,-2.7169e+00
8,20,2.1217e-01
9,1,-1.1065e+00
9,2,-6.5768e-01
9,3,-1.2520e-01
9,4,-4.3658e-01
9,5,-5.0311e-01
9,6,-1.6957e+00
9,7,-2.1322e+00
9,8,-1.9133e+00
9,10,-1.8842e+00
9,11,-2.6264e+00
9,12,-2.7715e+00
9,13,-5.1612e-01
9,14,-3.6478e-01
9,15,4.4573e-01
9,16,8.0134e-01
9,17,-1.5594e+00
9,18,1.4625e+00
9,19,-2.2295e+00
9,20,3.0845e-01
10,1,-7.4458e-01
10,2,-7.2600e-01
10,3,-1.4710e+00
10,4,-4.5528e-01
10,5,-1.4260e+00
10,6,-1.4084e+00
10,7,2.4515e-02
10,8,-4.4569e-01
10,9,1.6337e+00
10,11,-1.6295e-01
10,12,-6.0877e-01
10,13,-3.0645e+00
10,14,1.0188e-01
10,15,-8.3179e-02
10,16,-2.2158e+00
10,17,-2.4338e+00
10,18,-5.0706e-01
10,19,-2.8273e+00
10,20,-1.2546e+00
11,1,-3.7705e-01
11,2,-2.4217e+00
11,3,1.1335e+00
11,4,2.0789e-01
11,5,-1.4738e+00
11,6,3.5494e-01
11,7,-4.2557e-01
11,8,-1.3165e+00
11,9,2.0768e-01
11,10,-2.0644e+00
11,12,7.7186e-02
11,13,-1.7507e+00
11,14,5.7177e-01
11,15,1.9935e+00
11,16,4.0086e-01
11,17,5.2920e-01
11,18,-9.6441e-01
11,19,3.4979e-01
11,20,1.8182e+00
12,1,-3.3480e+00
12,2,-1.4496e+00
12,3,-2.4430e-01
12,4,9.6661e-01
12,5,-1.1292e+00
12,6,-1.8664e+00
12,7,1.8541e-01
12,8,-7.5404e-01
12,9,-1.3616e+00
12,10,-2.2112e+00
12,11,-1.6437e+00
12,13,-1.9557e+00
12,14,-9.9602e-01
12,15,1.6973e+00
12,16,-4.4339e-01
12,17,-9.4205e-01
12,18,-5.8227e-01
12,19,1.4777e-01
12,20,-1.5806e+00
13,1,3.0384e-01
13,2,-2.1135e-01
13,3,4.5314e-02
13,4,-4.2052e-02
13,5,1.9083e-01
13,6,-2.4421e+00
13,7,-1.2342e+00
13,8,-8.2464e-01
13,9,2.0920e-01
13,10,-1.0398e+00
13,11,-2.2450e-01
13,12,-7.8434e-01
13,14,-7.8281e-01
13,15,8.5259e-01
13,16,-3.4940e-01
