n1,n2,weight
1,2,3.5961e+00
1,3,5.5484e-01
1,4,2.7806e+00
1,5,2.6982e+00
1,6,2.6677e+00
1,7,3.5964e+00
1,8,4.7976e+00
1,9,1.5189e+00
1,10,2.1597e+00
1,11,1.0827e+00
1,12,3.5910e+00
1,13,2.0926e+00
1,14,2.4060e+00
1,15,2.6558e+00
1,16,1.6612e+00
1,17,2.9966e+00
1,18,2.5284e+00
1,19,1.8771e+00
1,20,4.0119e+00
2,1,-1.0436e+00
2,3,-1.3072e+00
2,4,7.7237e-01
2,5,-9.3282e-02
2,6,-2.3485e+00
2,7,-1.3775e+00
2,8,7.3127e-02
2,9,-3.0989e+00
2,10,3.4404e-01
2,11,-8.4674e-01
2,12,-5.0796e-01
2,13,-1.7793e-01
2,14,1.7643e+00
2,15,1.6717e+00
2,16,2.8575e-01
2,17,2.2575e+00
2,18,-1.7403e+00
2,19,-4.1956e-01
2,20,8.5364e-01
3,1,-7.5844e-01
3,2,4.4088e+00
3,4,1.2938e+00
3,5,2.6854e+00
3,6,1.6395e+00
3,7,2.5176e+00
3,8,3.7525e+00
3,9,1.7929e+00
3,10,2.1864e+00
3,11,9.8460e-01
3,12,3.8994e+00
3,13,2.1006e+00
3,14,2.0124e+00
3,15,4.1272e+00
3,16,4.1615e+00
3,17,1.7211e+00
3,18,1.5987e+00
3,19,9.8062e-01
3,20,2.3542e+00
4,1,-1.8175e+00
4,2,1.6086e+00
4,3,-3.6519e-01
4,5,9.3388e-01
4,6,-1.4086e+00
4,7,-9.9227e-01
4,8,2.6609e+00
4,9,2.9464e-01
4,10,-3.2757e-01
4,11,-1.2905e+00
4,12,1.1015e+00
4,13,5.4176e-01
4,14,4.2573e-01
4,15,1.9562e+00
4,16,-1.2705e+00
4,17,6.3842e-01
4,18,1.2791e+00
4,19,-1.0075e+00
4,20,9.3417e-01
5,1,1.5110e-01
5,2,3.7061e-01
5,3,-1.3852e+00
5,4,7.4077e-01
5,6,1.1751e+00
5,7,-1.0693e+00
5,8,8.2667e-02
5,9,-1.5604e-01
5,10,5.5670e-01
5,11,-1.4184e+00
5,12,-2.5373e-01
5,13,-1.5757e+00
5,14,8.9620e-01
5,15,-4.4321e-01
5,16,-1.3827e+00
5,17,-3.3695e-01
5,18,-4.8506e-01
5,19,-7.4398e-01
5,20,9.6130e-01
6,1,-2.0981e-02
6,2,3.2456e+00
6,3,-9.4035e-01
6,4,1.5975e+00
6,5,-8.1440e-02
6,7,-1.2309e+00
6,8,2.3870e+00
6,9,-9.4908e-03
6,10,-1.3170e+00
6,11,-8.5575e-01
6,12,2.5536e+00
6,13,1.0088e-01
6,14,-4.6237e-01
6,15,5.9178e-01
6,16,1.4328e+00
6,17,8.8744e-01
6,18,2.2409e+00
6,19,9.3144e-01
6,20,8.6837e-01
7,1,-1.2960e-02
7,2,2.3785e+00
7,3,-1.4922e+00
7,4,1.7843e+00
7,5,4.8768e-01
7,6,-6.7327e-01
7,8,1.9526e+00
7,9,9.0487e-01
7,10,-6.7362e-01
7,11,9.5693e-02
7,12,5.9750e-01
7,13,1.0946e+00
7,14,2.0577e+00
7,15,7.1803e-01
7,16,4.0024e-01
7,17,1.9450e+00
7,18,2.4413e+00
7,19,-4.0197e-02
7,20,7.1623e-01
8,1,-3.8357e+00
8,2,-1.7307e-01
8,3,-2.5483e+00
8,4,-3.5002e+00
8,5,-1.4159e+00
8,6,-2.0609e+00
8,7,-9.4323e-01
8,9,-4.5139e+00
8,10,-2.0497e+00
8,11,-2.4967e+00
8,12,-6.7734e-01
8,13,-3.2204e+00
8,14,-2.1584e+00
8,15,-1.7228e+00
8,16,-6.8000e-01
8,17,-2.6318e+00
8,18,-1.8512e+00
8,19,-3.3766e+00
8,20,2.2718e-01
9,1,6.5936e-01
9,2,8.4854e-01
9,3,1.4682e+00
9,4,-1.1457e+00
9,5,-1.4554e+00
9,6,-5.1494e-01
9,7,-2.7152e+00
9,8,-1.0710e+00
9,10,-2.8978e+00
9,11,-1.2728e+00
9,12,-3.2444e-01
9,13,-7.1216e-01
9,14,1.7951e-01
9,15,1.4591e+00
9,16,1.3772e+00
9,17,-1.5851e+00
9,18,2.1189e+00
9,19,-7.8717e-01
9,20,4.0612e-01
10,1,-7.1620e-01
10,2,-5.0241e-01
10,3,-1.4521e+00
10,4,5.8221e-01
10,5,-1.3971e+00
10,6,-1.9599e+00
10,7,4.9642e-01
10,8,-1.7152e+00
10,9,-5.3577e-01
10,11,1.1742e+00
10,12,5.8895e-01
10,13,-1.0139e+00
10,14,2.6142e-03
10,15,-7.4104e-01
10,16,-7.2464e-01
10,17,-2.3342e+00
10,18,-1.2350e+00
10,19,-2.8335e+00
10,20,1.7882e-01
11,1,-1.5882e-01
11,2,-1.2024e+00
11,3,1.2908e+00
11,4,9.4122e-01
11,5,1.2976e+00
11,6,1.2446e+00
11,7,1.0118e+00
11,8,-1.4685e+00
11,9,-1.1588e+00
11,10,-1.7126e+00
11,12,1.3393e+00
11,13,-4.0641e-01
11,14,2.3425e+00
11,15,1.7936e+00
11,16,9.8386e-01
11,17,2.9764e+00
11,18,4.3032e-01
11,19,-1.7537e-01
11,20,1.4994e+00
12,1,-3.2793e+00
12,2,-8.7617e-01
