n1,n2,fij
1,2,-7.3496e+00
1,3,7.0441e-01
1,4,-6.4483e+00
1,5,-6.6250e+00
1,6,2.4317e-01
1,7,-1.1047e+01
1,8,-9.7119e+00
1,9,-1.0765e+01
1,10,-1.7145e+01
1,11,-1.3758e+01
1,12,-1.3345e+01
1,13,-1.1736e+01
1,14,-1.2867e+01
1,15,-1.2956e+01
1,16,-1.7577e+01
1,17,-1.1122e+01
1,18,-1.1211e+01
1,19,-1.5213e+01
1,20,-1.3111e+01
2,3,1.3660e+00
2,4,8.7595e+00
2,5,2.7205e+00
2,6,3.7931e+00
2,7,-7.5446e+00
2,8,-7.9104e-01
2,9,-4.1297e+00
2,10,-5.2965e+00
2,11,-8.1157e+00
2,12,2.8273e-01
2,13,-1.8591e+00
2,14,3.2764e+00
2,15,-6.2617e+00
2,16,-1.5425e+01
2,17,7.1256e-01
2,18,-6.5575e+00
2,19,-6.8402e+00
2,20,-7.6744e+00
3,4,-2.0580e+00
3,5,-3.2213e+00
3,6,-8.1767e-01
3,7,-7.8622e+00
3,8,-4.1960e+00
3,9,-8.0646e+00
3,10,-9.4985e+00
3,11,-1.2206e+01
3,12,-9.5623e+00
3,13,-8.3840e+00
3,14,-4.6753e+00
3,15,-9.3986e+00
3,16,-8.2142e+00
3,17,-5.2010e+00
3,18,-9.5884e+00
3,19,-1.1087e+01
3,20,-1.3439e+01
4,5,-3.3658e+00
4,6,1.8879e+00
4,7,-8.5953e+00
4,8,-1.3410e+01
4,9,-6.7273e+00
4,10,-9.5907e+00
4,11,-1.1348e+01
4,12,-2.3944e+00
4,13,-4.8688e+00
4,14,-2.5454e+00
4,15,-6.1663e+00
4,16,-1.3182e+01
4,17,-1.7152e+00
4,18,-1.0277e+01
4,19,-6.9232e+00
4,20,-1.0562e+01
5,6,3.4721e+00
5,7,-6.8826e+00
5,8,-6.4947e+00
5,9,-3.9700e+00
5,10,-8.2277e+00
5,11,-8.0427e+00
5,12,-5.8675e+00
5,13,-1.2161e+01
5,14,-1.5178e+00
5,15,-5.6844e+00
5,16,-1.5246e+01
5,17,-4.8878e+00
5,18,-3.9113e+00
5,19,-3.8511e+00
5,20,-5.8690e+00
6,7,-5.7439e+00
6,8,-5.3540e+00
6,9,-6.1553e+00
6,10,-1.4561e+01
6,11,-6.7915e+00
6,12,-6.7454e+00
6,13,-9.6463e+00
6,14,-2.5490e+00
6,15,-5.5581e+00
6,16,-7.4090e+00
6,17,-8.0295e+00
6,18,-1.4554e+01
6,19,-1.0549e+01
6,20,-9.7874e+00
7,8,3.6099e+00
7,9,3.8649e+00
7,10,1.7833e+00
7,11,5.9883e-01
7,12,5.1014e+00
7,13,-2.3984e+00
7,14,1.2450e+00
7,15,3.5091e+00
7,16,3.4841e+00
7,17,3.6655e+00
7,18,-2.3150e+00
7,19,3.8357e+00
7,20,-1.9219e+00
8,9,-5.7633e-01
8,10,7.6464e-01
8,11,4.1595e+00
8,12,-2.8466e+00
8,13,5.8541e-01
8,14,3.9276e+00
8,15,-2.9145e+00
8,16,-4.4047e-01
8,17,2.0769e+00
8,18,-2.8376e+00
8,19,-5.5844e-01
8,20,-1.4568e+00
9,10,-6.8669e+00
9,11,-4.1673e+00
9,12,3.2488e+00
9,13,-2.6063e+00
9,14,2.2262e-01
9,15,1.7163e+00
9,16,1.2236e+00
9,17,1.6307e+00
9,18,-3.9728e+00
9,19,5.4888e-01
9,20,-3.6610e+00
10,11,-3.4744e+00
10,12,4.2776e+00
10,13,7.6237e+00
10,14,-6.3956e+00
10,15,5.2966e-01
10,16,-3.3887e+00
10,17,7.6919e+00
10,18,3.7632e+00
10,19,3.5193e+00
10,20,-4.7069e+00
11,12,1.0669e+00
11,13,-4.2574e+00
11,14,-3.0634e+00
11,15,1.1064e+00
11,16,4.1375e+00
11,17,7.7817e+00
11,18,-5.2697e+00
11,19,3.6907e+00
11,20,-2.4076e+00
12,13,-3.0943e+00
12,14,-5.9613e-01
12,15,-3.5193e+00
12,16,5.2740e+00
12,17,-3.4410e+00
12,18,-1.7178e+00
12,19,3.0146e+00
12,20,-9.8328e+00
13,14,4.2222e+00
13,15,-1.7389e-02
13,16,4.3629e+00
13,17,5.0468e+00
13,18,-2.8600e+00
13,19,-2.2450e+00
13,20,-4.0277e+00
14,15,1.8572e+00
14,16,-2.2482e+00
14,17,3.4223e+00
14,18,-2.9299e+00
14,19,6.3086e-01
14,20,-5.7883e+00
15,16,2.8690e+00
15,17,6.6504e+00
15,18,1.8199e+00
15,19,3.7284e+00
15,20,1.8222e+00
16,17,4.0549e+00
16,18,-2.2640e+00
16,19,-1.0788e+01
16,20,-5.8382e-01
17,18,-9.4769e+00
17,19,-2.6547e+00
17,20,-6.9379e+00
18,19,4.5852e+00
18,20,-1.5154e+00
19,20,1.1354e+00
