n1,n2,fij
1,2,-5.1270e+00
1,3,3.3527e-01
1,4,-4.0656e-01
1,5,-3.7276e+00
1,6,-2.0410e+00
1,7,-4.6032e+00
1,8,-5.1244e+00
1,9,-5.0009e+00
1,10,-5.1796e+00
1,11,-7.6401e+00
1,12,-5.4601e+00
1,13,-4.7805e+00
1,14,-5.7775e+00
1,15,-4.5912e+00
1,16,-7.5989e+00
1,17,-6.4060e+00
1,18,-3.2165e+00
1,19,-4.9107e+00
1,20,-2.7782e+00
2,3,2.2672e+00
2,4,6.2004e+00
2,5,3.1969e+00
2,6,2.5975e+00
2,7,-4.2456e+00
2,8,-8.3494e-01
2,9,-2.2231e+00
2,10,1.8712e+00
2,11,-2.6991e+00
2,12,1.3294e+00
2,13,-5.5189e-01
2,14,2.5175e+00
2,15,-9.8779e-01
2,16,-2.9694e+00
2,17,-3.0257e+00
2,18,-9.7185e-01
2,19,-6.9287e-01
2,20,-4.3216e+00
3,4,-9.2090e-01
3,5,-3.2448e-01
3,6,2.7583e+00
3,7,-4.2748e+00
3,8,-2.9001e+00
3,9,-2.3022e+00
3,10,-2.1573e+00
3,11,-2.0679e+00
3,12,-2.9415e+00
3,13,-6.2857e+00
3,14,-1.8868e+00
3,15,-2.6849e+00
3,16,-4.6008e+00
3,17,-1.4107e+00
3,18,-4.2689e+00
3,19,-3.7938e+00
3,20,-6.5018e+00
4,5,-1.9384e-02
4,6,8.9389e-01
4,7,-3.7524e+00
4,8,-6.5269e+00
4,9,-1.4917e+00
4,10,-1.2600e+00
4,11,-5.0544e+00
4,12,-1.4853e+00
4,13,-2.7472e+00
4,14,-2.1806e+00
4,15,-1.5747e+00
4,16,-4.8473e+00
4,17,-9.7683e-01
4,18,-3.8823e+00
4,19,-2.3086e+00
4,20,-6.8372e+00
5,6,3.5407e+00
5,7,-3.0068e+00
5,8,4.9042e-01
5,9,-1.7197e+00
5,10,-2.8745e+00
5,11,-3.4704e+00
5,12,-3.3315e-01
5,13,-6.3576e+00
5,14,2.4846e+00
5,15,-2.1166e+00
5,16,-6.0472e+00
5,17,-2.6490e+00
5,18,-1.6223e+00
5,19,-1.6622e+00
5,20,-2.7643e+00
6,7,-4.0957e+00
6,8,-2.8228e+00
6,9,-2.9148e+00
6,10,-6.0471e+00
6,11,-3.9564e+00
6,12,-3.1420e+00
6,13,-4.7712e+00
6,14,-2.1424e+00
6,15,-8.6672e-01
6,16,-2.5034e+00
6,17,-3.0404e+00
6,18,-7.0986e+00
6,19,-5.5319e+00
6,20,-3.0518e+00
7,8,1.9915e+00
7,9,1.8987e+00
7,10,7.1361e-01
7,11,-4.6282e-01
7,12,2.9504e+00
7,13,-2.5445e+00
7,14,2.7811e-01
7,15,2.6370e+00
7,16,1.4807e+00
7,17,2.5626e+00
7,18,-6.5852e-01
7,19,1.3184e+00
7,20,-5.6387e-01
8,9,-3.4084e-01
8,10,1.8240e+00
8,11,4.0589e-03
8,12,-4.3140e-01
8,13,-2.5536e+00
8,14,2.0753e+00
8,15,-1.5271e+00
8,16,-1.0083e+00
8,17,-5.8711e-01
8,18,9.8966e-01
8,19,-2.6522e+00
8,20,-6.1815e-01
9,10,5.9703e-02
9,11,-8.8319e-01
9,12,3.5384e+00
9,13,-1.1037e+00
9,14,3.0823e-01
9,15,3.4395e-01
9,16,-9.9202e-01
9,17,5.5800e-01
9,18,4.0947e-01
9,19,2.1701e+00
9,20,-2.0046e+00
10,11,-2.6373e+00
10,12,3.9519e+00
10,13,-6.2530e-01
10,14,-2.4262e+00
10,15,5.4644e-01
10,16,-1.2892e+00
10,17,2.8688e+00
10,18,1.5808e+00
10,19,-9.4056e-01
10,20,-1.6535e+00
11,12,1.1901e-01
11,13,-2.0777e+00
11,14,-1.8586e-01
11,15,-2.3441e-01
11,16,1.9431e+00
11,17,4.8394e+00
11,18,-1.9885e+00
11,19,-5.8394e-01
11,20,-1.7939e+00
12,13,-3.3035e+00
12,14,1.2818e+00
12,15,-1.4427e+00
12,16,1.5084e+00
12,17,-1.3634e+00
12,18,-7.4684e-01
12,19,-8.3177e-01
12,20,-3.7454e+00
13,14,1.7505e+00
13,15,1.0219e+00
13,16,6.7437e-01
13,17,4.5904e+00
13,18,-1.9633e+00
13,19,-1.4446e+00
13,20,-2.0687e+00
14,15,5.1159e-01
14,16,5.5364e-02
14,17,1.4752e+00
14,18,-2.0609e+00
14,19,-7.1240e-02
14,20,-2.4259e+00
15,16,4.7422e-02
15,17,2.7825e+00
15,18,-2.0624e+00
15,19,3.7085e-01
15,20,1.5488e+00
16,17,1.2402e+00
16,18,-5.0626e-01
16,19,-4.0247e+00
16,20,-2.7094e+00
17,18,-3.0171e+00
17,19,-1.2842e+00
17,20,-2.0974e+00
18,19,2.1496e+00
18,20,-9.9617e-01
19,20,-1.0743e+00
