n1,n2,fij
1,2,-1.8156e+00
1,3,4.6873e+00
1,4,1.8599e+00
1,5,5.2480e+00
1,6,-1.6954e+00
1,7,4.6340e+00
1,8,5.7665e+00
1,9,-1.4550e+00
1,10,2.4327e+00
1,11,5.3161e+00
1,12,3.0591e+00
1,13,5.6309e+00
1,14,8.6024e-01
1,15,4.9784e+00
1,16,7.7407e+00
1,17,9.6356e-01
1,18,1.0017e+01
1,19,1.0021e+01
1,20,9.8160e+00
2,3,-2.9427e+00
2,4,9.2889e-01
2,5,-2.4899e+00
2,6,4.3669e+00
2,7,7.7066e+00
2,8,7.5052e+00
2,9,-1.3761e+00
2,10,-9.9427e-01
2,11,-1.2566e+00
2,12,-2.9873e+00
2,13,7.1093e+00
2,14,2.7035e+00
2,15,-2.6314e+00
2,16,-1.5673e+00
2,17,2.8586e+00
2,18,5.5989e+00
2,19,7.5440e+00
2,20,7.3450e+00
3,4,-3.4118e+00
3,5,2.5471e+00
3,6,-3.8262e+00
3,7,-4.9370e+00
3,8,1.4482e+00
3,9,-1.0874e+00
3,10,3.5945e+00
3,11,-1.2914e+00
3,12,-2.6123e+00
3,13,3.0878e+00
3,14,2.3435e+00
3,15,-7.8528e-01
3,16,1.8784e+00
3,17,-2.7330e+00
3,18,3.2542e-03
3,19,1.8745e+00
3,20,-5.2534e+00
4,5,-3.2098e+00
4,6,4.1413e+00
4,7,2.8055e+00
4,8,2.8910e+00
4,9,2.3275e+00
4,10,6.3674e-01
4,11,-1.7333e+00
4,12,4.1601e+00
4,13,2.5617e+00
4,14,1.1896e+00
4,15,-5.4298e+00
4,16,3.3767e+00
4,17,2.3570e+00
4,18,4.5221e+00
4,19,2.1071e+00
4,20,2.0217e-01
5,6,1.7647e+00
5,7,2.2521e+00
5,8,5.1396e+00
5,9,2.0300e+00
5,10,4.0198e+00
5,11,-1.0311e-01
5,12,-8.4379e-01
5,13,5.8493e+00
5,14,5.5267e+00
5,15,2.0626e-01
5,16,2.5766e+00
5,17,9.0563e-01
5,18,2.8682e+00
5,19,2.5090e+00
5,20,2.8003e+00
6,7,2.4757e-01
6,8,2.8422e+00
6,9,2.6660e-03
6,10,-4.0262e+00
6,11,1.5537e+00
6,12,2.1111e-01
6,13,2.2177e+00
6,14,4.0378e+00
6,15,7.6590e+00
6,16,3.1609e+00
6,17,1.6591e-01
6,18,2.1691e+00
6,19,-2.6318e+00
6,20,1.3289e+00
7,8,-4.6856e-01
7,9,-3.1235e+00
7,10,-5.2147e+00
7,11,4.4822e+00
7,12,-4.2606e+00
7,13,4.6558e-01
7,14,2.3014e+00
7,15,-3.7920e+00
7,16,2.3398e+00
7,17,-5.6368e-01
7,18,-2.7930e+00
7,19,6.8709e+00
7,20,5.2737e-01
8,9,-2.3189e+00
8,10,-1.4464e+00
8,11,-1.1239e+00
8,12,-4.6495e+00
8,13,1.6552e+00
8,14,3.3329e+00
8,15,-4.3319e+00
8,16,3.2372e+00
8,17,-8.5172e-01
8,18,1.4858e+00
8,19,1.8812e+00
8,20,-8.9114e+00
9,10,-2.1346e+00
9,11,2.8571e+00
9,12,1.5399e+00
9,13,5.2837e+00
9,14,-1.6637e+00
9,15,1.7359e+00
9,16,-7.1838e+00
9,17,-4.3266e-01
9,18,-3.1774e+00
9,19,-1.7945e+00
9,20,8.9454e-01
10,11,2.5724e+00
10,12,6.2052e+00
10,13,5.2582e+00
10,14,3.8966e+00
10,15,1.4111e+00
10,16,3.2668e+00
10,17,-3.6582e-01
10,18,6.4594e+00
10,19,2.6418e+00
10,20,1.7561e+00
11,12,-6.0959e+00
11,13,5.8701e+00
11,14,-2.5324e+00
11,15,-7.7107e-01
11,16,-2.1534e+00
11,17,-3.9037e+00
11,18,-5.2372e+00
11,19,-5.0259e+00
11,20,-5.4281e+00
12,13,2.1566e+00
12,14,-1.9136e+00
12,15,3.0403e+00
12,16,2.0941e+00
12,17,3.5230e-01
12,18,-4.9673e-01
12,19,-1.2269e+00
12,20,-1.8144e+00
13,14,-1.9875e+00
13,15,-4.3403e+00
13,16,-1.3387e+00
13,17,-6.1153e+00
13,18,-2.1954e+00
13,19,-1.0259e-01
13,20,-6.7746e+00
14,15,-3.8652e+00
14,16,-1.2900e-01
14,17,5.0315e-01
14,18,-7.7585e-01
14,19,1.5887e-01
14,20,2.3574e+00
15,16,1.2814e+00
15,17,2.3708e-01
15,18,1.7621e+00
15,19,8.1369e-01
15,20,-5.0996e-01
16,17,-2.2358e+00
16,18,8.1151e-01
16,19,-1.8640e+00
16,20,-1.1465e+00
17,18,4.9773e+00
17,19,1.4947e+00
17,20,-4.9109e+00
18,19,5.6007e+00
18,20,6.9816e+00
19,20,-3.3778e+00
