n1,n2,fij
1,2,-1.9794e+00
1,3,-3.4714e+00
1,4,-3.0042e+00
1,5,-5.6856e+00
1,6,-2.5556e+00
1,7,-4.3249e+00
1,8,-4.6870e+00
1,9,-3.9090e+00
1,10,-5.7410e+00
1,11,-4.6071e+00
1,12,-6.1439e+00
1,13,-5.7558e+00
1,14,-5.3394e+00
1,15,-5.4351e+00
1,16,-6.7558e+00
1,17,-5.2724e+00
1,18,-5.6948e+00
1,19,-5.9098e+00
1,20,-6.0728e+00
2,3,3.0783e+00
2,4,5.1982e-01
2,5,1.2375e+00
2,6,-1.1301e+00
2,7,-1.8666e+00
2,8,-1.2086e+00
2,9,-2.4952e+00
2,10,-2.2543e+00
2,11,7.6966e-01
2,12,4.8856e-01
2,13,-4.1990e+00
2,14,-2.3190e+00
2,15,2.1580e+00
2,16,-1.2641e-02
2,17,-9.4632e-01
2,18,-3.2131e+00
2,19,-4.8358e+00
2,20,-3.5314e+00
3,4,2.3210e+00
3,5,-1.8614e+00
3,6,-1.1348e+00
3,7,1.4843e-01
3,8,1.5944e+00
3,9,-2.0291e+00
3,10,-5.7286e+00
3,11,-2.6071e+00
3,12,-1.3712e+00
3,13,-1.7929e+00
3,14,-3.4619e+00
3,15,-2.2921e+00
3,16,-1.2656e+00
3,17,-2.3741e+00
3,18,-1.9190e+00
3,19,-2.2002e+00
3,20,-5.0144e-01
4,5,-8.3173e-01
4,6,-3.4090e+00
4,7,-5.3461e-02
4,8,1.1360e+00
4,9,-5.2491e+00
4,10,-4.4109e+00
4,11,1.2634e+00
4,12,-2.6050e+00
4,13,-2.0969e+00
4,14,-2.1929e+00
4,15,4.2819e+00
4,16,-1.4573e+00
4,17,-2.2455e+00
4,18,-1.0485e+00
4,19,-3.9163e+00
4,20,-1.4779e+00
5,6,2.5728e+00
5,7,-3.6548e-02
5,8,-1.3033e-01
5,9,-2.2305e+00
5,10,-3.8535e+00
5,11,2.5640e+00
5,12,-2.0886e-01
5,13,-1.7750e+00
5,14,-4.7960e+00
5,15,1.7359e+00
5,16,5.8433e-01
5,17,-8.0206e-01
5,18,-1.4980e+00
5,19,-2.9034e+00
5,20,-3.7298e+00
6,7,1.5645e+00
6,8,4.2713e+00
6,9,-8.8808e-01
6,10,-8.9306e-01
6,11,1.9153e+00
6,12,3.7387e-01
6,13,-2.1023e+00
6,14,-2.9653e+00
6,15,-2.9621e+00
6,16,-1.8205e+00
6,17,-6.3194e-03
6,18,-1.1060e+00
6,19,1.6637e+00
6,20,-1.2653e+00
7,8,2.0224e+00
7,9,-9.9602e-01
7,10,-1.1754e-01
7,11,-3.9740e+00
7,12,1.7148e+00
7,13,-2.9438e-01
7,14,-3.3988e+00
7,15,2.7155e+00
7,16,-3.3475e+00
7,17,-2.2918e+00
7,18,-9.7563e-01
7,19,-5.7260e+00
7,20,-4.8499e+00
8,9,-4.1950e+00
8,10,-3.0099e+00
8,11,-1.3475e+00
8,12,-4.5021e-01
8,13,-3.6066e+00
8,14,-6.2416e+00
8,15,-4.9712e-01
8,16,-3.5757e+00
8,17,-1.9839e+00
8,18,-4.7212e+00
8,19,-5.4363e+00
8,20,1.6005e+00
9,10,2.0894e+00
9,11,1.9501e+00
9,12,1.3308e+00
9,13,-1.8916e+00
9,14,3.1032e+00
9,15,2.1739e+00
9,16,5.0165e+00
9,17,1.3079e+00
9,18,2.4646e+00
9,19,2.8617e+00
9,20,-2.1501e-01
10,11,4.1305e-01
10,12,-2.3947e+00
10,13,2.2707e-01
10,14,-1.3301e+00
10,15,1.7988e+00
10,16,-7.8436e-02
10,17,9.9086e-01
10,18,-1.9266e+00
10,19,-2.5848e+00
10,20,1.1567e+00
11,12,1.4072e+00
11,13,-3.4383e+00
11,14,-8.4070e-01
11,15,-7.8563e-01
11,16,1.9681e+00
11,17,2.1557e+00
11,18,-4.2898e-01
11,19,-3.0540e-01
11,20,1.9128e+00
12,13,-6.5025e-02
12,14,3.5935e-01
12,15,2.3908e+00
12,16,4.9912e-01
12,17,-1.9569e+00
12,18,8.1618e-01
12,19,-7.9912e-01
12,20,7.0671e-01
13,14,-3.0887e+00
13,15,2.0307e+00
13,16,1.5100e+00
13,17,1.3710e+00
13,18,3.0812e-02
13,19,-1.1866e+00
13,20,7.4178e-01
14,15,5.3322e+00
14,16,1.1543e+00
14,17,6.8245e-01
14,18,-1.7733e+00
14,19,-1.1127e+00
14,20,-3.3084e+00
15,16,-2.3242e+00
15,17,-8.6061e-01
15,18,-3.1626e+00
15,19,-5.1988e+00
15,20,-2.0888e+00
16,17,6.5165e-01
16,18,6.4577e-01
16,19,-2.8268e-01
16,20,1.6966e-01
17,18,-2.1676e+00
17,19,-2.1406e+00
17,20,-4.1027e-03
18,19,-2.6738e+00
18,20,-2.3987e+00
19,20,2.0014e+00
