n1,n2,fij
1,2,-2.1000e+01
1,3,-2.9000e+01
1,4,-2.9500e+01
1,5,-3.0000e+01
1,6,-3.1000e+01
1,7,-3.3000e+01
1,8,-3.5000e+01
1,9,-3.7000e+01
1,10,-4.1000e+01
1,11,-4.2000e+01
1,12,-4.3000e+01
1,13,-4.5000e+01
1,14,-4.8000e+01
1,15,-4.8000e+01
1,16,-5.1000e+01
1,17,-5.3000e+01
1,18,-6.2000e+01
2,3,-8.0000e+00
2,4,-8.5000e+00
2,5,-9.0000e+00
2,6,-1.0000e+01
2,7,-1.2000e+01
2,8,-1.4000e+01
2,9,-1.6000e+01
2,10,-2.0000e+01
2,11,-2.1000e+01
2,12,-2.2000e+01
2,13,-2.4000e+01
2,14,-2.7000e+01
2,15,-2.7000e+01
2,16,-3.0000e+01
2,17,-3.2000e+01
2,18,-4.1000e+01
3,4,-5.0000e-01
3,5,-1.0000e+00
3,6,-2.0000e+00
3,7,-4.0000e+00
3,8,-6.0000e+00
3,9,-8.0000e+00
3,10,-1.2000e+01
3,11,-1.3000e+01
3,12,-1.4000e+01
3,13,-1.6000e+01
3,14,-1.9000e+01
3,15,-1.9000e+01
3,16,-2.2000e+01
3,17,-2.4000e+01
3,18,-3.3000e+01
4,5,-5.0000e-01
4,6,-1.5000e+00
4,7,-3.5000e+00
4,8,-5.5000e+00
4,9,-7.5000e+00
4,10,-1.1500e+01
4,11,-1.2500e+01
4,12,-1.3500e+01
4,13,-1.5500e+01
4,14,-1.8500e+01
4,15,-1.8500e+01
4,16,-2.1500e+01
4,17,-2.3500e+01
4,18,-3.2500e+01
5,6,-1.0000e+00
5,7,-3.0000e+00
5,8,-5.0000e+00
5,9,-7.0000e+00
5,10,-1.1000e+01
5,11,-1.2000e+01
5,12,-1.3000e+01
5,13,-1.5000e+01
5,14,-1.8000e+01
5,15,-1.8000e+01
5,16,-2.1000e+01
5,17,-2.3000e+01
5,18,-3.2000e+01
6,7,-2.0000e+00
6,8,-4.0000e+00
6,9,-6.0000e+00
6,10,-1.0000e+01
6,11,-1.1000e+01
6,12,-1.2000e+01
6,13,-1.4000e+01
6,14,-1.7000e+01
6,15,-1.7000e+01
6,16,-2.0000e+01
6,17,-2.2000e+01
6,18,-3.1000e+01
7,8,-2.0000e+00
7,9,-4.0000e+00
7,10,-8.0000e+00
7,11,-9.0000e+00
7,12,-1.0000e+01
7,13,-1.2000e+01
7,14,-1.5000e+01
7,15,-1.5000e+01
7,16,-1.8000e+01
7,17,-2.0000e+01
7,18,-2.9000e+01
8,9,-2.0000e+00
8,10,-6.0000e+00
8,11,-7.0000e+00
8,12,-8.0000e+00
8,13,-1.0000e+01
8,14,-1.3000e+01
8,15,-1.3000e+01
8,16,-1.6000e+01
8,17,-1.8000e+01
8,18,-2.7000e+01
9,10,-4.0000e+00
9,11,-5.0000e+00
9,12,-6.0000e+00
9,13,-8.0000e+00
9,14,-1.1000e+01
9,15,-1.1000e+01
9,16,-1.4000e+01
9,17,-1.6000e+01
9,18,-2.5000e+01
10,11,-1.0000e+00
10,12,-2.0000e+00
10,13,-4.0000e+00
10,14,-7.0000e+00
10,15,-7.0000e+00
10,16,-1.0000e+01
10,17,-1.2000e+01
10,18,-2.1000e+01
11,12,-1.0000e+00
11,13,-3.0000e+00
11,14,-6.0000e+00
11,15,-6.0000e+00
11,16,-9.0000e+00
11,17,-1.1000e+01
11,18,-2.0000e+01
12,13,-2.0000e+00
12,14,-5.0000e+00
12,15,-5.0000e+00
12,16,-8.0000e+00
12,17,-1.0000e+01
12,18,-1.9000e+01
13,14,-3.0000e+00
13,15,-3.0000e+00
13,16,-6.0000e+00
13,17,-8.0000e+00
13,18,-1.7000e+01
14,15,0.0000e+00
14,16,-3.0000e+00
14,17,-5.0000e+00
14,18,-1.4000e+01
15,16,-3.0000e+00
15,17,-5.0000e+00
15,18,-1.4000e+01
16,17,-2.0000e+00
16,18,-1.1000e+01
17,18,-9.0000e+00
