n1,n2,fij
1,2,1.3595e+00
1,3,-3.9228e-01
1,4,-2.7777e+00
1,5,-8.3032e-01
1,6,2.7332e+00
1,7,6.5864e-01
1,8,-1.2287e+00
1,9,4.1911e+00
1,10,-6.7503e-01
1,11,3.4642e+00
1,12,9.5338e-01
1,13,-3.8574e+00
1,14,1.4272e+00
1,15,-1.2301e+00
1,16,1.6080e+00
1,17,-8.5869e-01
1,18,3.9727e+00
1,19,-4.8101e-01
1,20,-3.6987e+00
2,3,-4.0972e+00
2,4,-5.2619e+00
2,5,-4.1305e+00
2,6,4.0412e+00
2,7,-1.7707e+00
2,8,-1.7433e+00
2,9,-3.5124e+00
2,10,-2.9766e+00
2,11,5.1622e-01
2,12,-3.5959e+00
2,13,3.7201e-01
2,14,2.9072e+00
2,15,-3.9456e+00
2,16,-8.4571e-01
2,17,-6.0811e+00
2,18,-9.9543e-01
2,19,-3.0610e+00
2,20,-3.5063e+00
3,4,3.3329e+00
3,5,1.2667e+00
3,6,5.7126e-01
3,7,-8.4530e-01
3,8,-4.4952e+00
3,9,-1.2588e-01
3,10,-4.8909e-01
3,11,4.4833e+00
3,12,-1.9603e+00
3,13,-2.2892e+00
3,14,-4.4238e-01
3,15,-4.3813e-01
3,16,-1.8384e+00
3,17,-1.0485e+00
3,18,-9.9152e-01
3,19,-4.4841e+00
3,20,-3.1909e+00
4,5,4.6810e+00
4,6,-5.9763e+00
4,7,1.4926e+00
4,8,-3.0291e+00
4,9,3.2278e+00
4,10,2.9571e-01
4,11,1.5749e+00
4,12,-2.3633e-01
4,13,-2.5651e+00
4,14,-1.6656e+00
4,15,-7.1326e-01
4,16,1.4740e+00
4,17,-2.7816e+00
4,18,8.2023e-01
4,19,-3.7308e-03
4,20,-3.8332e+00
5,6,2.5434e+00
5,7,1.9722e+00
5,8,3.2257e+00
5,9,1.0469e+00
5,10,1.9562e+00
5,11,2.5044e+00
5,12,-4.3344e-01
5,13,-2.5549e+00
5,14,-2.8739e-01
5,15,8.2315e-01
5,16,-2.4688e+00
5,17,7.6029e-01
5,18,7.5008e-03
5,19,-5.2179e-01
5,20,-6.5991e+00
6,7,2.7941e+00
6,8,2.2664e+00
6,9,2.8704e+00
6,10,8.2951e-01
6,11,3.0083e-01
6,12,1.6923e+00
6,13,-1.9752e+00
6,14,-4.4242e-01
6,15,-4.1512e-01
6,16,5.9402e-01
6,17,1.0271e+00
6,18,1.8739e+00
6,19,4.1604e+00
6,20,-1.8038e+00
7,8,2.0729e+00
7,9,1.6863e+00
7,10,9.5710e-01
7,11,-4.7648e-01
7,12,-3.4172e+00
7,13,4.8623e+00
7,14,-3.0850e+00
7,15,-9.1112e-01
7,16,1.9157e-01
7,17,1.1589e+00
7,18,-6.2208e-01
7,19,-2.6690e+00
7,20,-1.2868e+00
8,9,2.4086e+00
8,10,2.4043e-01
8,11,1.0251e+00
8,12,2.4242e+00
8,13,-5.4820e-01
8,14,-2.1428e+00
8,15,-3.1564e+00
8,16,1.0898e+00
8,17,-1.1523e-01
8,18,2.0565e+00
8,19,5.1546e+00
8,20,-3.4805e+00
9,10,-1.3820e+00
9,11,1.2752e+00
9,12,-2.5609e+00
9,13,-7.1306e+00
9,14,-1.2403e+00
9,15,-1.3252e+00
9,16,-1.7125e+00
9,17,3.0103e+00
9,18,-1.9201e+00
9,19,-1.7394e+00
9,20,-3.3494e+00
10,11,-3.2519e+00
10,12,-2.0928e-01
10,13,-3.7740e-01
10,14,1.2209e+00
10,15,-3.1353e+00
10,16,-5.8292e-01
10,17,3.5679e+00
10,18,2.9382e-01
10,19,1.8232e+00
10,20,1.9998e+00
11,12,-5.8717e-02
11,13,2.8229e+00
11,14,-1.6012e+00
11,15,-2.9715e+00
11,16,-6.2031e-02
11,17,-1.6374e+00
11,18,-1.2434e+00
11,19,-1.6230e+00
11,20,-4.1343e+00
12,13,-8.1841e-01
12,14,1.4937e-01
12,15,5.2744e-01
12,16,1.3927e+00
12,17,2.2453e-01
12,18,-5.4760e-01
12,19,-2.1460e+00
12,20,-1.0373e+00
13,14,3.2581e+00
13,15,-1.7181e-01
13,16,8.5969e-02
13,17,-3.0586e+00
13,18,-4.2469e-01
13,19,-5.4419e-01
13,20,-1.1729e+00
14,15,-2.5057e+00
14,16,-2.7264e+00
14,17,1.3720e+00
14,18,-2.8844e+00
14,19,3.9698e+00
14,20,-5.8305e-01
15,16,-6.0289e-01
15,17,-2.2100e+00
15,18,-3.0384e+00
15,19,-2.6019e+00
15,20,-9.8819e-01
16,17,-2.9424e+00
16,18,-3.9620e-01
16,19,2.4305e+00
16,20,-4.6077e+00
17,18,2.6042e+00
17,19,-1.3144e+00
17,20,-3.7259e+00
18,19,-3.5233e-01
18,20,1.1114e+00
19,20,-3.8000e+00
