n1,n2,fij
1,2,6.8822e+00
1,3,3.0091e+00
1,4,-3.2942e+00
1,5,-1.5413e+00
1,6,3.3044e+00
1,7,3.6219e+00
1,8,4.5504e+00
1,9,-1.3899e+00
1,10,-3.8469e+00
1,11,-3.9311e-01
1,12,9.5384e-01
1,13,1.3296e+00
1,14,-3.0091e+00
1,15,-2.3026e+00
1,16,-2.1359e+00
1,17,-3.5541e+00
1,18,-2.8476e+00
1,19,-3.3085e+00
1,20,-4.4947e+00
2,3,-1.1781e+00
2,4,-2.4266e+00
2,5,-3.5485e+00
2,6,-6.8705e-02
2,7,-1.3114e+00
2,8,-1.2402e-01
2,9,-4.6107e+00
2,10,-2.5290e+00
2,11,-5.8738e+00
2,12,4.0112e-01
2,13,1.1601e-01
2,14,-6.8023e+00
2,15,-3.2208e+00
2,16,-3.9780e+00
2,17,-3.2208e+00
2,18,-1.8889e+00
2,19,-4.6381e+00
2,20,-3.5161e+00
3,4,5.5752e-01
3,5,0.0000e+00
3,6,-1.1806e+00
3,7,6.7841e-02
3,8,-2.7235e+00
3,9,-6.2852e+00
3,10,-1.9242e+00
3,11,-1.3700e+00
3,12,-2.2519e+00
3,13,-1.3013e+00
3,14,-2.4003e-01
3,15,-1.4907e+00
3,16,-1.6977e+00
3,17,-3.4102e+00
3,18,-1.0896e+00
3,19,-5.1713e-01
3,20,-2.7691e+00
4,5,-8.7703e-02
4,6,1.0059e+00
4,7,-3.0876e+00
4,8,3.0769e+00
4,9,5.3663e-02
4,10,-7.0677e+00
4,11,-5.4965e+00
4,12,-1.3013e+00
4,13,-3.2761e+00
4,14,2.6539e-01
4,15,-2.7448e+00
4,16,-3.8469e+00
4,17,-3.4102e+00
4,18,-2.1187e+00
4,19,-6.4115e-01
4,20,-2.9484e+00
5,6,9.6888e-01
5,7,-8.7703e-02
5,8,-2.4920e+00
5,9,-4.0058e+00
5,10,-4.8878e+00
5,11,1.6141e+00
5,12,-8.8526e-01
5,13,-1.2402e-01
5,14,-6.0735e-01
5,15,-1.0747e+00
5,16,-1.1220e+00
5,17,8.9037e-01
5,18,-2.7217e+00
5,19,-2.1642e+00
5,20,-2.1966e+00
6,7,-5.4074e+00
6,8,-2.0625e+00
6,9,-1.0383e+00
6,10,-2.2519e+00
6,11,-2.8410e+00
6,12,-1.4577e+00
6,13,1.3013e+00
6,14,-1.5737e+00
6,15,-7.2885e-01
6,16,-1.5641e-01
6,17,-1.6471e+00
6,18,-4.7757e+00
6,19,-3.5485e+00
6,20,-2.4043e+00
7,8,-1.6471e+00
7,9,-1.1220e+00
7,10,-3.6219e+00
7,11,6.0075e-01
7,12,1.0343e+00
7,13,-2.7710e-01
7,14,-1.4907e+00
7,15,-3.2208e+00
7,16,-1.1220e+00
7,17,-1.3337e+00
7,18,-1.4173e+00
7,19,-1.9748e+00
7,20,7.0652e-01
8,9,-1.6471e+00
8,10,-6.2016e+00
8,11,8.7273e-01
8,12,-1.4577e+00
8,13,-1.5059e+00
8,14,-1.3620e+00
8,15,-1.2460e+00
8,16,-1.6067e+00
8,17,-3.4979e+00
8,18,-3.2208e+00
8,19,-2.5573e+00
8,20,7.7436e-01
9,10,-1.6471e+00
9,11,1.0896e+00
9,12,3.0876e+00
9,13,1.1953e+00
9,14,9.4057e-01
9,15,-3.1286e+00
9,16,7.6183e-01
9,17,-3.8990e+00
9,18,-6.4115e-01
9,19,-3.4608e+00
9,20,-1.2069e-01
10,11,1.9748e+00
10,12,1.9344e+00
10,13,2.3026e+00
10,14,3.2773e-01
10,15,1.7133e-01
10,16,5.1713e-01
10,17,-2.4232e+00
10,18,1.6471e+00
10,19,-1.7631e+00
10,20,-2.3355e+00
11,12,-1.5311e+00
11,13,-2.5797e+00
11,14,1.5612e+00
11,15,-1.1128e+00
11,16,-1.0059e+00
11,17,-4.3350e-01
11,18,6.5373e-02
11,19,-2.2519e+00
11,20,-1.5737e+00
12,13,-1.9227e+00
12,14,-2.1172e-01
12,15,-3.9371e+00
12,16,-1.9344e+00
12,17,-2.3081e+00
12,18,-3.7065e-02
12,19,-1.2460e+00
12,20,-1.2460e+00
13,14,-1.4577e+00
13,15,2.1172e-01
13,16,-2.7710e-01
13,17,-2.0720e+00
13,18,-1.3792e+00
13,19,1.0566e+00
13,20,1.2790e+00
14,15,-3.0968e+00
14,16,-3.1702e+00
14,17,-2.6236e-01
14,18,1.5641e-01
14,19,-2.5324e+00
14,20,2.7037e+00
15,16,7.2885e-01
15,17,2.9767e+00
15,18,-7.2885e-01
15,19,6.1284e-01
15,20,8.8193e-01
16,17,1.1300e+00
16,18,1.6471e+00
16,19,-4.7722e+00
16,20,-3.2773e-01
17,18,-1.4024e+00
17,19,-1.1128e+00
17,20,2.9535e-01
18,19,1.7133e-01
18,20,-7.5716e-01
19,20,-3.5560e-01
