n1,n2,fij
1,2,5.4075e+00
1,3,-2.2634e+00
1,4,-3.3307e-16
1,5,7.1646e-01
1,6,1.0167e+00
1,7,-2.1274e+00
1,8,0.0000e+00
1,9,-2.3355e+00
1,10,-5.0833e-01
1,11,-1.3110e+00
1,12,-2.1274e+00
1,13,-7.1646e-01
1,14,-1.9413e+00
1,15,-5.0833e-01
1,16,-4.5990e+00
1,17,-2.6577e+00
1,18,-2.9301e+00
1,19,-3.7606e+00
1,20,-7.1646e-01
2,3,-2.4496e+00
2,4,-2.5217e+00
2,5,-3.4384e+00
2,6,-1.4972e+00
2,7,1.2248e+00
2,8,1.6689e+00
2,9,-3.7465e+00
2,10,-2.1274e+00
2,11,-2.2136e+00
2,12,-2.0055e+00
2,13,1.6191e+00
2,14,-6.6867e+00
2,15,-9.0263e-01
2,16,-4.3411e+00
2,17,-4.7851e+00
2,18,-4.3908e+00
2,19,-3.3522e+00
2,20,-3.4384e+00
3,4,0.0000e+00
3,5,2.3595e-01
3,6,1.8053e+00
3,7,-2.7238e-01
3,8,-1.9413e+00
3,9,-2.6577e+00
3,10,0.0000e+00
3,11,-1.7331e+00
3,12,-3.1163e+00
3,13,1.2248e+00
3,14,9.0263e-01
3,15,-2.9579e+00
3,16,-1.2248e+00
3,17,-4.0687e+00
3,18,-4.3908e+00
3,19,-1.2248e+00
3,20,-7.1646e-01
4,5,2.8439e+00
4,6,-3.9430e-01
4,7,1.2969e+00
4,8,2.3853e+00
4,9,-1.1108e+00
4,10,-4.3411e+00
4,11,1.6191e+00
4,12,-1.1029e+00
4,13,-1.1108e+00
4,14,-1.6191e+00
4,15,-1.4329e+00
4,16,-6.0961e+00
4,17,-2.7717e+00
4,18,0.0000e+00
4,19,-1.6191e+00
4,20,-5.9455e-01
5,6,-1.2248e+00
5,7,5.9455e-01
5,8,1.1108e+00
5,9,-9.0263e-01
5,10,-1.4607e+00
5,11,-1.2248e+00
5,12,-6.1783e+00
5,13,-4.3620e-01
5,14,-7.1646e-01
5,15,-1.9413e+00
5,16,-2.4496e+00
5,17,-2.0553e+00
5,18,-5.2935e+00
5,19,-4.9713e+00
5,20,-9.0263e-01
6,7,-7.1646e-01
6,8,-3.2216e-01
6,9,-1.4972e+00
6,10,9.0263e-01
6,11,-1.5470e+00
6,12,3.2216e-01
6,13,-2.2634e+00
6,14,-1.2248e+00
6,15,-2.9579e+00
6,16,-1.2248e+00
6,17,-2.9301e+00
6,18,-3.4384e+00
6,19,-2.8439e+00
6,20,-1.9413e+00
7,8,0.0000e+00
7,9,-1.7053e+00
7,10,-2.1274e+00
7,11,5.0833e-01
7,12,1.0245e+00
7,13,-2.7220e+00
7,14,-7.1646e-01
7,15,-3.8825e+00
7,16,-3.1660e+00
7,17,-1.6191e+00
7,18,1.2248e+00
7,19,-3.1660e+00
7,20,-5.0833e-01
8,9,-1.0386e+00
8,10,-9.0263e-01
8,11,-1.9413e+00
8,12,-1.9413e+00
8,13,5.0833e-01
8,14,-1.5470e+00
8,15,2.6577e+00
8,16,-2.6577e+00
8,17,-4.7851e+00
8,18,7.1646e-01
8,19,-2.6577e+00
8,20,-1.4110e+00
9,10,1.9413e+00
9,11,3.5603e+00
9,12,9.8884e-01
9,13,1.2248e+00
9,14,-1.4972e+00
9,15,-9.0263e-01
9,16,-1.6191e+00
9,17,2.4496e+00
9,18,1.9413e+00
9,19,-2.2634e+00
9,20,3.3522e+00
10,11,1.9413e+00
10,12,-3.9430e-01
10,13,8.3050e-01
10,14,-1.9413e+00
10,15,2.0812e-01
10,16,-1.2248e+00
10,17,-1.0167e+00
10,18,5.0833e-01
10,19,3.2216e-01
10,20,1.2248e+00
11,12,1.7053e+00
11,13,-2.8439e+00
11,14,-1.9413e+00
11,15,2.6577e+00
11,16,2.1274e+00
11,17,-5.0833e-01
11,18,1.2248e+00
11,19,1.8617e-01
11,20,-1.9413e+00
12,13,-1.9413e+00
12,14,3.1660e+00
12,15,7.1646e-01
12,16,-2.4496e+00
12,17,-2.0134e+00
12,18,5.0833e-01
12,19,-1.2248e+00
12,20,-9.8884e-01
13,14,1.8617e-01
13,15,-1.9413e+00
13,16,0.0000e+00
13,17,-3.2216e-01
13,18,-4.3908e+00
13,19,-4.1549e+00
13,20,-7.1646e-01
14,15,7.1646e-01
14,16,-1.4972e+00
14,17,7.1646e-01
14,18,-9.0263e-01
14,19,-5.2935e+00
14,20,9.0263e-01
15,16,-3.9430e-01
15,17,8.3050e-01
15,18,-1.9413e+00
15,19,-1.5470e+00
15,20,2.0553e+00
16,17,-2.4496e+00
16,18,2.8439e+00
16,19,-9.8884e-01
16,20,0.0000e+00
17,18,-3.2216e-01
17,19,-3.9468e+00
17,20,-3.2216e-01
18,19,-4.0687e+00
18,20,-6.4433e-01
19,20,7.1646e-01
