n1,n2,fij
1,2,1.0689e-01
1,3,2.0502e-01
1,4,-9.2210e-02
1,5,-2.2060e-01
1,6,3.7816e+00
1,7,-6.1864e-01
1,8,-3.6466e+00
1,9,-8.0229e+00
1,10,-2.0836e+00
1,11,7.5068e-01
1,12,-3.8317e+00
1,13,1.9229e-01
1,14,-5.7948e-01
1,15,1.4355e+00
1,16,-4.4656e+00
1,17,-1.9783e+00
1,18,-2.0034e+00
1,19,5.0034e+00
1,20,-8.8839e-01
2,3,-1.7215e-02
2,4,-2.8569e-01
2,5,1.8464e+00
2,6,4.8542e+00
2,7,5.1521e-01
2,8,-1.9548e+00
2,9,-1.4307e+00
2,10,-1.7791e+00
2,11,2.8454e+00
2,12,-5.4739e-01
2,13,2.2095e+00
2,14,6.3690e-01
2,15,-4.5923e-01
2,16,4.9332e-01
2,17,9.9203e-01
2,18,1.9175e+00
2,19,3.3586e-01
2,20,1.0585e+00
3,4,-1.7558e-01
3,5,3.2774e+00
3,6,1.4245e+00
3,7,-2.2935e-01
3,8,-1.9124e+00
3,9,-4.5741e+00
3,10,1.1585e+00
3,11,2.8905e+00
3,12,-7.8859e-01
3,13,3.3460e+00
3,14,-2.0331e-01
3,15,5.2836e-01
3,16,-1.3790e+00
3,17,-4.0298e+00
3,18,-2.0366e+00
3,19,2.4251e+00
3,20,1.0901e+00
4,5,1.0925e-01
4,6,1.2877e+00
4,7,1.1325e+00
4,8,-4.2919e+00
4,9,-1.6196e+00
4,10,2.8116e+00
4,11,1.9471e+00
4,12,-7.6312e-01
4,13,3.3372e+00
4,14,-2.8744e+00
4,15,-8.8564e-01
4,16,1.2919e+00
4,17,-4.6476e+00
4,18,1.1299e+00
4,19,2.8343e+00
4,20,-3.1431e+00
5,6,-1.9674e+00
5,7,-2.5441e+00
5,8,-1.2676e+00
5,9,-3.4222e+00
5,10,-3.0794e+00
5,11,-1.4974e+00
5,12,-3.3842e-01
5,13,1.3483e+00
5,14,5.1374e-01
5,15,-1.1880e+00
5,16,-2.1996e+00
5,17,2.4891e-01
5,18,2.5846e+00
5,19,4.3013e+00
5,20,-1.7645e+00
6,7,-3.1011e+00
6,8,-3.9596e+00
6,9,-6.1086e+00
6,10,-2.9210e+00
6,11,-9.9045e-01
6,12,-3.4179e+00
6,13,1.0047e+00
6,14,-3.8435e-01
6,15,-2.9880e+00
6,16,-6.0708e+00
6,17,-4.9162e+00
6,18,-3.1973e+00
6,19,6.0847e-01
6,20,-3.1345e+00
7,8,3.4921e-01
7,9,-5.7977e+00
7,10,-1.1595e+00
7,11,3.3393e+00
7,12,-1.7847e+00
7,13,-6.2652e-01
7,14,-4.1389e+00
7,15,-3.4481e-01
7,16,-2.5576e+00
7,17,-2.2276e+00
7,18,2.6286e-01
7,19,1.9948e+00
7,20,-2.4051e+00
8,9,1.7270e+00
8,10,2.1004e+00
8,11,4.3911e+00
8,12,3.8742e-01
8,13,4.0566e+00
8,14,1.3826e+00
8,15,-7.3877e-01
8,16,9.3157e-01
8,17,3.8345e+00
8,18,1.5754e+00
8,19,3.7296e+00
8,20,-8.3959e-02
9,10,5.0441e+00
9,11,6.5777e+00
9,12,1.8358e+00
9,13,4.4283e+00
9,14,-1.3012e+00
9,15,-2.0611e+00
9,16,-1.4175e+00
9,17,-2.7340e-01
9,18,5.5623e-01
9,19,6.0844e+00
9,20,6.8894e-01
10,11,-1.1181e-01
10,12,8.5998e-01
10,13,2.0954e+00
10,14,3.9425e-02
10,15,-1.9068e+00
10,16,1.0628e+00
10,17,-5.5023e-01
10,18,-3.0284e-01
10,19,1.8255e+00
10,20,5.4895e-01
11,12,-5.8794e+00
11,13,2.5953e+00
11,14,-3.7707e+00
11,15,-2.5456e+00
11,16,-2.8542e+00
11,17,-6.7527e+00
11,18,-1.1105e+00
11,19,3.7688e+00
11,20,-1.3531e+00
12,13,4.4929e+00
12,14,-1.4510e+00
12,15,-1.9373e+00
12,16,-1.7827e+00
12,17,-2.0897e+00
12,18,1.8863e+00
12,19,7.1226e-01
12,20,-2.1210e+00
13,14,-4.7807e+00
13,15,-5.4537e+00
13,16,-4.2285e+00
13,17,-2.7091e+00
13,18,3.6389e-01
13,19,-1.5467e+00
13,20,-4.1179e+00
14,15,-6.1151e-01
14,16,3.6184e-01
14,17,7.6588e-02
14,18,4.9496e-02
14,19,4.4342e+00
14,20,4.9341e-01
15,16,-2.6783e+00
15,17,2.0406e-01
15,18,1.0364e+00
15,19,-3.0068e-02
15,20,-5.8798e-02
16,17,2.5911e-01
16,18,3.2364e-01
16,19,2.4181e+00
16,20,5.5216e-01
17,18,1.8623e+00
17,19,7.3037e+00
17,20,-8.8987e-03
18,19,4.7064e+00
18,20,-4.7519e-01
19,20,-2.8569e+00
