n1,n2,fij
1,2,-5.7667e+00
1,3,3.1732e-01
1,4,-5.2746e+00
1,5,-4.3442e+00
1,6,-4.9550e+00
1,7,-2.8338e+00
1,8,-6.3785e+00
1,9,2.3352e+00
1,10,-3.1929e+00
1,11,-1.1347e+00
1,12,-5.3682e+00
1,13,-2.5339e+00
1,14,-8.9219e+00
1,15,-5.1749e+00
1,16,-1.4891e+00
1,17,-3.7489e+00
1,18,-3.5078e+00
1,19,-2.9117e+00
1,20,-6.5983e+00
2,3,4.4840e+00
2,4,-9.4207e-01
2,5,2.2557e+00
2,6,2.3728e+00
2,7,3.6431e+00
2,8,-6.8762e-02
2,9,4.5015e+00
2,10,-1.6509e+00
2,11,-1.2744e+00
2,12,-4.7979e-01
2,13,1.9877e+00
2,14,-3.3463e+00
2,15,-3.8684e-01
2,16,-8.9217e-01
2,17,-2.7373e+00
2,18,1.3374e+00
2,19,2.0379e+00
2,20,-1.8926e+00
3,4,-2.6338e+00
3,5,-3.4924e+00
3,6,-2.3770e+00
3,7,-3.7912e+00
3,8,-5.2116e+00
3,9,5.5598e-01
3,10,-3.2961e+00
3,11,-1.4838e+00
3,12,-5.4629e+00
3,13,-2.2028e+00
3,14,-4.8028e+00
3,15,-5.0621e+00
3,16,-6.0147e+00
3,17,-1.4379e+00
3,18,-3.8035e+00
3,19,-4.2949e+00
3,20,-1.8657e+00
4,5,-4.6528e-01
4,6,1.4403e+00
4,7,2.5510e+00
4,8,-2.6388e+00
4,9,1.1988e-01
4,10,3.8549e-01
4,11,2.1502e+00
4,12,1.2811e+00
4,13,-9.5061e-02
4,14,-5.0900e-01
4,15,-3.7493e-01
4,16,5.9434e-01
4,17,9.3227e-01
4,18,-4.5744e-01
4,19,2.0527e+00
4,20,4.1580e-01
5,6,2.1358e-01
5,7,2.9500e+00
5,8,-5.6521e-01
5,9,1.6359e-01
5,10,-8.4767e-01
5,11,3.5845e+00
5,12,1.1876e-01
5,13,3.6120e+00
5,14,-4.0029e+00
5,15,-1.8144e-01
5,16,1.0540e+00
5,17,-1.8405e+00
5,18,5.9419e-01
5,19,7.3088e-01
5,20,-1.8628e+00
6,7,1.6330e+00
6,8,-2.6926e+00
6,9,9.7524e-01
6,10,7.3016e-01
6,11,2.6543e+00
6,12,-3.2410e+00
6,13,9.9715e-01
6,14,1.2398e-01
6,15,-1.9328e+00
6,16,6.3779e-01
6,17,-3.2794e+00
6,18,-2.7192e+00
6,19,6.5979e-01
6,20,-5.6856e-01
7,8,-2.5796e+00
7,9,-8.1296e-01
7,10,-3.3358e-03
7,11,2.4541e-01
7,12,1.0114e+00
7,13,-2.5346e+00
7,14,-9.2485e-01
7,15,-2.5606e+00
7,16,2.8759e-01
7,17,-1.2019e+00
7,18,-4.8510e+00
7,19,-1.6292e-02
7,20,-1.6142e+00
8,9,2.8796e+00
8,10,-6.4039e-02
8,11,1.0438e+00
8,12,4.6451e-01
8,13,1.0008e+00
8,14,2.0080e-01
8,15,2.7169e-01
8,16,-6.2671e-01
8,17,1.4971e+00
8,18,2.4846e+00
8,19,2.5323e+00
8,20,-2.1136e+00
9,10,-5.9375e-01
9,11,-3.3805e+00
9,12,-1.9758e+00
9,13,-3.8156e+00
9,14,-3.5101e+00
9,15,-6.6185e+00
9,16,-4.7620e+00
9,17,-2.5623e+00
9,18,-5.4277e+00
9,19,-2.2111e+00
9,20,-2.2743e+00
10,11,-1.9325e+00
10,12,-2.6128e+00
10,13,1.9459e+00
10,14,8.3002e-01
10,15,1.8411e+00
10,16,-2.0380e-01
10,17,7.5861e-01
10,18,3.4324e+00
10,19,1.4850e+00
10,20,4.4235e-03
11,12,-8.8037e-01
11,13,-2.5546e-01
11,14,-2.1652e+00
11,15,-1.3710e+00
11,16,-2.8306e-01
11,17,-1.5640e+00
11,18,-1.6214e+00
11,19,-1.7300e+00
11,20,-3.4759e+00
12,13,2.2742e+00
12,14,-1.0219e+00
12,15,-3.1457e+00
12,16,2.8411e+00
12,17,-1.3077e+00
12,18,2.1106e+00
12,19,3.8453e-01
12,20,-9.2654e-01
13,14,-3.9563e+00
13,15,-8.3473e-01
13,16,1.9031e+00
13,17,-1.4969e+00
13,18,5.7461e-01
13,19,2.4198e+00
13,20,-5.4520e-01
14,15,1.2734e+00
14,16,2.2692e+00
14,17,1.4573e-01
14,18,-6.6520e-02
14,19,1.4196e+00
14,20,1.2944e+00
15,16,-1.4402e+00
15,17,-1.5385e+00
15,18,-4.3228e+00
15,19,4.1144e+00
15,20,5.7464e-01
16,17,-4.8778e-01
16,18,-1.6769e+00
16,19,1.1016e+00
16,20,-2.4691e+00
17,18,4.7756e-01
17,19,7.2013e-01
17,20,-1.8420e+00
18,19,1.7023e+00
18,20,5.7656e-01
19,20,-1.5613e+00
