n1,n2,fij
1,2,-2.2136e+00
1,3,7.1646e-01
1,4,0.0000e+00
1,5,3.5459e-01
1,6,-3.3522e+00
1,7,-6.3025e-01
1,8,-7.1646e-01
1,9,2.8439e+00
1,10,2.0812e-01
1,11,2.7220e+00
1,12,-1.9413e+00
1,13,1.0386e+00
1,14,-1.2248e+00
1,15,-3.9430e-01
1,16,-2.0275e+00
1,17,-5.0833e-01
1,18,-2.4496e+00
1,19,5.0833e-01
1,20,-3.1660e+00
2,3,1.4972e+00
2,4,3.2216e-01
2,5,9.8884e-01
2,6,1.4972e+00
2,7,0.0000e+00
2,8,-1.4329e+00
2,9,1.1108e+00
2,10,7.1646e-01
2,11,1.0167e+00
2,12,2.4496e+00
2,13,1.8053e+00
2,14,1.9413e+00
2,15,7.1646e-01
2,16,-3.8825e+00
2,17,0.0000e+00
2,18,1.9413e+00
2,19,3.9430e-01
2,20,-3.9430e-01
3,4,-2.6901e+00
3,5,-9.2458e-01
3,6,1.1750e+00
3,7,-9.8884e-01
3,8,-2.3355e+00
3,9,-3.2216e-01
3,10,-3.6744e+00
3,11,-2.9301e+00
3,12,-5.0833e-01
3,13,-3.5860e-01
3,14,-4.7851e+00
3,15,-1.6191e+00
3,16,-2.2136e+00
3,17,3.6744e+00
3,18,-9.2458e-01
3,19,-2.6358e+00
3,20,-3.6744e+00
4,5,-1.1108e+00
4,6,-1.6191e+00
4,7,7.1646e-01
4,8,-1.2248e+00
4,9,3.6744e+00
4,10,0.0000e+00
4,11,-1.6689e+00
4,12,-3.0441e+00
4,13,-9.0263e-01
4,14,3.1660e+00
4,15,-2.1274e+00
4,16,0.0000e+00
4,17,5.0833e-01
4,18,-5.3029e-01
4,19,1.2248e+00
4,20,-9.8884e-01
5,6,-2.4496e+00
5,7,-3.9430e-01
5,8,-1.5470e+00
5,9,7.1646e-01
5,10,-2.4496e+00
5,11,1.9413e+00
5,12,-1.1108e+00
5,13,-1.9413e+00
5,14,-3.0123e+00
5,15,-2.0812e-01
5,16,2.1274e+00
5,17,0.0000e+00
5,18,-8.3050e-01
5,19,1.7053e+00
5,20,-1.6191e+00
6,7,2.6577e+00
6,8,-1.5470e+00
6,9,9.8884e-01
6,10,-1.6191e+00
6,11,2.1274e+00
6,12,-1.2248e+00
6,13,-1.0167e+00
6,14,0.0000e+00
6,15,-9.0263e-01
6,16,5.0833e-01
6,17,-2.2634e+00
6,18,-3.9430e-01
6,19,5.0833e-01
6,20,-3.9430e-01
7,8,-8.3050e-01
7,9,-2.9301e+00
7,10,1.2248e+00
7,11,-1.6191e+00
7,12,3.6744e+00
7,13,-1.6191e+00
7,14,-2.2634e+00
7,15,-5.9455e-01
7,16,7.1646e-01
7,17,1.2248e+00
7,18,-2.1097e+00
7,19,-1.9413e+00
7,20,-3.1660e+00
8,9,7.1646e-01
8,10,1.2248e+00
8,11,2.1274e+00
8,12,-7.1646e-01
8,13,-4.0687e+00
8,14,1.9413e+00
8,15,-9.0263e-01
8,16,-3.9430e-01
8,17,7.1646e-01
8,18,-7.1646e-01
8,19,2.7220e+00
8,20,3.2216e-01
9,10,3.4384e+00
9,11,1.8617e-01
9,12,0.0000e+00
9,13,-3.4384e+00
9,14,-1.6191e+00
9,15,-2.0812e-01
9,16,-4.3908e+00
9,17,-1.9413e+00
9,18,-2.6079e+00
9,19,-1.2248e+00
9,20,1.4329e+00
10,11,1.9413e+00
10,12,-2.4496e+00
10,13,-1.0167e+00
10,14,1.2248e+00
10,15,-8.3050e-01
10,16,-1.7331e+00
10,17,2.0812e-01
10,18,3.5603e+00
10,19,-1.2248e+00
10,20,-1.9413e+00
11,12,5.0833e-01
11,13,7.1646e-01
11,14,-1.9413e+00
11,15,-1.6191e+00
11,16,-7.1646e-01
11,17,2.2204e-16
11,18,-4.3908e+00
11,19,-2.3277e+00
11,20,-1.7331e+00
12,13,2.2204e-16
12,14,4.4630e+00
12,15,-1.6191e+00
12,16,-2.6577e+00
12,17,4.0687e+00
12,18,8.3050e-01
12,19,-3.1660e+00
12,20,-9.8884e-01
13,14,-3.1660e+00
13,15,-3.4384e+00
13,16,3.9430e-01
13,17,-2.9301e+00
13,18,1.0167e+00
13,19,2.4496e+00
13,20,-2.3355e+00
14,15,-1.2248e+00
14,16,-1.7331e+00
14,17,-3.9430e-01
14,18,0.0000e+00
14,19,-4.0687e+00
14,20,-7.1646e-01
15,16,-2.4496e+00
15,17,-2.8439e+00
15,18,-1.8272e+00
15,19,-9.0263e-01
15,20,1.2248e+00
16,17,1.2248e+00
16,18,1.6191e+00
16,19,1.2248e+00
16,20,7.1646e-01
17,18,1.5470e+00
17,19,-2.4496e+00
17,20,-3.6744e+00
18,19,-5.0833e-01
18,20,-1.2248e+00
19,20,-3.9430e-01
