n1,n2,fij
1,2,-1.9986e+00
1,3,-6.5334e-01
1,4,-1.9896e+00
1,5,-1.6763e+00
1,6,1.9685e+00
1,7,-3.3833e+00
1,8,-3.7856e+00
1,9,-5.9709e+00
1,10,-9.0021e+00
1,11,-3.2000e+00
1,12,-7.3535e+00
1,13,-6.3211e+00
1,14,-8.2437e+00
1,15,-7.0428e+00
1,16,-6.6089e+00
1,17,-4.4566e+00
1,18,-2.5736e+00
1,19,-3.8691e+00
1,20,-6.3931e+00
2,3,2.5908e+00
2,4,1.4744e+00
2,5,-2.2294e-01
2,6,1.8072e+00
2,7,-2.5062e+00
2,8,-8.1013e-01
2,9,-1.5074e-01
2,10,-3.2471e+00
2,11,-1.9751e-01
2,12,2.0360e+00
2,13,-1.3393e+00
2,14,6.7494e-01
2,15,-2.7411e+00
2,16,-4.3110e+00
2,17,1.5348e+00
2,18,-9.2915e-01
2,19,-3.5166e-01
2,20,-2.6894e+00
3,4,-8.8782e-02
3,5,-1.4577e+00
3,6,-4.6012e-01
3,7,-6.1678e-01
3,8,-9.9762e-01
3,9,-1.4646e+00
3,10,-4.1735e+00
3,11,-5.4739e+00
3,12,-3.8109e+00
3,13,-2.2373e+00
3,14,-6.4563e-01
3,15,-2.7323e+00
3,16,-5.3882e-01
3,17,2.4869e-01
3,18,-1.0425e+00
3,19,-5.3107e+00
3,20,-5.4353e+00
4,5,-4.0580e-01
4,6,1.1228e+00
4,7,-3.5938e+00
4,8,-6.2607e+00
4,9,-2.5861e+00
4,10,-3.7670e+00
4,11,-2.7814e+00
4,12,-5.5953e-02
4,13,1.1751e+00
4,14,2.9281e+00
4,15,-5.3951e+00
4,16,-6.2634e+00
4,17,1.0586e+00
4,18,-3.8381e+00
4,19,-2.1122e+00
4,20,-1.8585e+00
5,6,3.2317e+00
5,7,-3.5275e+00
5,8,-2.1231e+00
5,9,7.6911e-02
5,10,-1.7217e+00
5,11,-2.5281e-01
5,12,-2.6152e+00
5,13,-4.7560e+00
5,14,2.2070e+00
5,15,-2.9012e+00
5,16,-7.0159e+00
5,17,-2.6133e+00
5,18,8.7352e-02
5,19,8.0271e-01
5,20,-1.2693e+00
6,7,-3.6190e+00
6,8,7.9895e-01
6,9,1.2253e+00
6,10,-8.5689e+00
6,11,-2.3789e+00
6,12,-2.9428e+00
6,13,-5.5983e+00
6,14,-4.4230e-01
6,15,-1.8900e+00
6,16,-2.7305e+00
6,17,-3.8475e+00
6,18,-4.8925e+00
6,19,-4.8420e+00
6,20,-3.8734e+00
7,8,1.6971e+00
7,9,2.8898e+00
7,10,2.3708e-01
7,11,1.8361e+00
7,12,-1.4874e-02
7,13,4.1633e-01
7,14,5.1877e+00
7,15,2.7805e+00
7,16,-9.5606e-02
7,17,1.9382e+00
7,18,2.7029e+00
7,19,1.3151e+00
7,20,2.0703e+00
8,9,-2.0183e+00
8,10,1.2240e+00
8,11,2.3950e+00
8,12,-1.3966e+00
8,13,1.3812e+00
8,14,-1.3667e-01
8,15,-8.7899e-01
8,16,-1.1521e+00
8,17,9.6126e-01
8,18,-2.5989e+00
8,19,3.5447e+00
8,20,-1.4988e-01
9,10,-4.1091e+00
9,11,-2.6226e-01
9,12,1.9527e+00
9,13,-1.1468e+00
9,14,1.8987e+00
9,15,1.9516e-01
9,16,-2.7790e+00
9,17,1.5176e+00
9,18,-1.7163e+00
9,19,-1.4115e-01
9,20,-4.4989e-01
10,11,-6.9758e-01
10,12,3.8459e-01
10,13,4.3111e+00
10,14,-7.0531e-01
10,15,-3.7573e-01
10,16,-9.8979e-01
10,17,5.0678e+00
10,18,-3.2077e+00
10,19,-1.5661e+00
10,20,-1.8178e+00
11,12,-3.6289e+00
11,13,5.4578e-01
11,14,-3.7390e+00
11,15,-6.8038e-01
11,16,5.2704e+00
11,17,3.3836e+00
11,18,-4.1529e+00
11,19,2.3293e+00
11,20,-1.4547e+00
12,13,5.7174e-01
12,14,2.4674e+00
12,15,-1.8368e+00
12,16,3.0502e+00
12,17,-2.4006e+00
12,18,1.5919e+00
12,19,8.9336e-01
12,20,-3.3741e+00
13,14,4.0247e-01
13,15,6.4563e-01
13,16,-3.9723e-01
13,17,2.1557e+00
13,18,-1.4708e+00
13,19,-3.8532e-03
13,20,1.5467e-02
14,15,-9.7805e-01
14,16,1.4216e+00
14,17,1.4021e+00
14,18,1.3788e+00
14,19,-7.5746e-01
14,20,-2.9693e+00
15,16,9.5602e-01
15,17,3.9726e+00
15,18,1.8981e+00
15,19,2.0334e+00
15,20,9.4355e-01
16,17,7.2384e-01
16,18,-8.5267e-01
16,19,-4.0354e+00
16,20,-3.5576e+00
17,18,-4.4359e+00
17,19,-3.4649e+00
17,20,-2.6308e+00
18,19,1.3938e+00
18,20,-9.5132e-01
19,20,-1.1122e+00
