n1,n2,fij
1,2,-1.9621e+00
1,3,7.3580e-01
1,4,-3.6790e+00
1,5,-1.4716e+00
1,6,-2.4527e-01
1,7,-3.4337e+00
1,8,-4.6601e+00
1,9,-5.3959e+00
1,10,-4.6601e+00
1,11,-6.1317e+00
1,12,-6.3770e+00
1,13,-1.9621e+00
1,14,-5.3959e+00
1,15,-4.4148e+00
1,16,-6.1317e+00
1,17,-3.1885e+00
1,18,-2.9432e+00
1,19,-5.6411e+00
1,20,-5.8864e+00
2,3,7.3580e-01
2,4,3.1885e+00
2,5,-2.4527e-01
2,6,-4.9053e-01
2,7,-4.4148e+00
2,8,-2.4527e-01
2,9,-2.6979e+00
2,10,-1.7169e+00
2,11,-9.8107e-01
2,12,4.9053e-01
2,13,4.9053e-01
2,14,3.4337e+00
2,15,-9.8107e-01
2,16,-2.6979e+00
2,17,1.2263e+00
2,18,-1.4716e+00
2,19,2.4527e-01
2,20,-1.2263e+00
3,4,0.0000e+00
3,5,-1.7169e+00
3,6,-7.3580e-01
3,7,-1.4716e+00
3,8,-2.6979e+00
3,9,-3.1885e+00
3,10,-1.7169e+00
3,11,-6.6222e+00
3,12,-5.3959e+00
3,13,-3.4337e+00
3,14,-2.2074e+00
3,15,-3.1885e+00
3,16,9.8107e-01
3,17,-2.2074e+00
3,18,-2.4527e-01
3,19,-5.1506e+00
3,20,-4.9053e+00
4,5,-2.6979e+00
4,6,-1.9621e+00
4,7,-4.1695e+00
4,8,-4.1695e+00
4,9,-1.4716e+00
4,10,-3.9243e+00
4,11,-2.4527e+00
4,12,-3.1885e+00
4,13,-3.6790e+00
4,14,1.4716e+00
4,15,-2.2074e+00
4,16,-2.9432e+00
4,17,7.3580e-01
4,18,-3.1885e+00
4,19,-1.7169e+00
4,20,-1.7169e+00
5,6,1.7169e+00
5,7,-7.3580e-01
5,8,-2.6979e+00
5,9,-1.7169e+00
5,10,-1.9621e+00
5,11,-3.1885e+00
5,12,-3.6790e+00
5,13,-3.9243e+00
5,14,2.4527e-01
5,15,1.4716e+00
5,16,-5.6411e+00
5,17,-2.2074e+00
5,18,-2.4527e-01
5,19,-1.9621e+00
5,20,-1.2263e+00
6,7,2.4527e-01
6,8,-2.4527e-01
6,9,-1.4716e+00
6,10,-2.9432e+00
6,11,7.3580e-01
6,12,-1.2263e+00
6,13,-2.6979e+00
6,14,1.4716e+00
6,15,7.3580e-01
6,16,1.9621e+00
6,17,-2.9432e+00
6,18,-3.4337e+00
6,19,-6.6222e+00
6,20,1.4716e+00
7,8,2.2074e+00
7,9,2.9432e+00
7,10,1.1102e-16
7,11,1.4716e+00
7,12,-4.9053e-01
7,13,-2.4527e-01
7,14,1.9621e+00
7,15,2.6979e+00
7,16,1.7169e+00
7,17,1.2263e+00
7,18,-1.4716e+00
7,19,-5.5511e-17
7,20,0.0000e+00
8,9,1.4716e+00
8,10,1.7169e+00
8,11,1.2263e+00
8,12,-1.7169e+00
8,13,1.7169e+00
8,14,2.9432e+00
8,15,-9.8107e-01
8,16,9.8107e-01
8,17,1.2263e+00
8,18,-2.2074e+00
8,19,1.2263e+00
8,20,2.4527e-01
9,10,-1.7169e+00
9,11,-2.6979e+00
9,12,-1.1102e-16
9,13,-2.4527e-01
9,14,-2.4527e-01
9,15,1.9621e+00
9,16,2.2074e+00
9,17,2.4527e+00
9,18,-2.2074e+00
9,19,9.8107e-01
9,20,-1.2263e+00
10,11,-4.9053e-01
10,12,1.2263e+00
10,13,2.4527e-01
10,14,-1.9621e+00
10,15,2.2074e+00
10,16,2.4527e-01
10,17,2.2074e+00
10,18,-1.4716e+00
10,19,4.9053e-01
10,20,-1.7169e+00
11,12,1.9621e+00
11,13,4.9053e-01
11,14,2.4527e-01
11,15,1.4716e+00
11,16,3.1885e+00
11,17,7.3580e-01
11,18,-1.2263e+00
11,19,-7.3580e-01
11,20,1.4716e+00
12,13,4.9053e-01
12,14,1.9621e+00
12,15,-4.9053e-01
12,16,5.1506e+00
12,17,7.3580e-01
12,18,1.2263e+00
12,19,2.2074e+00
12,20,-2.9432e+00
13,14,2.4527e+00
13,15,-3.6790e+00
13,16,1.4716e+00
13,17,1.4716e+00
13,18,-2.4527e-01
13,19,-7.3580e-01
13,20,-1.7169e+00
14,15,1.7169e+00
14,16,1.9621e+00
14,17,1.7169e+00
14,18,-1.4716e+00
14,19,7.3580e-01
14,20,-2.4527e-01
15,16,2.9432e+00
15,17,2.4527e+00
15,18,2.9432e+00
15,19,7.3580e-01
15,20,1.2263e+00
16,17,-1.4716e+00
16,18,-2.6979e+00
16,19,-8.8296e+00
16,20,-2.4527e-01
17,18,-4.6601e+00
17,19,-3.1885e+00
17,20,-3.6790e+00
18,19,2.6979e+00
18,20,1.9621e+00
19,20,4.9053e-01
