n1,n2,fij
1,2,-3.8752e+00
1,3,8.7634e-01
1,4,-2.3571e+00
1,5,-3.4232e+00
1,6,-2.4359e-01
1,7,-5.0556e+00
1,8,-4.9474e+00
1,9,-5.5275e+00
1,10,-7.5586e+00
1,11,-6.4420e+00
1,12,-5.5582e+00
1,13,-6.0908e+00
1,14,-6.7762e+00
1,15,-4.5189e+00
1,16,-7.3515e+00
1,17,-3.6121e+00
1,18,-6.1266e+00
1,19,-7.2693e+00
1,20,-5.1146e+00
2,3,1.7576e+00
2,4,4.6592e+00
2,5,9.7951e-01
2,6,2.0336e+00
2,7,-3.0119e+00
2,8,-1.9159e-02
2,9,-2.4435e+00
2,10,-4.1363e+00
2,11,-4.8166e+00
2,12,-6.3520e-01
2,13,-1.7056e-01
2,14,2.1115e+00
2,15,-2.6815e+00
2,16,-5.8630e+00
2,17,6.5191e-01
2,18,-3.2285e+00
2,19,-2.7033e+00
2,20,-2.8269e+00
3,4,-7.4617e-03
3,5,-2.1264e+00
3,6,9.4099e-01
3,7,-3.0309e+00
3,8,-1.3762e+00
3,9,-3.9423e+00
3,10,-4.4368e+00
3,11,-5.9840e+00
3,12,-4.1713e+00
3,13,-2.7445e+00
3,14,-1.8193e+00
3,15,-3.4266e+00
3,16,-3.9635e+00
3,17,-1.5997e+00
3,18,-4.2304e+00
3,19,-4.8039e+00
3,20,-5.8921e+00
4,5,6.3453e-02
4,6,1.5696e+00
4,7,-3.4312e+00
4,8,-7.6017e+00
4,9,-2.3089e+00
4,10,-5.1486e+00
4,11,-5.1569e+00
4,12,-1.3397e+00
4,13,-4.0236e+00
4,14,-2.0473e+00
4,15,-2.5312e+00
4,16,-6.6344e+00
4,17,4.1685e-01
4,18,-4.3849e+00
4,19,-4.3359e+00
4,20,-5.2029e+00
5,6,4.2325e+00
5,7,-4.0645e+00
5,8,-2.8529e-01
5,9,-2.7885e+00
5,10,-4.4175e+00
5,11,-3.0372e+00
5,12,-2.2910e+00
5,13,-3.9370e+00
5,14,1.8864e-01
5,15,-2.2043e+00
5,16,-5.9494e+00
5,17,-1.8689e+00
5,18,-2.7125e+00
5,19,-6.6387e-01
5,20,-2.6781e+00
6,7,-2.3009e+00
6,8,-1.6852e+00
6,9,-2.0268e+00
6,10,-8.1169e+00
6,11,-3.2759e+00
6,12,-3.4514e+00
6,13,-5.0284e+00
6,14,-2.8671e+00
6,15,-1.8545e+00
6,16,-3.4884e+00
6,17,-2.7365e+00
6,18,-7.0311e+00
6,19,-5.0476e+00
6,20,-3.6022e+00
7,8,1.2353e+00
7,9,2.2899e+00
7,10,-1.1238e-01
7,11,-1.3924e+00
7,12,4.7632e-01
7,13,-1.9350e+00
7,14,4.4083e-01
7,15,2.0880e-01
7,16,7.0936e-01
7,17,9.6021e-01
7,18,-8.6511e-01
7,19,-1.2426e-01
7,20,1.2949e+00
8,9,-9.9881e-01
8,10,1.0019e+00
8,11,1.0106e+00
8,12,-3.3998e+00
8,13,-1.7914e+00
8,14,9.3888e-01
8,15,-2.0829e+00
8,16,-1.6563e+00
8,17,-3.4659e-01
8,18,-1.7708e-02
8,19,-2.0489e+00
8,20,-2.4787e-01
9,10,-3.4574e+00
9,11,-2.2309e+00
9,12,8.6974e-01
9,13,-7.6840e-01
9,14,2.4420e-01
9,15,2.2745e+00
9,16,-3.7036e-01
9,17,1.2756e+00
9,18,-1.9634e+00
9,19,-7.9025e-01
9,20,-2.4184e+00
10,11,-2.8338e+00
10,12,1.2068e+00
10,13,3.7581e+00
10,14,-3.1042e+00
10,15,1.9704e+00
10,16,-2.4687e+00
10,17,4.6913e+00
10,18,1.9946e+00
10,19,6.2405e-01
10,20,-2.9946e+00
11,12,-7.7788e-01
11,13,-1.8818e+00
11,14,-1.6455e+00
11,15,6.8930e-01
11,16,1.0622e+00
11,17,6.8591e+00
11,18,-1.8113e+00
11,19,3.0767e+00
11,20,-1.2034e+00
12,13,-1.3010e+00
12,14,1.4937e+00
12,15,-1.5168e+00
12,16,2.8676e+00
12,17,-1.4296e+00
12,18,4.9130e-01
12,19,1.7685e+00
12,20,-3.7413e+00
13,14,2.0497e+00
13,15,4.8502e-01
13,16,3.0817e+00
13,17,2.6331e+00
13,18,4.2410e-01
13,19,-1.9347e+00
13,20,-3.6649e+00
14,15,2.5212e+00
14,16,-1.7595e+00
14,17,2.3944e+00
14,18,-2.9665e-01
14,19,-1.7241e-01
14,20,-3.0407e+00
15,16,1.1142e+00
15,17,4.0756e+00
15,18,1.5928e+00
15,19,6.5328e-01
15,20,2.4485e+00
16,17,3.1235e+00
16,18,-1.2659e+00
16,19,-5.8040e+00
16,20,-1.1094e+00
17,18,-4.1611e+00
17,19,-1.2612e+00
17,20,-3.4160e+00
18,19,5.7446e-01
18,20,-8.4437e-01
19,20,1.9204e+00
