n1,n2,fij
1,2,1.9522e+00
1,3,-1.9822e+00
1,4,-8.3491e-01
1,5,-2.8400e+00
1,6,1.4473e+00
1,7,-2.5887e+00
1,8,-2.1294e+00
1,9,4.3159e-01
1,10,-2.1748e+00
1,11,-1.8844e+00
1,12,-4.3524e-01
1,13,-2.6266e+00
1,14,1.2352e+00
1,15,-8.5438e-01
1,16,-3.2978e+00
1,17,-2.1908e+00
1,18,-5.3083e+00
1,19,-5.7933e+00
1,20,-2.8575e+00
2,3,2.4348e+00
2,4,-4.8468e-02
2,5,1.0656e+00
2,6,-2.0111e+00
2,7,-2.0761e+00
2,8,-4.7962e+00
2,9,-2.9958e-02
2,10,3.5775e+00
2,11,9.8617e-01
2,12,2.0923e+00
2,13,-2.5924e+00
2,14,-2.2860e+00
2,15,2.4841e+00
2,16,4.5006e-01
2,17,-1.5976e+00
2,18,-4.0253e+00
2,19,-1.6527e+00
2,20,-2.5299e+00
3,4,9.6568e-01
3,5,-1.0526e-01
3,6,1.0635e+00
3,7,3.6940e+00
3,8,3.4367e-01
3,9,1.1184e+00
3,10,-2.9165e-01
3,11,1.0007e+00
3,12,4.2613e-01
3,13,-2.3758e+00
3,14,-6.3124e-02
3,15,9.3077e-01
3,16,-2.5575e+00
3,17,1.8915e+00
3,18,-6.6372e-02
3,19,-1.5668e+00
3,20,2.9484e+00
4,5,7.6500e-01
4,6,-8.8595e-01
4,7,-5.9163e-01
4,8,-4.1173e+00
4,9,-1.1436e+00
4,10,3.2180e-01
4,11,1.3549e+00
4,12,-1.2427e+00
4,13,9.1638e-01
4,14,-8.0736e-02
4,15,1.9128e+00
4,16,9.9141e-01
4,17,-1.1911e+00
4,18,-5.1834e+00
4,19,6.5794e-02
4,20,1.8110e-01
5,6,-5.1782e-01
5,7,-2.6770e+00
5,8,-3.6521e+00
5,9,-4.1516e-01
5,10,-1.6478e+00
5,11,3.5028e-03
5,12,-7.1501e-01
5,13,-1.8822e+00
5,14,-2.6727e+00
5,15,-3.4446e-01
5,16,-1.0869e+00
5,17,6.1476e-01
5,18,-2.4350e+00
5,19,-1.3557e+00
5,20,-6.5956e-01
6,7,-3.6649e-01
6,8,8.5985e-01
6,9,-1.6299e+00
6,10,4.2403e-01
6,11,-1.5770e-02
6,12,7.4100e-02
6,13,3.3953e-01
6,14,-9.6036e-01
6,15,-3.3910e+00
6,16,-6.7003e-01
6,17,5.3527e-01
6,18,-1.3811e+00
6,19,4.1707e+00
6,20,3.0456e+00
7,8,1.1053e+00
7,9,1.5756e+00
7,10,2.1014e+00
7,11,-2.2742e+00
7,12,4.2756e+00
7,13,5.4826e-01
7,14,-1.2552e+00
7,15,2.1060e+00
7,16,-9.6883e-01
7,17,1.8570e+00
7,18,1.2144e+00
7,19,-3.2603e+00
7,20,-1.4269e+00
8,9,1.0777e+00
8,10,-5.1042e-01
8,11,1.2890e+00
8,12,2.7572e+00
8,13,-3.6804e+00
8,14,-1.6338e+00
8,15,5.9162e+00
8,16,-1.3201e+00
8,17,-1.2769e+00
8,18,-9.1915e-01
8,19,-4.9124e-01
8,20,4.6744e+00
9,10,9.1047e-01
9,11,1.5748e-01
9,12,-6.4857e-01
9,13,-1.4315e+00
9,14,1.7686e+00
9,15,-1.3146e+00
9,16,3.8172e+00
9,17,-1.2336e+00
9,18,4.0804e+00
9,19,6.2716e-01
9,20,1.1355e+00
10,11,-1.1043e+00
10,12,-2.7688e+00
10,13,-1.1316e+00
10,14,-5.9545e-01
10,15,-1.1278e+00
10,16,-8.0750e-01
10,17,9.5808e-01
10,18,-1.0483e+00
10,19,2.0644e+00
10,20,6.2983e-01
11,12,7.8090e-01
11,13,-1.6785e+00
11,14,3.1057e+00
11,15,1.6908e+00
11,16,1.7846e+00
11,17,1.9968e+00
11,18,2.1162e+00
11,19,1.2530e+00
11,20,1.5548e+00
12,13,-1.9050e+00
12,14,3.4465e+00
12,15,-2.9587e+00
12,16,-5.0761e-01
12,17,-9.1556e-01
12,18,4.2818e-01
12,19,2.1720e+00
12,20,2.2097e+00
13,14,7.8158e-01
13,15,4.6970e+00
13,16,1.7042e+00
13,17,2.3426e+00
13,18,-4.0271e-01
13,19,-1.0109e-01
13,20,2.9935e+00
14,15,2.2599e+00
14,16,-1.1738e+00
14,17,-2.3775e+00
14,18,-9.6758e-01
14,19,-1.7176e-01
14,20,5.2939e-01
15,16,2.0893e+00
15,17,-4.5322e-01
15,18,-3.9616e-01
15,19,-2.0540e+00
15,20,2.4449e-01
16,17,-9.3522e-01
16,18,2.4837e+00
16,19,-1.7664e-01
16,20,2.6045e+00
17,18,-4.3753e+00
17,19,-5.6628e-01
17,20,1.1492e+00
18,19,5.3967e-01
18,20,-4.2773e+00
19,20,1.5762e+00
