n1,n2,fij
1,2,-3.8954e+00
1,3,-8.9207e-01
1,4,-1.0967e+00
1,5,-1.7591e+00
1,6,-7.5127e-01
1,7,-3.6475e+00
1,8,1.4007e+00
1,9,-1.6641e+00
1,10,4.1823e-01
1,11,-1.7686e+00
1,12,-4.3667e+00
1,13,-3.3889e+00
1,14,-5.9218e-01
1,15,1.1247e+00
1,16,-5.1941e+00
1,17,-1.5117e+00
1,18,-5.0498e+00
1,19,-1.8751e+00
1,20,-4.6087e+00
2,3,5.1158e+00
2,4,-9.8706e-01
2,5,1.2246e+00
2,6,-2.2448e+00
2,7,-2.4706e+00
2,8,-1.7186e-01
2,9,-1.3002e+00
2,10,-2.2467e-01
2,11,2.8675e-01
2,12,-4.0115e-03
2,13,-4.5788e+00
2,14,1.5888e-01
2,15,9.6457e-01
2,16,-1.4209e+00
2,17,-1.6424e+00
2,18,-2.3857e+00
2,19,-2.5346e+00
2,20,-1.4440e+00
3,4,9.1373e-01
3,5,-2.0147e+00
3,6,-8.7683e-01
3,7,1.0752e+00
3,8,-7.7753e-01
3,9,2.1147e+00
3,10,-9.1512e-01
3,11,1.3392e+00
3,12,-1.3302e-01
3,13,-2.3176e+00
3,14,-9.8974e-01
3,15,-6.4851e-01
3,16,4.6776e-01
3,17,4.9423e-01
3,18,-4.6998e-01
3,19,1.2124e+00
3,20,-2.6254e-01
4,5,-1.3856e+00
4,6,-5.0310e-01
4,7,1.2526e+00
4,8,-7.0119e-01
4,9,-4.5452e-01
4,10,-2.1284e-02
4,11,-1.1728e+00
4,12,-1.3418e+00
4,13,-3.9777e+00
4,14,-1.7137e+00
4,15,7.8535e-01
4,16,-2.4720e+00
4,17,-2.5029e+00
4,18,-2.2346e+00
4,19,-1.3027e+00
4,20,-1.0992e+00
5,6,3.7957e+00
5,7,-1.1584e-01
5,8,1.4137e+00
5,9,-1.6610e+00
5,10,-1.0233e+00
5,11,5.3698e-01
5,12,-1.4251e-02
5,13,-3.7912e-01
5,14,-2.4439e+00
5,15,2.5465e-01
5,16,1.6932e+00
5,17,-6.7709e-01
5,18,1.4227e-01
5,19,-1.8611e+00
5,20,-3.3065e+00
6,7,2.2794e+00
6,8,-9.6590e-01
6,9,-1.6822e+00
6,10,9.1190e-01
6,11,9.1922e-02
6,12,-4.3319e-01
6,13,-7.4668e-01
6,14,-1.2220e+00
6,15,4.3811e-01
6,16,-7.9723e-01
6,17,-2.3102e+00
6,18,1.9046e+00
6,19,4.0770e+00
6,20,-2.4003e+00
7,8,-1.4827e-01
7,9,-1.7445e+00
7,10,-4.7834e-01
7,11,-1.4259e+00
7,12,1.0959e+00
7,13,-4.1864e+00
7,14,-4.1099e-02
7,15,3.3680e-01
7,16,-1.1239e+00
7,17,-1.5677e+00
7,18,1.0376e+00
7,19,-4.2666e+00
7,20,-2.4018e+00
8,9,-2.6464e+00
8,10,-1.1801e+00
8,11,-1.9905e-01
8,12,-3.8778e+00
8,13,-2.5128e+00
8,14,-1.4572e+00
8,15,3.0198e+00
8,16,-4.5679e+00
8,17,5.6764e-01
8,18,-1.2330e+00
8,19,-3.9854e-01
8,20,-1.2924e-01
9,10,1.0136e+00
9,11,-3.7850e+00
9,12,1.8216e+00
9,13,-1.2845e+00
9,14,2.0968e+00
9,15,-6.9006e-01
9,16,1.3169e+00
9,17,-8.5762e-03
9,18,-5.6708e-01
9,19,9.1906e-01
9,20,2.8925e-01
10,11,-3.3573e+00
10,12,-5.0437e+00
10,13,-1.9458e+00
10,14,-2.9876e+00
10,15,-1.4780e+00
10,16,-3.9164e+00
10,17,1.0214e-01
10,18,-3.9995e+00
10,19,-2.7368e+00
10,20,3.6056e-01
11,12,3.6702e-01
11,13,-4.8085e-01
11,14,-7.2300e-01
11,15,-1.6769e+00
11,16,-1.3752e+00
11,17,2.7680e+00
11,18,1.7604e+00
11,19,1.9007e+00
11,20,4.5907e+00
12,13,-3.4240e-01
12,14,-2.8527e-02
12,15,1.2074e+00
12,16,-3.3869e-01
12,17,6.3264e-01
12,18,1.5138e+00
12,19,1.0042e+00
12,20,-1.6385e+00
13,14,-1.3977e+00
13,15,1.6653e+00
13,16,1.2034e+00
13,17,1.6255e+00
13,18,1.0622e-02
13,19,-5.5458e-01
13,20,3.7043e+00
14,15,1.3515e+00
14,16,-2.2021e-01
14,17,-1.2135e-01
14,18,-2.4936e+00
14,19,-1.5149e+00
14,20,-4.2837e+00
15,16,-1.9252e+00
15,17,-6.0402e-01
15,18,2.8124e-01
15,19,-9.4103e-01
15,20,-4.0378e+00
16,17,1.9723e+00
16,18,-4.3079e-01
16,19,5.2271e+00
16,20,1.6838e+00
17,18,-1.1339e+00
17,19,-1.1185e+00
17,20,9.5803e-01
18,19,-4.3719e+00
18,20,-4.0718e+00
19,20,3.8989e-01
