n1,n2,fij
1,2,-2.4527e-01
1,3,-4.9053e+00
1,4,2.4527e-01
1,5,-1.2263e+00
1,6,2.4527e+00
1,7,-1.2263e+00
1,8,-2.9432e+00
1,9,9.8107e-01
1,10,-1.9621e+00
1,11,-9.8107e-01
1,12,-3.9243e+00
1,13,-3.1885e+00
1,14,-9.8107e-01
1,15,-1.9621e+00
1,16,-1.2263e+00
1,17,1.2263e+00
1,18,-5.3959e+00
1,19,-9.8107e-01
1,20,-3.4337e+00
2,3,3.9243e+00
2,4,1.4716e+00
2,5,9.8107e-01
2,6,7.3580e-01
2,7,-3.1885e+00
2,8,-4.1695e+00
2,9,7.3580e-01
2,10,2.4527e+00
2,11,0.0000e+00
2,12,2.4527e+00
2,13,-3.1885e+00
2,14,-1.1102e-16
2,15,2.6979e+00
2,16,2.9432e+00
2,17,3.3307e-16
2,18,-1.7169e+00
2,19,-5.8864e+00
2,20,-3.1885e+00
3,4,2.4527e+00
3,5,-2.4527e+00
3,6,3.6790e+00
3,7,1.7169e+00
3,8,-9.8107e-01
3,9,4.9053e-01
3,10,-7.3580e-01
3,11,2.2074e+00
3,12,2.2074e+00
3,13,-1.7169e+00
3,14,2.2074e+00
3,15,7.3580e-01
3,16,4.9053e-01
3,17,3.4337e+00
3,18,4.9053e-01
3,19,9.8107e-01
3,20,2.6979e+00
4,5,7.3580e-01
4,6,-2.2074e+00
4,7,-3.1885e+00
4,8,2.4527e-01
4,9,-2.2074e+00
4,10,-1.2263e+00
4,11,-4.9053e-01
4,12,-2.4527e+00
4,13,-1.4716e+00
4,14,-2.6979e+00
4,15,9.8107e-01
4,16,-2.2074e+00
4,17,-4.9053e-01
4,18,-1.7169e+00
4,19,-2.4527e-01
4,20,-2.2074e+00
5,6,1.2263e+00
5,7,-7.3580e-01
5,8,-1.7169e+00
5,9,-1.9621e+00
5,10,2.4527e-01
5,11,9.8107e-01
5,12,2.2074e+00
5,13,-1.7169e+00
5,14,-1.7169e+00
5,15,7.3580e-01
5,16,7.3580e-01
5,17,3.1885e+00
5,18,-1.7169e+00
5,19,-1.7169e+00
5,20,-1.2263e+00
6,7,1.2263e+00
6,8,-2.6979e+00
6,9,2.4527e-01
6,10,2.4527e+00
6,11,-9.8107e-01
6,12,-2.4527e+00
6,13,-4.9053e-01
6,14,-1.4716e+00
6,15,-2.9432e+00
6,16,-1.9621e+00
6,17,2.4527e-01
6,18,-1.4716e+00
6,19,1.7169e+00
6,20,-1.9621e+00
7,8,1.4716e+00
7,9,2.4527e+00
7,10,4.1695e+00
7,11,-9.8107e-01
7,12,2.9432e+00
7,13,7.3580e-01
7,14,2.4527e-01
7,15,1.7169e+00
7,16,-2.6979e+00
7,17,3.1885e+00
7,18,1.4716e+00
7,19,-3.4337e+00
7,20,-1.7169e+00
8,9,4.9053e-01
8,10,7.3580e-01
8,11,1.9621e+00
8,12,3.4337e+00
8,13,-7.3580e-01
8,14,-2.4527e-01
8,15,1.2263e+00
8,16,-2.6979e+00
8,17,2.6979e+00
8,18,-3.1885e+00
8,19,2.6979e+00
8,20,2.4527e+00
9,10,2.2074e+00
9,11,-2.2074e+00
9,12,7.3580e-01
9,13,-3.6790e+00
9,14,9.8107e-01
9,15,2.4527e-01
9,16,6.6222e+00
9,17,2.2074e+00
9,18,-2.4527e-01
9,19,2.4527e+00
9,20,-1.4716e+00
10,11,-1.2263e+00
10,12,-4.1695e+00
10,13,-2.2074e+00
10,14,-1.4716e+00
10,15,-4.9053e-01
10,16,-2.4527e+00
10,17,1.7169e+00
10,18,-3.4337e+00
10,19,-2.4527e+00
10,20,-4.9053e-01
11,12,4.9053e+00
11,13,-4.9053e+00
11,14,1.2263e+00
11,15,4.9053e-01
11,16,-1.1102e-16
11,17,2.4527e+00
11,18,7.3580e-01
11,19,3.6790e+00
11,20,3.6790e+00
12,13,-2.4527e-01
12,14,4.9053e-01
12,15,-1.7169e+00
12,16,-1.7169e+00
12,17,-9.8107e-01
12,18,1.4716e+00
12,19,2.4527e-01
12,20,9.8107e-01
13,14,7.3580e-01
13,15,1.4716e+00
13,16,2.9432e+00
13,17,3.1885e+00
13,18,-2.4527e-01
13,19,-9.8107e-01
13,20,2.2074e+00
14,15,2.4527e-01
14,16,9.8107e-01
14,17,2.4527e-01
14,18,1.9621e+00
14,19,-1.4716e+00
14,20,-4.9053e-01
15,16,-1.7169e+00
15,17,1.2263e+00
15,18,-2.4527e-01
15,19,2.4527e-01
15,20,-2.4527e-01
16,17,2.4527e-01
16,18,-1.9621e+00
16,19,1.2263e+00
16,20,2.4527e-01
17,18,-3.1885e+00
17,19,-1.9621e+00
17,20,2.2074e+00
18,19,-3.1885e+00
18,20,-6.8675e+00
19,20,3.1885e+00
