n1,n2,fij
1,2,-3.1660e+00
1,3,-9.0263e-01
1,4,-1.2248e+00
1,5,-1.3467e+00
1,6,2.0275e+00
1,7,1.8617e-01
1,8,-2.4496e+00
1,9,-3.2025e+00
1,10,2.4496e+00
1,11,-1.3110e+00
1,12,-3.2216e-01
1,13,-4.2371e+00
1,14,-7.1646e-01
1,15,-1.2248e+00
1,16,-1.1750e+00
1,17,1.6191e+00
1,18,-3.7288e+00
1,19,-3.2216e-01
1,20,-3.8825e+00
2,3,-5.0833e-01
2,4,2.1274e+00
2,5,2.7220e+00
2,6,-1.9413e+00
2,7,-3.1660e+00
2,8,-3.1660e+00
2,9,-1.2248e+00
2,10,1.2248e+00
2,11,2.9579e+00
2,12,0.0000e+00
2,13,-2.3355e+00
2,14,-3.8825e+00
2,15,1.9413e+00
2,16,0.0000e+00
2,17,-1.2248e+00
2,18,-4.0687e+00
2,19,-5.0833e-01
2,20,-2.1274e+00
3,4,3.2216e-01
3,5,1.7331e+00
3,6,6.5183e+00
3,7,2.2136e+00
3,8,-5.9455e-01
3,9,-1.2248e+00
3,10,7.1646e-01
3,11,3.8825e+00
3,12,1.4607e+00
3,13,-1.0386e+00
3,14,-5.0833e-01
3,15,3.8825e+00
3,16,1.9413e+00
3,17,2.2136e+00
3,18,-2.3355e+00
3,19,-3.9430e-01
3,20,-1.0386e+00
4,5,-7.1646e-01
4,6,-4.3908e+00
4,7,-4.2371e+00
4,8,-3.2216e-01
4,9,1.3388e+00
4,10,-1.1404e-01
4,11,5.8047e-01
4,12,-3.9430e-01
4,13,-1.4972e+00
4,14,1.7331e+00
4,15,7.1646e-01
4,16,-1.9413e+00
4,17,-1.9413e+00
4,18,-4.3908e+00
4,19,-1.2248e+00
4,20,-3.8825e+00
5,6,1.9413e+00
5,7,5.0833e-01
5,8,-1.4329e+00
5,9,-3.9430e-01
5,10,-7.1646e-01
5,11,-9.0263e-01
5,12,0.0000e+00
5,13,-3.0441e+00
5,14,-1.8617e-01
5,15,-9.0263e-01
5,16,-1.7331e+00
5,17,-7.1646e-01
5,18,5.0833e-01
5,19,1.5470e+00
5,20,-9.0263e-01
6,7,-3.1163e+00
6,8,-1.5470e+00
6,9,-1.9413e+00
6,10,4.7851e+00
6,11,2.6577e+00
6,12,-1.7331e+00
6,13,-7.1646e-01
6,14,1.4607e+00
6,15,-4.0687e+00
6,16,-7.1646e-01
6,17,1.9413e+00
6,18,-2.4496e+00
6,19,1.2248e+00
6,20,-5.0833e-01
7,8,0.0000e+00
7,9,1.1108e+00
7,10,3.9430e-01
7,11,-1.2969e+00
7,12,3.3522e+00
7,13,-1.8617e-01
7,14,7.1646e-01
7,15,-1.2248e+00
7,16,7.1646e-01
7,17,1.6191e+00
7,18,-1.2248e+00
7,19,-1.2248e+00
7,20,3.9430e-01
8,9,5.0833e-01
8,10,3.3307e-16
8,11,-3.9430e-01
8,12,-2.1274e+00
8,13,-1.9413e+00
8,14,2.2136e+00
8,15,1.7331e+00
8,16,1.7331e+00
8,17,-2.7220e+00
8,18,3.9430e-01
8,19,-1.6191e+00
8,20,3.4384e+00
9,10,4.4407e-01
9,11,-2.8439e+00
9,12,-2.6577e+00
9,13,1.2248e+00
9,14,2.1274e+00
9,15,-1.7331e+00
9,16,2.4496e+00
9,17,-3.9430e-01
9,18,3.1660e+00
9,19,-8.6212e-02
9,20,0.0000e+00
10,11,-1.4110e+00
10,12,-2.1274e+00
10,13,-1.1404e-01
10,14,-1.2248e+00
10,15,-3.2382e+00
10,16,-2.0553e+00
10,17,1.2248e+00
10,18,-1.2248e+00
10,19,-1.1108e+00
10,20,-3.5603e+00
11,12,-8.3050e-01
11,13,0.0000e+00
11,14,2.1274e+00
11,15,2.3355e+00
11,16,3.3307e-16
11,17,1.2191e-01
11,18,7.1646e-01
11,19,-5.0833e-01
11,20,0.0000e+00
12,13,3.1660e+00
12,14,0.0000e+00
12,15,-1.2248e+00
12,16,3.3522e+00
12,17,1.7331e+00
12,18,2.1274e+00
12,19,3.1660e+00
12,20,1.2248e+00
13,14,2.6577e+00
13,15,2.6577e+00
13,16,-5.0833e-01
13,17,4.8992e+00
13,18,1.0386e+00
13,19,9.0263e-01
13,20,4.3908e+00
14,15,2.1274e+00
14,16,1.9413e+00
14,17,-1.7331e+00
14,18,-1.9413e+00
14,19,2.2136e+00
14,20,0.0000e+00
15,16,3.2216e-01
15,17,-1.1108e+00
15,18,-1.9413e+00
15,19,-1.2248e+00
15,20,-3.2216e-01
16,17,1.6191e+00
16,18,-1.4329e+00
16,19,1.2248e+00
16,20,2.9301e+00
17,18,-3.1660e+00
17,19,-1.0386e+00
17,20,2.2634e+00
18,19,-3.1660e+00
18,20,-2.1274e+00
19,20,-1.2191e-01
