n1,n2,fij
1,2,-1.4795e+00
1,3,-4.2426e+00
1,4,-2.4924e+00
1,5,1.1410e+00
1,6,-3.2221e+00
1,7,-4.2866e+00
1,8,-5.8962e-01
1,9,-6.9763e+00
1,10,-3.2881e+00
1,11,-4.5283e+00
1,12,-5.7053e+00
1,13,-5.5218e+00
1,14,-4.0037e+00
1,15,-2.0560e+00
1,16,-5.0630e+00
1,17,-3.7495e+00
1,18,-5.4998e+00
2,3,3.2351e+00
2,4,-8.2403e-01
2,5,3.3188e+00
2,6,3.5935e+00
2,7,4.6841e-01
2,8,-3.0322e+00
2,9,5.3696e+00
2,10,9.2770e-01
2,11,2.5485e-01
2,12,2.7478e+00
2,13,-4.6248e-01
2,14,-7.3936e-01
2,15,2.6953e+00
2,16,-5.3078e-01
2,17,5.2824e+00
2,18,-2.6684e+00
3,4,2.4757e+00
3,5,1.4742e+00
3,6,2.0391e+00
3,7,-4.0774e+00
3,8,7.2249e-01
3,9,4.7284e-01
3,10,-1.5423e+00
3,11,9.9419e-01
3,12,-6.2135e-01
3,13,-5.2403e-01
3,14,-3.0027e-01
3,15,3.8706e-01
3,16,-1.2361e+00
3,17,8.4019e-01
3,18,6.1958e-01
4,5,-2.1236e+00
4,6,1.7553e-01
4,7,7.6877e-01
4,8,-1.1355e+00
4,9,1.3453e+00
4,10,-2.2215e+00
4,11,-1.2478e+00
4,12,-1.5947e+00
4,13,-6.5183e-01
4,14,-7.0425e+00
4,15,-1.8992e+00
4,16,-1.5604e-01
4,17,1.3487e+00
4,18,2.2500e-02
5,6,-1.0980e+00
5,7,-3.1531e+00
5,8,9.2855e-01
5,9,-2.8128e-01
5,10,-5.3726e+00
5,11,1.7649e-01
5,12,-2.8953e+00
5,13,-5.7046e-01
5,14,-3.6755e+00
5,15,-1.5056e+00
5,16,-3.0238e-01
5,17,-1.6643e-01
5,18,-4.0711e+00
6,7,-2.9513e+00
6,8,-7.1285e-01
6,9,9.8231e-01
6,10,-2.5787e+00
6,11,-4.1650e-01
6,12,-4.1094e+00
6,13,-1.7195e+00
6,14,-3.4771e+00
6,15,-5.3394e+00
6,16,1.1442e+00
6,17,4.9288e-01
6,18,-2.1462e+00
7,8,1.5885e+00
7,9,5.0837e+00
7,10,-2.4132e+00
7,11,2.6077e-01
7,12,2.5184e+00
7,13,1.0391e+00
7,14,-2.9600e+00
7,15,-1.4523e+00
7,16,5.7112e-01
7,17,5.9679e+00
7,18,1.9505e+00
8,9,3.0530e+00
8,10,1.9435e+00
8,11,-7.8289e-01
8,12,-4.4616e+00
8,13,-1.6233e+00
8,14,-1.7126e+00
8,15,-6.4793e-02
8,16,2.6626e+00
8,17,4.9829e+00
8,18,7.3648e-01
9,10,2.1417e+00
9,11,-1.2795e+00
9,12,3.5798e+00
9,13,-7.4939e-01
9,14,2.7934e+00
9,15,-4.5418e-01
9,16,6.5320e-01
9,17,-5.6365e-01
9,18,7.9372e-02
10,11,-7.0788e-01
10,12,-2.1280e+00
10,13,3.4482e+00
10,14,2.2236e+00
10,15,-2.6009e+00
10,16,1.3612e+00
10,17,2.2392e+00
10,18,2.3718e-01
11,12,-1.6917e+00
11,13,-3.8603e+00
11,14,-1.4691e+00
11,15,-1.3860e-01
11,16,1.7602e+00
11,17,-8.4354e-01
11,18,-1.3406e+00
12,13,-2.9758e+00
12,14,-3.2495e+00
12,15,3.4565e+00
12,16,-1.3479e+00
12,17,-2.1120e+00
12,18,4.3826e+00
13,14,3.9443e+00
13,15,-2.2134e+00
13,16,-1.2922e+00
13,17,1.4018e+00
13,18,-2.3740e+00
14,15,1.5614e+00
14,16,8.7325e-01
14,17,-5.8897e-01
14,18,-1.4544e+00
15,16,-2.1131e+00
15,17,2.6938e+00
15,18,-1.0925e-01
16,17,1.6018e+00
16,18,2.8405e-01
17,18,1.9640e+00
