n1,n2,fij
1,2,-2.3631e+00
1,3,-4.3411e-01
1,4,-3.7057e+00
1,5,5.8726e-01
1,6,1.5399e-01
1,7,6.7947e-01
1,8,3.1631e-01
1,9,3.0385e+00
1,10,-1.2931e+00
1,11,-3.1399e+00
1,12,-8.6997e-01
1,13,1.7292e+00
1,14,1.6001e+00
1,15,-2.9572e+00
1,16,1.3338e+00
1,17,-1.8620e+00
1,18,2.8112e+00
2,3,4.4386e+00
2,4,9.2965e-01
2,5,5.4756e-01
2,6,1.7203e+00
2,7,2.1516e+00
2,8,-6.8202e-01
2,9,3.2363e+00
2,10,3.2570e+00
2,11,-7.9874e-01
2,12,5.8870e+00
2,13,3.0622e+00
2,14,4.6586e+00
2,15,-2.3642e+00
2,16,2.4328e+00
2,17,2.8629e+00
2,18,4.8615e-01
3,4,-5.6198e+00
3,5,-7.1381e-01
3,6,3.3022e+00
3,7,-1.5188e+00
3,8,1.2654e+00
3,9,-2.2529e+00
3,10,2.3200e+00
3,11,-1.4638e-01
3,12,2.4474e+00
3,13,-1.3935e+00
3,14,2.1666e+00
3,15,-4.8231e+00
3,16,1.3086e+00
3,17,-2.0205e+00
3,18,-1.4212e+00
4,5,2.3543e-01
4,6,-5.0117e+00
4,7,-1.7227e+00
4,8,-1.1076e+00
4,9,-5.9205e-01
4,10,1.0916e+00
4,11,-2.4046e+00
4,12,3.8998e-01
4,13,-9.1604e-01
4,14,6.7364e-01
4,15,-3.6866e-01
4,16,-1.0834e+00
4,17,-2.3347e+00
4,18,-5.9471e-01
5,6,-1.2403e+00
5,7,-3.6238e-01
5,8,1.6344e+00
5,9,2.4937e+00
5,10,-1.5091e+00
5,11,9.6551e-01
5,12,9.7036e-01
5,13,4.8273e+00
5,14,2.2360e+00
5,15,-4.8902e+00
5,16,8.6068e-01
5,17,-1.5634e+00
5,18,-1.0919e+00
6,7,8.1690e-01
6,8,-6.4327e-01
6,9,1.4064e+00
6,10,2.7856e+00
6,11,-1.9979e+00
6,12,1.5541e-01
6,13,-2.6028e-01
6,14,-5.1500e-01
6,15,-2.2854e+00
6,16,1.2431e+00
6,17,-4.7907e-01
6,18,-5.5728e-03
7,8,6.6399e-01
7,9,6.0240e+00
7,10,1.5470e-01
7,11,1.9264e-01
7,12,1.6623e+00
7,13,-1.3635e+00
7,14,7.0401e-01
7,15,-6.2063e-01
7,16,-4.4757e+00
7,17,7.6148e-01
7,18,6.6445e-01
8,9,1.6642e+00
8,10,1.0768e+00
8,11,-2.2846e+00
8,12,-5.3639e-01
8,13,3.0553e+00
8,14,2.5538e-01
8,15,-5.3730e-01
8,16,1.1126e+00
8,17,3.0887e+00
8,18,1.4996e-01
9,10,-1.0914e+00
9,11,-2.3293e-01
9,12,2.6042e+00
9,13,-7.0495e-01
9,14,-1.4271e+00
9,15,-9.1988e-01
9,16,-2.8748e+00
9,17,-3.1145e-01
9,18,-2.6607e+00
10,11,-1.4583e+00
10,12,-3.0795e+00
10,13,1.2515e+00
10,14,8.4674e-01
10,15,-6.1174e+00
10,16,-6.4430e-01
10,17,7.4772e-01
10,18,-2.8169e-01
11,12,4.1929e+00
11,13,-6.9875e-01
11,14,-1.4498e-01
11,15,1.3227e+00
11,16,6.6401e-01
11,17,-3.6208e-01
11,18,-7.3561e-01
12,13,-8.6246e-02
12,14,-2.2389e+00
12,15,-8.0449e-01
12,16,5.5140e-01
12,17,-1.8925e+00
12,18,-7.0410e-01
13,14,-6.3509e-01
13,15,-1.1405e+00
13,16,-1.4259e+00
13,17,-3.1412e+00
13,18,-8.5937e-01
14,15,1.9502e+00
14,16,-3.2147e-01
14,17,2.0329e+00
14,18,2.9995e-01
15,16,-7.2385e-01
15,17,3.0484e+00
15,18,-1.5737e+00
16,17,3.4063e+00
16,18,3.0816e-01
17,18,2.2279e+00
