n1,n2,fij
1,2,-1.6411e+00
1,3,-1.5106e+00
1,4,-5.1949e-01
1,5,1.2333e+00
1,6,-2.9538e+00
1,7,-4.8082e+00
1,8,1.7871e+00
1,9,-5.7392e+00
1,10,-5.1687e+00
1,11,-5.2275e+00
1,12,-3.3693e+00
1,13,-5.3225e+00
1,14,-2.8307e+00
1,15,-3.8581e+00
1,16,-5.7176e+00
1,17,-5.1132e+00
1,18,-7.0378e+00
2,3,2.5287e-01
2,4,1.3490e+00
2,5,-1.9639e-02
2,6,2.5824e-01
2,7,2.7234e+00
2,8,-5.2948e-01
2,9,3.1188e+00
2,10,-3.3298e+00
2,11,9.5460e-01
2,12,4.0533e-01
2,13,-4.8288e-01
2,14,-9.4685e-01
2,15,-4.2778e-01
2,16,1.3713e+00
2,17,-2.9285e-01
2,18,-6.4348e-01
3,4,3.0177e+00
3,5,6.4180e-01
3,6,4.1955e+00
3,7,-2.5433e+00
3,8,2.0456e-01
3,9,4.3189e-01
3,10,-3.3072e+00
3,11,-2.0444e+00
3,12,5.2738e-01
3,13,-2.6993e+00
3,14,-1.3143e+00
3,15,-2.2350e+00
3,16,1.6846e+00
3,17,1.1005e+00
3,18,3.5748e-01
4,5,-2.1871e+00
4,6,-2.6541e+00
4,7,4.8321e-01
4,8,-1.0660e+00
4,9,-6.7750e+00
4,10,-4.3432e+00
4,11,-5.0012e+00
4,12,-3.4542e+00
4,13,-3.7876e+00
4,14,-6.8129e+00
4,15,-2.6276e+00
4,16,-2.0486e+00
4,17,-4.4546e-01
4,18,-5.9538e+00
5,6,4.2100e-01
5,7,3.2383e-01
5,8,1.1338e+00
5,9,6.4990e-01
5,10,-2.3093e+00
5,11,1.5779e+00
5,12,-4.2118e+00
5,13,2.9022e-01
5,14,-3.8835e+00
5,15,-1.5163e+00
5,16,6.2834e-02
5,17,-6.3268e-02
5,18,-3.5215e+00
6,7,-2.6078e+00
6,8,3.7891e-02
6,9,-4.4872e-01
6,10,-2.8291e+00
6,11,-1.7295e+00
6,12,-1.5368e+00
6,13,-2.0994e+00
6,14,-2.1902e+00
6,15,-4.1837e+00
6,16,-1.8975e+00
6,17,-4.1449e+00
6,18,-1.0216e+00
7,8,7.9009e-01
7,9,2.5679e+00
7,10,1.2498e+00
7,11,7.6425e-01
7,12,-1.3469e+00
7,13,9.3864e-02
7,14,4.9686e-01
7,15,-1.0283e+00
7,16,1.9961e+00
7,17,5.0475e+00
7,18,1.7964e+00
8,9,2.7831e+00
8,10,-3.6884e-01
8,11,-1.1140e+00
8,12,-4.9910e+00
8,13,-1.0964e+00
8,14,-5.1166e-01
8,15,-7.1088e-01
8,16,1.9748e+00
8,17,1.4912e+00
8,18,-6.0591e-01
9,10,1.6350e+00
9,11,-9.2467e-02
9,12,-5.0622e-02
9,13,-1.7331e+00
9,14,-5.5398e-01
9,15,-1.0730e+00
9,16,-4.3049e+00
9,17,2.1653e+00
9,18,-5.4638e-01
10,11,3.2676e-01
10,12,1.7899e-01
10,13,-1.0532e+00
10,14,4.3701e-01
10,15,-1.5917e+00
10,16,1.5906e+00
10,17,6.1684e-01
10,18,8.5252e-01
11,12,-1.8949e+00
11,13,-1.9592e+00
11,14,-3.4098e+00
11,15,1.2286e+00
11,16,6.8000e+00
11,17,-3.6175e-01
11,18,2.6043e-01
12,13,1.3197e+00
12,14,-1.9171e+00
12,15,2.2927e+00
12,16,5.5442e-01
12,17,-1.5867e+00
12,18,4.2068e+00
13,14,2.2784e+00
13,15,2.4638e+00
13,16,-1.2859e+00
13,17,2.4668e+00
13,18,-1.3379e+00
14,15,6.6789e-01
14,16,-2.0827e+00
14,17,-2.7938e-01
14,18,-1.1211e+00
15,16,5.3434e-01
15,17,1.8439e+00
15,18,-2.6596e+00
16,17,1.3980e+00
16,18,-1.7125e+00
17,18,2.5337e+00
