n1,n2,fij
1,2,-1.5591e+00
1,3,-4.0433e+00
1,4,-1.2589e+00
1,5,2.3231e-01
1,6,6.9621e-01
1,7,-8.7000e-01
1,8,4.1459e-01
1,9,-9.6120e-01
1,10,-2.2411e+00
1,11,-2.9740e+00
1,12,-1.5830e+00
1,13,7.4240e-01
1,14,-2.2056e+00
1,15,-1.7416e+00
1,16,-2.2041e+00
1,17,-4.0844e+00
1,18,-3.7333e+00
2,3,1.5493e+00
2,4,-2.3136e+00
2,5,5.5247e-01
2,6,1.8927e-01
2,7,1.1846e+00
2,8,-5.2012e-01
2,9,8.8077e-01
2,10,-4.2828e-01
2,11,9.6414e-02
2,12,1.0990e+00
2,13,-1.4463e-01
2,14,-6.8847e-01
2,15,1.7103e+00
2,16,8.2971e-01
2,17,-6.6365e-01
2,18,-1.8634e+00
3,4,2.0153e+00
3,5,-1.9321e+00
3,6,1.0593e-02
3,7,-4.3942e+00
3,8,-1.4152e+00
3,9,-8.4574e-01
3,10,-3.6987e+00
3,11,1.5829e-01
3,12,1.5301e-01
3,13,-2.8903e-01
3,14,-3.6624e+00
3,15,-2.4121e-01
3,16,-1.4840e+00
3,17,4.8832e-01
3,18,-2.0120e+00
4,5,-3.4695e+00
4,6,-1.6641e+00
4,7,-1.3405e+00
4,8,-2.0332e+00
4,9,2.5363e+00
4,10,-1.7127e+00
4,11,-1.8663e+00
4,12,-1.0007e+00
4,13,-6.9723e-01
4,14,-2.1719e+00
4,15,-1.2487e+00
4,16,-1.1837e+00
4,17,1.4880e+00
4,18,-2.0267e+00
5,6,3.9524e-01
5,7,-1.4912e+00
5,8,5.0405e-01
5,9,-1.0495e+00
5,10,-1.2121e+00
5,11,1.6871e-01
5,12,-7.0032e-01
5,13,-2.6902e-01
5,14,-9.5631e-01
5,15,-7.8173e-01
5,16,-4.0811e-01
5,17,-6.2634e-01
5,18,-3.6672e+00
6,7,-1.5110e+00
6,8,1.5146e-01
6,9,-1.1128e+00
6,10,-3.9037e+00
6,11,-2.8321e-01
6,12,-3.3092e+00
6,13,-9.1484e-01
6,14,-2.1660e+00
6,15,-2.2356e+00
6,16,-1.2428e+00
6,17,-1.9931e+00
6,18,-1.9604e+00
7,8,6.1493e-03
7,9,3.0277e+00
7,10,1.3898e+00
7,11,2.6881e+00
7,12,9.3140e-01
7,13,3.7834e+00
7,14,1.3251e+00
7,15,-1.9548e+00
7,16,3.2494e+00
7,17,5.1257e+00
7,18,-7.4650e-01
8,9,3.2659e+00
8,10,2.8313e+00
8,11,9.7026e-01
8,12,-1.0441e+00
8,13,-2.3050e-01
8,14,5.6007e-01
8,15,-1.6385e+00
8,16,-3.4620e-01
8,17,-1.1674e+00
8,18,2.9077e-01
9,10,-7.4463e-01
9,11,1.9532e+00
9,12,1.5627e+00
9,13,-2.6524e-01
9,14,1.0158e+00
9,15,4.5683e-01
9,16,-2.8387e+00
9,17,-1.8443e-01
9,18,-4.0058e-02
10,11,1.1344e+00
10,12,9.4316e-01
10,13,2.1228e+00
10,14,-6.8782e-01
10,15,-1.1700e+00
10,16,6.7015e-01
10,17,-5.4864e-01
10,18,-5.2341e-01
11,12,-1.1961e+00
11,13,-4.3187e+00
11,14,-1.3502e+00
11,15,-1.2441e+00
11,16,8.1186e-01
11,17,-3.1028e-01
11,18,2.8170e-01
12,13,2.2787e+00
12,14,-9.1061e-01
12,15,2.1675e+00
12,16,-8.7745e-01
12,17,-1.1179e+00
12,18,1.9688e+00
13,14,-9.4368e-01
13,15,1.4723e+00
13,16,-1.9276e+00
13,17,2.0799e+00
13,18,-5.8118e-01
14,15,1.2101e-01
14,16,-3.7996e+00
14,17,1.5092e-01
14,18,-1.3796e+00
15,16,1.4615e+00
15,17,1.5505e+00
15,18,-2.7335e+00
16,17,2.9889e+00
16,18,-1.7972e+00
17,18,2.9717e+00
