n1,n2,fij
1,2,-1.2263e+00
1,3,-6.8675e+00
1,4,-1.4716e+00
1,5,2.4527e-01
1,6,-3.6790e+00
1,7,-5.3959e+00
1,8,-9.8107e-01
1,9,-8.5844e+00
1,10,-4.1695e+00
1,11,-4.1695e+00
1,12,-9.8107e-01
1,13,-4.6601e+00
1,14,-5.8864e+00
1,15,-2.4527e+00
1,16,-1.2263e+00
1,17,-3.4337e+00
1,18,-7.6033e+00
2,3,1.4716e+00
2,4,-9.8107e-01
2,5,2.2074e+00
2,6,7.3580e-01
2,7,1.9621e+00
2,8,-2.6979e+00
2,9,1.4716e+00
2,10,7.3580e-01
2,11,9.8107e-01
2,12,3.6790e+00
2,13,-7.3580e-01
2,14,7.3580e-01
2,15,9.8107e-01
2,16,7.3580e-01
2,17,3.1885e+00
2,18,-1.2263e+00
3,4,-7.3580e-01
3,5,2.4527e-01
3,6,-2.4527e-01
3,7,-4.9053e+00
3,8,-2.2074e+00
3,9,0.0000e+00
3,10,-9.8107e-01
3,11,-2.6979e+00
3,12,-2.4527e-01
3,13,1.2263e+00
3,14,-1.7169e+00
3,15,-1.4716e+00
3,16,-4.9053e-01
3,17,-2.4527e-01
3,18,-1.2263e+00
4,5,4.9053e-01
4,6,7.3580e-01
4,7,9.8107e-01
4,8,4.9053e-01
4,9,-1.7169e+00
4,10,-2.4527e+00
4,11,-2.4527e+00
4,12,1.4716e+00
4,13,0.0000e+00
4,14,-7.3580e+00
4,15,2.4527e-01
4,16,-1.7169e+00
4,17,2.2074e+00
4,18,-1.4716e+00
5,6,-1.7169e+00
5,7,-4.1695e+00
5,8,-9.8107e-01
5,9,-1.4716e+00
5,10,-3.6790e+00
5,11,4.9053e-01
5,12,-1.9621e+00
5,13,-7.3580e-01
5,14,-4.4148e+00
5,15,-3.1885e+00
5,16,-1.9621e+00
5,17,-4.9053e-01
5,18,-2.2074e+00
6,7,2.4527e-01
6,8,-1.7169e+00
6,9,-1.7169e+00
6,10,-4.4148e+00
6,11,2.4527e-01
6,12,7.3580e-01
6,13,2.4527e-01
6,14,-1.7169e+00
6,15,-1.2263e+00
6,16,-1.7169e+00
6,17,-1.9621e+00
6,18,-1.1102e-16
7,8,9.8107e-01
7,9,-1.2263e+00
7,10,1.2263e+00
7,11,-4.9053e-01
7,12,1.9621e+00
7,13,1.7169e+00
7,14,-7.3580e-01
7,15,-4.9053e-01
7,16,-1.2263e+00
7,17,2.9432e+00
7,18,2.2074e+00
8,9,9.8107e-01
8,10,1.4716e+00
8,11,9.8107e-01
8,12,-9.8107e-01
8,13,7.3580e-01
8,14,-3.1885e+00
8,15,-7.3580e-01
8,16,-1.4716e+00
8,17,2.2074e+00
8,18,7.3580e-01
9,10,9.8107e-01
9,11,2.6979e+00
9,12,7.1128e+00
9,13,4.4148e+00
9,14,3.9243e+00
9,15,4.9053e-01
9,16,-7.3580e-01
9,17,7.3580e-01
9,18,2.4527e-01
10,11,1.4716e+00
10,12,7.3580e-01
10,13,2.4527e-01
10,14,7.3580e-01
10,15,7.3580e-01
10,16,4.9053e-01
10,17,1.7169e+00
10,18,4.9053e-01
11,12,-1.2263e+00
11,13,-2.4527e+00
11,14,-2.9432e+00
11,15,-1.7169e+00
11,16,2.6979e+00
11,17,-2.4527e-01
11,18,-7.3580e-01
12,13,-2.4527e-01
12,14,-4.4148e+00
12,15,-4.9053e-01
12,16,-4.4148e+00
12,17,-3.9243e+00
12,18,-1.7169e+00
13,14,-2.4527e-01
13,15,-7.3580e-01
13,16,-3.6790e+00
13,17,2.4527e-01
13,18,-3.4337e+00
14,15,-7.3580e-01
14,16,-3.4337e+00
14,17,1.4716e+00
14,18,-2.4527e+00
15,16,4.9053e-01
15,17,1.4716e+00
15,18,1.4716e+00
16,17,-4.9053e-01
16,18,-1.4716e+00
17,18,1.7169e+00
