n1,n2,fij
1,2,-5.0893e+00
1,3,-3.3716e+00
1,4,-2.7094e+00
1,5,-1.4321e+00
1,6,-4.7634e+00
1,7,-4.6604e+00
1,8,1.2265e+00
1,9,-4.9998e+00
1,10,-6.2981e+00
1,11,-7.8699e+00
1,12,-2.3955e+00
1,13,-6.0634e+00
1,14,-4.4547e+00
1,15,-5.9752e+00
1,16,-5.4148e+00
1,17,-5.2462e+00
1,18,-6.9905e+00
2,3,2.5251e+00
2,4,-1.1638e+00
2,5,3.9470e-01
2,6,1.9749e+00
2,7,3.5564e+00
2,8,-2.4226e+00
2,9,2.7454e+00
2,10,-1.1257e-01
2,11,2.5388e+00
2,12,4.3592e+00
2,13,5.2860e-02
2,14,-3.4960e+00
2,15,1.2547e+00
2,16,2.2153e+00
2,17,-1.0893e-01
2,18,-4.2265e-01
3,4,-1.5246e+00
3,5,-6.8182e-01
3,6,1.7675e+00
3,7,-4.7605e+00
3,8,-1.6462e+00
3,9,1.7755e-01
3,10,-2.0268e+00
3,11,-2.2691e+00
3,12,-1.6123e+00
3,13,-1.5340e+00
3,14,-4.2243e+00
3,15,-3.4375e+00
3,16,3.3818e+00
3,17,-1.1772e+00
3,18,-1.7418e+00
4,5,-2.6426e+00
4,6,-4.3890e+00
4,7,-1.1761e+00
4,8,-4.5397e-01
4,9,-2.1786e+00
4,10,-4.2844e+00
4,11,-3.3531e+00
4,12,-9.3340e-01
4,13,-3.5427e+00
4,14,-6.5192e+00
4,15,-8.0834e-01
4,16,-2.0364e+00
4,17,9.2516e-01
4,18,-3.2402e+00
5,6,-1.2900e+00
5,7,-1.5934e+00
5,8,1.3066e+00
5,9,-9.8140e-01
5,10,-1.6980e+00
5,11,1.1854e+00
5,12,-2.9836e+00
5,13,1.6085e-01
5,14,-4.0618e+00
5,15,-3.5567e+00
5,16,-6.5219e-01
5,17,-1.0435e+00
5,18,-4.3248e+00
6,7,-3.8267e+00
6,8,-7.6105e-01
6,9,-5.1264e-02
6,10,-3.7519e+00
6,11,-3.6722e+00
6,12,-3.4417e+00
6,13,-2.5296e+00
6,14,-2.1943e+00
6,15,-6.8561e+00
6,16,-1.6820e+00
6,17,-4.1396e+00
6,18,-1.5309e+00
7,8,4.2130e+00
7,9,4.5028e+00
7,10,-5.5639e-01
7,11,2.9028e-01
7,12,-2.7006e-01
7,13,2.0476e+00
7,14,-2.3609e-02
7,15,-3.6021e+00
7,16,1.7486e+00
7,17,4.1401e+00
7,18,2.2447e+00
8,9,3.3546e+00
8,10,2.6349e+00
8,11,-2.5069e-01
8,12,-2.2909e+00
8,13,2.3031e-01
8,14,-6.7321e-02
8,15,-3.3317e+00
8,16,1.7915e+00
8,17,2.3009e+00
8,18,-7.3393e-01
9,10,2.1883e+00
9,11,6.5747e-02
9,12,1.3067e+00
9,13,-3.9258e-01
9,14,-6.3719e-01
9,15,-2.6355e+00
9,16,-2.2874e+00
9,17,-6.2127e-01
9,18,2.4119e+00
10,11,1.2235e+00
10,12,-2.3737e+00
10,13,2.1914e+00
10,14,9.5310e-01
10,15,-4.2155e+00
10,16,2.0474e+00
10,17,1.6222e+00
10,18,1.2528e-01
11,12,-6.1501e-01
11,13,-4.9718e+00
11,14,-1.9356e+00
11,15,7.3421e-01
11,16,4.2177e+00
11,17,-1.2157e+00
11,18,2.0889e+00
12,13,9.2680e-01
12,14,-4.5826e+00
12,15,4.5889e-01
12,16,-7.4821e-01
12,17,-2.5913e+00
12,18,3.2843e+00
13,14,4.6324e-01
13,15,2.5879e-01
13,16,-2.4488e+00
13,17,-3.2324e-01
13,18,2.8476e-01
14,15,-8.1432e-01
14,16,-1.1190e+00
14,17,1.8038e-01
14,18,-5.7517e-01
15,16,1.3182e+00
15,17,3.8689e+00
15,18,-2.4995e+00
16,17,2.1122e+00
16,18,-1.0181e+00
17,18,3.2450e+00
