n1,n2,fij
1,2,-3.2374e+00
1,3,-4.9213e+00
1,4,-6.6979e-01
1,5,3.2074e-01
1,6,-4.7241e+00
1,7,-3.9650e+00
1,8,-1.3032e+00
1,9,-7.4738e+00
1,10,-3.4306e+00
1,11,-4.5876e+00
1,12,-7.3318e+00
1,13,-6.1782e+00
1,14,-6.9354e+00
1,15,-5.0097e+00
1,16,-6.3887e+00
1,17,-6.7548e+00
1,18,-6.7655e+00
2,3,2.8671e+00
2,4,2.8021e-01
2,5,2.5769e+00
2,6,5.2844e+00
2,7,2.9962e+00
2,8,-2.3766e+00
2,9,4.1707e+00
2,10,-1.0045e+00
2,11,9.9166e-01
2,12,1.6189e+00
2,13,-1.4055e+00
2,14,-6.4895e-01
2,15,4.8356e-01
2,16,-8.2960e-01
2,17,4.7659e+00
2,18,-1.8684e+00
3,4,8.5968e-01
3,5,1.8996e+00
3,6,2.4907e+00
3,7,-3.8134e+00
3,8,-1.3297e+00
3,9,1.3489e+00
3,10,-1.9020e+00
3,11,-1.9195e+00
3,12,-1.9586e+00
3,13,7.8356e-01
3,14,-9.9119e-01
3,15,-8.8219e-01
3,16,3.5448e-01
3,17,8.2976e-01
3,18,-4.7384e-01
4,5,-2.3756e+00
4,6,8.3702e-01
4,7,-5.8862e-01
4,8,-1.0712e+00
4,9,-1.2508e+00
4,10,-2.8758e+00
4,11,-1.9476e+00
4,12,-2.6896e+00
4,13,-2.9883e+00
4,14,-6.9727e+00
4,15,-2.8451e+00
4,16,-2.7854e+00
4,17,1.3648e-01
4,18,-4.1425e+00
5,6,-1.4064e+00
5,7,-2.1311e+00
5,8,-2.1697e+00
5,9,-1.4020e+00
5,10,-3.4020e+00
5,11,-2.6886e+00
5,12,-2.2882e+00
5,13,-3.1191e+00
5,14,-5.3115e+00
5,15,-3.6888e+00
5,16,-2.2916e+00
5,17,-6.8495e-01
5,18,-3.8258e+00
6,7,-3.9258e+00
6,8,-4.7193e+00
6,9,-2.3034e+00
6,10,-6.8231e+00
6,11,-1.3117e+00
6,12,-3.4219e+00
6,13,-2.0133e+00
6,14,-3.3236e+00
6,15,-3.8189e+00
6,16,-5.8980e-01
6,17,-2.7154e+00
6,18,-2.4160e+00
7,8,3.3029e+00
7,9,1.9338e+00
7,10,5.2848e-01
7,11,-8.0610e-01
7,12,8.9502e-01
7,13,7.6028e-01
7,14,-1.8270e+00
7,15,-1.9621e+00
7,16,1.8167e+00
7,17,3.9196e+00
7,18,2.7821e+00
8,9,1.3216e+00
8,10,5.5632e-01
8,11,3.1746e-01
8,12,-4.8100e+00
8,13,-1.0381e+00
8,14,-2.1306e+00
8,15,8.7508e-01
8,16,7.2208e-01
8,17,2.2829e+00
8,18,5.4699e-03
9,10,2.0705e+00
9,11,-2.0357e+00
9,12,3.2781e+00
9,13,-4.6845e-02
9,14,4.8321e-01
9,15,-1.4304e+00
9,16,3.8348e-01
9,17,-6.2212e-01
9,18,-1.3388e+00
10,11,-6.3689e-01
10,12,1.4450e+00
10,13,-5.8087e-01
10,14,-1.5768e-01
10,15,-2.8164e+00
10,16,5.9192e-01
10,17,1.8254e+00
10,18,-1.1715e-01
11,12,-2.5521e+00
11,13,-2.1328e+00
11,14,2.4399e-01
11,15,-3.2170e-01
11,16,1.9174e+00
11,17,-1.0262e+00
11,18,1.1832e+00
12,13,-1.2474e-01
12,14,-2.5063e+00
12,15,3.4782e+00
12,16,-1.0876e+00
12,17,-2.3159e+00
12,18,3.9172e+00
13,14,3.5707e+00
13,15,-3.1517e+00
13,16,-1.4424e+00
13,17,2.2360e+00
13,18,-2.7735e+00
14,15,-4.7087e-01
14,16,-1.4269e+00
14,17,4.0947e-01
14,18,-8.8636e-01
15,16,9.0474e-01
15,17,3.7476e+00
15,18,1.7311e+00
16,17,9.5425e-01
16,18,2.9924e-01
17,18,2.4104e+00
