n1,n2,fij
1,2,-8.2731e-01
1,3,-1.4117e+00
1,4,2.2594e+00
1,5,-8.6297e-01
1,6,-4.2002e-01
1,7,-7.3567e-01
1,8,1.0516e+00
1,9,-2.6093e+00
1,10,-1.8210e+00
1,11,6.9467e-01
1,12,-1.2821e+00
1,13,-3.5253e+00
1,14,-2.2309e+00
1,15,-2.6805e+00
1,16,-2.3460e+00
1,17,-2.3325e+00
1,18,-3.5036e+00
2,3,-3.4470e+00
2,4,6.9560e-01
2,5,-3.6018e-01
2,6,-3.0174e-01
2,7,-3.8365e-01
2,8,-2.8650e+00
2,9,-2.2225e+00
2,10,-1.9863e+00
2,11,1.8362e+00
2,12,-6.5446e-01
2,13,-3.2050e+00
2,14,-2.4777e+00
2,15,-3.0547e-01
2,16,1.6106e+00
2,17,-4.6920e-01
2,18,9.5947e-01
3,4,1.8131e+00
3,5,1.9253e+00
3,6,-5.3879e-01
3,7,-1.5214e+00
3,8,5.0938e-01
3,9,2.6255e+00
3,10,9.4104e-01
3,11,-5.6794e+00
3,12,1.7377e+00
3,13,-8.5943e-01
3,14,1.7053e+00
3,15,8.2965e-01
3,16,6.0179e-01
3,17,2.6831e+00
3,18,-9.8628e-01
4,5,-3.6442e+00
4,6,1.3009e+00
4,7,2.4701e-01
4,8,1.7050e+00
4,9,-2.1082e+00
4,10,-2.6496e+00
4,11,-2.3924e-01
4,12,-1.3009e-01
4,13,-2.6138e+00
4,14,-2.9456e+00
4,15,-3.4832e+00
4,16,-2.2382e+00
4,17,-2.3459e+00
4,18,8.0821e-01
5,6,9.5965e-02
5,7,7.6632e-01
5,8,-1.3163e+00
5,9,-2.0771e+00
5,10,-1.8051e+00
5,11,-1.7879e+00
5,12,-1.1530e+00
5,13,-3.4402e+00
5,14,-2.6174e+00
5,15,-2.3219e+00
5,16,-7.6423e-01
5,17,1.4877e+00
5,18,5.5110e-01
6,7,-4.3236e-01
6,8,-2.2831e+00
6,9,-3.1699e+00
6,10,-2.3884e+00
6,11,-5.3785e-01
6,12,1.6539e+00
6,13,-1.7527e+00
6,14,1.1575e+00
6,15,-1.6950e-01
6,16,-1.5904e+00
6,17,-3.3693e+00
6,18,-9.3630e-01
7,8,2.1847e+00
7,9,-3.7224e+00
7,10,-3.7134e+00
7,11,-3.2233e+00
7,12,-3.0137e+00
7,13,-3.1693e+00
7,14,-4.9722e-01
7,15,9.3270e-01
7,16,2.7246e+00
7,17,-6.0222e-01
7,18,3.9632e+00
8,9,-2.1132e+00
8,10,-1.3616e+00
8,11,1.8251e+00
8,12,1.2733e+00
8,13,-2.4721e+00
8,14,1.2661e+00
8,15,1.3458e+00
8,16,-1.2380e+00
8,17,7.6841e-02
8,18,-1.8490e+00
9,10,1.3813e+00
9,11,2.9187e-01
9,12,-1.0698e+00
9,13,-8.9222e-01
9,14,-5.1049e-01
9,15,-1.1405e+00
9,16,-4.9605e-01
9,17,2.0130e+00
9,18,-1.7285e+00
10,11,2.3161e+00
10,12,1.7029e+00
10,13,-1.4807e+00
10,14,-1.4895e+00
10,15,1.7621e+00
10,16,3.9234e+00
10,17,-2.9001e+00
10,18,-1.0779e+00
11,12,-2.4864e+00
11,13,2.9779e+00
11,14,-1.5052e+00
11,15,3.5005e+00
11,16,1.1931e-02
11,17,-3.1923e+00
11,18,-8.2085e-02
12,13,4.0521e+00
12,14,-4.3841e-01
12,15,8.2303e-01
12,16,-3.4517e-01
12,17,1.0113e+00
12,18,-2.8280e+00
13,14,1.3575e-01
13,15,2.5005e+00
13,16,1.2010e+00
13,17,1.2793e+00
13,18,4.7278e-02
14,15,-1.4806e+00
14,16,4.3154e-01
14,17,-3.0244e-02
14,18,2.1635e-01
15,16,9.8557e-01
15,17,1.4263e+00
15,18,1.2208e+00
16,17,6.9561e-01
16,18,-2.7349e+00
17,18,-1.2398e+00
