n1,n2,fij
1,2,-3.0370e+00
1,3,-5.0301e+00
1,4,-1.0588e+00
1,5,5.2120e-01
1,6,-2.6027e+00
1,7,-4.4679e+00
1,8,8.6539e-01
1,9,-4.2384e+00
1,10,-4.7154e+00
1,11,-5.7070e+00
1,12,-4.4187e+00
1,13,-7.4000e+00
1,14,-5.5103e+00
1,15,-5.4251e+00
1,16,-5.7987e+00
1,17,-6.8215e+00
1,18,-6.4937e+00
2,3,7.6213e-01
2,4,1.3177e+00
2,5,1.1260e+00
2,6,3.4238e+00
2,7,2.6125e+00
2,8,-1.7439e+00
2,9,2.9223e+00
2,10,-6.4576e-01
2,11,1.3505e+00
2,12,2.1454e+00
2,13,-1.0932e+00
2,14,-1.3571e+00
2,15,3.3271e-01
2,16,2.2094e+00
2,17,2.5208e+00
2,18,-8.0147e-01
3,4,-5.2612e-01
3,5,8.3425e-01
3,6,2.4191e+00
3,7,-3.5533e+00
3,8,4.9989e-01
3,9,1.0408e+00
3,10,-2.6093e+00
3,11,-4.1811e+00
3,12,-6.9985e-01
3,13,-2.0110e+00
3,14,-1.9783e+00
3,15,-3.0010e+00
3,16,-6.2773e-01
3,17,1.2014e+00
3,18,-7.9983e-01
4,5,-2.0979e+00
4,6,-2.5273e+00
4,7,-1.5456e+00
4,8,-7.3099e-01
4,9,-1.0539e+00
4,10,-3.9155e+00
4,11,-3.1272e+00
4,12,-2.6535e+00
4,13,-4.1221e+00
4,14,-7.5590e+00
4,15,-4.7318e+00
4,16,-1.3784e+00
4,17,9.9978e-01
4,18,-1.5390e+00
5,6,-2.7289e+00
5,7,-1.0522e+00
5,8,1.5570e-01
5,9,5.3431e-01
5,10,-3.7320e+00
5,11,-1.0096e+00
5,12,-3.5468e+00
5,13,-1.2194e+00
5,14,-4.5613e+00
5,15,-4.4531e+00
5,16,-1.2358e+00
5,17,1.2637e+00
5,18,-3.7484e+00
6,7,-2.6060e+00
6,8,-3.0059e+00
6,9,-1.2686e+00
6,10,-5.3316e+00
6,11,-1.5898e+00
6,12,-3.5648e+00
6,13,-2.3585e+00
6,14,-3.0485e+00
6,15,-4.1024e+00
6,16,-1.7390e+00
6,17,-4.2515e+00
6,18,-1.2210e+00
7,8,3.6746e+00
7,9,3.0928e+00
7,10,-1.5570e-01
7,11,1.0801e+00
7,12,8.9981e-01
7,13,6.4576e-01
7,14,-1.1752e+00
7,15,5.8840e-01
7,16,8.5719e-01
7,17,3.9319e+00
7,18,2.8633e+00
8,9,3.1469e+00
8,10,-1.4259e-01
8,11,4.4417e-01
8,12,-4.2499e+00
8,13,9.0144e-02
8,14,-1.4063e+00
8,15,-5.8512e-01
8,16,8.8997e-01
8,17,3.8746e+00
8,18,1.9012e-01
9,10,7.7360e-01
9,11,-9.2603e-01
9,12,2.4159e+00
9,13,-8.7850e-01
9,14,5.2120e-01
9,15,-1.6144e+00
9,16,-2.1717e+00
9,17,-1.2456e-01
9,18,-1.4276e+00
10,11,1.5587e+00
10,12,-9.8995e-01
10,13,1.9061e+00
10,14,1.2948e-01
10,15,-3.4206e+00
10,16,2.1209e+00
10,17,-3.3435e-01
10,18,2.3470e+00
11,12,-1.4816e+00
11,13,-2.0323e+00
11,14,-2.4978e+00
11,15,1.1276e+00
11,16,3.9664e+00
11,17,-6.8346e-01
11,18,4.0155e-01
12,13,8.0147e-01
12,14,-3.3255e+00
12,15,1.5390e+00
12,16,-1.7947e+00
12,17,-2.4437e+00
12,18,2.7584e+00
13,14,9.4570e-01
13,15,1.1965e+00
13,16,-8.7358e-01
13,17,7.9491e-01
13,18,-5.2939e-01
14,15,-6.6215e-01
14,16,-1.1014e+00
14,17,1.3112e-02
14,18,-8.6375e-01
15,16,-7.3755e-02
15,17,2.6191e+00
15,18,-2.9502e-02
16,17,8.6866e-01
16,18,-1.6275e+00
17,18,2.6388e+00
