n1,n2,fij
1,2,4.0548e+00
1,3,1.7466e+00
1,4,-6.7797e-01
1,5,-2.0201e+00
1,6,1.5722e+00
1,7,-6.0458e-01
1,8,1.7009e+00
1,9,6.7062e-01
1,10,-8.1690e-01
1,11,-5.1262e-01
1,12,1.6628e-01
1,13,1.4381e+00
1,14,-2.1364e+00
1,15,-2.3464e+00
1,16,-1.4097e+00
1,17,-3.2278e+00
1,18,-7.0236e+00
1,19,-4.0287e+00
1,20,-1.6693e+00
2,3,-2.2859e+00
2,4,-3.2531e+00
2,5,-4.1817e+00
2,6,-1.0676e+00
2,7,1.0256e+00
2,8,-2.4518e+00
2,9,-5.8543e-01
2,10,-3.0348e+00
2,11,-5.0193e+00
2,12,-3.9376e+00
2,13,-3.5755e+00
2,14,-7.3803e+00
2,15,-3.5938e+00
2,16,-5.4517e+00
2,17,-3.4677e+00
2,18,-4.3468e+00
2,19,-1.4359e+00
2,20,-4.2400e+00
3,4,-1.1050e+00
3,5,-3.9480e+00
3,6,-2.1227e+00
3,7,-1.0374e+00
3,8,-3.0297e+00
3,9,-3.2000e+00
3,10,-4.4976e+00
3,11,-2.4348e+00
3,12,-2.8597e+00
3,13,-1.3052e+00
3,14,-7.6509e-01
3,15,-3.6949e+00
3,16,-2.3473e+00
3,17,-6.8368e+00
3,18,-2.8144e+00
3,19,-3.0057e+00
3,20,-3.3940e+00
4,5,-4.6035e+00
4,6,6.7650e-01
4,7,1.4430e-01
4,8,3.2816e-01
4,9,-1.3541e-01
4,10,-2.1033e+00
4,11,-4.3671e+00
4,12,-2.6537e+00
4,13,-4.3694e+00
4,14,-1.3643e+00
4,15,-1.6044e+00
4,16,-2.1374e+00
4,17,-1.6520e+00
4,18,-2.4305e+00
4,19,-2.6783e+00
4,20,-1.4506e+00
5,6,1.6219e+00
5,7,1.0553e+00
5,8,-1.2051e+00
5,9,2.8562e+00
5,10,1.1963e+00
5,11,-9.9127e-01
5,12,-1.5871e+00
5,13,2.6537e-01
5,14,4.5922e-01
5,15,2.3995e-01
5,16,-4.5187e-01
5,17,9.2236e-02
5,18,-2.2750e+00
5,19,-1.0111e-01
5,20,-7.4694e-01
6,7,-1.0279e+00
6,8,4.9436e-01
6,9,5.0010e-01
6,10,-2.3106e+00
6,11,-3.6361e+00
6,12,-1.3425e+00
6,13,-2.4189e-01
6,14,-3.6597e+00
6,15,1.7936e-01
6,16,-1.3423e+00
6,17,-6.7456e-01
6,18,-6.1967e+00
6,19,-3.9881e+00
6,20,-6.7945e-01
7,8,-2.7765e+00
7,9,-3.2505e+00
7,10,-1.5780e-01
7,11,8.9655e-01
7,12,-1.0923e+00
7,13,-6.4617e+00
7,14,-3.8495e+00
7,15,-2.0814e+00
7,16,-4.6318e+00
7,17,-1.4777e+00
7,18,-1.4611e+00
7,19,-2.2664e+00
7,20,-1.5363e+00
8,9,-1.7417e+00
8,10,1.4447e-01
8,11,-1.9253e+00
8,12,-3.1728e+00
8,13,-1.3835e+00
8,14,-1.0793e+00
8,15,-1.0996e+00
8,16,-2.6147e+00
8,17,-5.3253e+00
8,18,-3.8505e+00
8,19,-4.6612e+00
8,20,9.5131e-01
9,10,-1.2657e+00
9,11,-4.3197e+00
9,12,-3.6477e-01
9,13,-1.9471e+00
9,14,-7.6708e-01
9,15,-2.8924e+00
9,16,-1.4426e+00
9,17,-2.1921e+00
9,18,-3.2445e+00
9,19,-3.1827e+00
9,20,-3.4816e+00
10,11,-5.3375e-01
10,12,2.6914e-01
10,13,1.8263e+00
10,14,-2.4055e+00
10,15,-5.7048e-01
10,16,-4.4015e-02
10,17,-1.6751e+00
10,18,-3.9624e+00
10,19,-8.6440e-01
10,20,-2.6054e+00
11,12,1.2198e+00
11,13,-5.9835e-01
11,14,1.5368e+00
11,15,3.4851e+00
11,16,-4.7053e-01
11,17,9.3755e-01
11,18,-2.4105e+00
11,19,-2.2930e+00
11,20,8.5061e-01
12,13,-1.0661e+00
12,14,1.0864e+00
12,15,-2.2877e+00
12,16,2.6559e+00
12,17,-6.9399e-01
12,18,2.1164e+00
12,19,1.8639e+00
12,20,1.8154e-01
13,14,-3.2857e-01
13,15,9.8666e-01
13,16,1.1429e+00
13,17,-6.9511e-01
13,18,1.3601e+00
13,19,1.9408e+00
13,20,3.6226e-01
14,15,1.7074e+00
14,16,-2.6775e-01
14,17,1.9317e+00
14,18,6.5863e-01
14,19,-1.9983e+00
14,20,5.5146e-01
15,16,-2.0662e+00
15,17,3.7157e+00
15,18,-2.4815e+00
15,19,-1.3676e+00
15,20,1.9750e+00
16,17,1.6020e+00
16,18,1.8131e+00
16,19,-2.7646e+00
16,20,3.0025e+00
17,18,-1.1893e+00
17,19,-2.3828e+00
17,20,3.6637e+00
18,19,1.0945e+00
18,20,2.7848e+00
19,20,1.5043e+00
