n1,n2,fij
1,2,4.0728e+00
1,3,1.1787e+00
1,4,-1.3646e+00
1,5,-1.1158e+00
1,6,4.0788e-01
1,7,9.1076e-01
1,8,1.4766e+00
1,9,-2.6387e+00
1,10,-1.9089e+00
1,11,-8.7504e-01
1,12,-5.4612e-01
1,13,3.1934e+00
1,14,-3.2178e+00
1,15,-3.1287e+00
1,16,-2.6609e+00
1,17,-3.1192e+00
1,18,-6.2662e+00
1,19,-1.6804e+00
1,20,-1.2297e+00
2,3,-6.8860e-01
2,4,-7.9761e-01
2,5,-2.6652e+00
2,6,-1.3791e+00
2,7,-1.3726e+00
2,8,-1.4437e+00
2,9,-1.4438e+00
2,10,-3.4425e+00
2,11,-4.2827e+00
2,12,-4.3453e+00
2,13,-1.4219e+00
2,14,-7.4705e+00
2,15,-2.9840e+00
2,16,-3.1774e+00
2,17,-1.6620e+00
2,18,-6.2376e+00
2,19,-2.8169e+00
2,20,-1.0447e+00
3,4,-7.4591e-02
3,5,-2.6655e+00
3,6,5.0015e-01
3,7,5.1459e-01
3,8,4.0142e-02
3,9,-9.0263e-01
3,10,-5.0599e+00
3,11,-3.1693e+00
3,12,-2.5741e+00
3,13,-4.6990e+00
3,14,-6.0678e-01
3,15,-2.1298e+00
3,16,3.7263e-02
3,17,-6.1277e+00
3,18,-1.5713e+00
3,19,-1.4785e+00
3,20,-5.3271e-01
4,5,-1.4353e+00
4,6,9.3414e-01
4,7,-1.0542e+00
4,8,1.2246e+00
4,9,-3.7532e+00
4,10,-3.0039e+00
4,11,-2.8263e+00
4,12,-3.9637e+00
4,13,3.9313e-02
4,14,-7.8584e-01
4,15,-4.9656e+00
4,16,-4.4683e+00
4,17,-1.3419e+00
4,18,-3.4506e+00
4,19,-2.4416e+00
4,20,-1.5563e-01
5,6,5.8364e-01
5,7,-1.7254e+00
5,8,-1.3676e+00
5,9,-2.7168e+00
5,10,-2.2289e+00
5,11,-5.9078e-01
5,12,-1.0932e+00
5,13,-1.2377e+00
5,14,-5.7728e-01
5,15,-1.6385e+00
5,16,-1.3345e+00
5,17,1.3418e+00
5,18,-5.9799e-01
5,19,-2.0965e+00
5,20,-3.7519e-01
6,7,-8.7171e-01
6,8,-1.9401e-01
6,9,-2.3035e+00
6,10,-3.3331e+00
6,11,-2.2034e+00
6,12,-1.2011e+00
6,13,-4.7030e-01
6,14,-6.6237e-01
6,15,-1.8791e-01
6,16,-2.1435e+00
6,17,7.0095e-01
6,18,-4.2919e+00
6,19,-3.3685e+00
6,20,-6.9868e-01
7,8,-1.7402e+00
7,9,-2.4114e+00
7,10,-1.2160e+00
7,11,-1.9079e-01
7,12,1.3263e-01
7,13,-3.2687e+00
7,14,1.4140e-01
7,15,1.7132e-01
7,16,-2.1651e+00
7,17,-9.6173e-01
7,18,-1.0559e-01
7,19,7.2087e-01
7,20,-7.4203e-01
8,9,-3.7218e+00
8,10,-4.5477e-01
8,11,-1.7577e+00
8,12,-3.6512e+00
8,13,-1.3117e+00
8,14,-1.2196e+00
8,15,1.0705e+00
8,16,-3.4387e+00
8,17,-3.0291e+00
8,18,-7.4025e-01
8,19,-3.9009e+00
8,20,-2.1222e+00
9,10,-2.4017e-01
9,11,-2.2139e+00
9,12,1.8726e+00
9,13,3.7150e+00
9,14,8.8350e-01
9,15,-2.0799e+00
9,16,2.0916e+00
9,17,-3.1737e+00
9,18,-8.4803e-01
9,19,-1.0594e+00
9,20,1.7966e+00
10,11,1.0840e+00
10,12,2.7796e-01
10,13,6.0479e-01
10,14,-1.3138e+00
10,15,-1.4128e+00
10,16,-5.7254e-01
10,17,-5.2107e+00
10,18,-2.2406e+00
10,19,-4.7835e-01
10,20,-1.6803e+00
11,12,-1.1276e+00
11,13,-3.4055e+00
11,14,8.8643e-02
11,15,1.5765e+00
11,16,-2.7809e+00
11,17,-6.9337e-01
11,18,1.7237e+00
11,19,-1.7299e-01
11,20,-2.4052e+00
12,13,-1.9918e+00
12,14,1.9757e+00
12,15,-1.4392e+00
12,16,-1.3853e+00
12,17,-2.6451e+00
12,18,4.4059e-01
12,19,-4.5887e-02
12,20,8.9748e-01
13,14,3.0037e-01
13,15,2.7272e-01
13,16,1.4364e+00
13,17,-7.3774e-01
13,18,3.5231e-02
13,19,-1.8357e+00
13,20,-1.3951e+00
14,15,-2.4744e-01
14,16,-1.7481e+00
14,17,-1.8004e+00
14,18,3.9366e+00
14,19,-3.0337e+00
14,20,5.7020e-03
15,16,4.0033e-01
15,17,2.7486e+00
15,18,1.1798e+00
15,19,-7.2719e-01
15,20,-1.6744e-01
16,17,3.6199e+00
16,18,2.0782e+00
16,19,-5.2563e-01
16,20,6.3858e-01
17,18,3.5620e-01
17,19,-8.1719e-01
17,20,2.6678e+00
18,19,-2.8246e+00
18,20,-4.8462e-01
19,20,1.2198e+00
