n1,n2,fij
1,2,1.5896e+00
1,3,1.1888e+00
1,4,-4.5047e+00
1,5,-2.3378e+00
1,6,2.1269e+00
1,7,3.3699e-01
1,8,-1.5000e+00
1,9,8.9305e-01
1,10,-2.5027e+00
1,11,1.1807e+00
1,12,-6.7613e-01
1,13,-3.3980e+00
1,14,-1.1672e+00
1,15,-2.3220e+00
1,16,-2.1337e+00
1,17,-1.3832e+00
1,18,1.8451e+00
1,19,-3.7446e+00
1,20,-5.3868e+00
2,3,-4.0757e+00
2,4,-3.7311e+00
2,5,-6.2871e+00
2,6,3.4192e+00
2,7,-2.1665e+00
2,8,-1.5280e+00
2,9,-8.4563e+00
2,10,-4.7248e+00
2,11,-3.1939e+00
2,12,-6.4652e+00
2,13,-1.4305e+00
2,14,-4.0349e-01
2,15,-5.8531e+00
2,16,-1.1012e+00
2,17,-5.2091e+00
2,18,-3.4534e+00
2,19,-3.9437e+00
2,20,-3.8758e+00
3,4,5.9090e+00
3,5,2.3658e+00
3,6,1.8248e+00
3,7,1.1837e-01
3,8,-3.4939e+00
3,9,-2.0321e+00
3,10,-2.0687e+00
3,11,1.2272e+00
3,12,-4.3174e+00
3,13,-6.8671e+00
3,14,-1.0896e+00
3,15,-1.7683e+00
3,16,-1.9139e+00
3,17,-2.4237e+00
3,18,-1.7314e+00
3,19,-6.5714e+00
3,20,-3.7990e+00
4,5,3.3552e+00
4,6,-4.9704e+00
4,7,-1.4906e+00
4,8,-2.3507e+00
4,9,1.9380e+00
4,10,-1.8242e+00
4,11,-2.3682e+00
4,12,-3.6937e+00
4,13,-5.7587e+00
4,14,-4.5498e-01
4,15,-4.2317e+00
4,16,-7.0584e-01
4,17,-3.0944e+00
4,18,-1.9964e+00
4,19,-2.2114e+00
4,20,-7.3338e+00
5,6,2.6908e+00
5,7,2.9826e-01
5,8,2.3265e+00
5,9,-4.5328e-01
5,10,1.6795e+00
5,11,5.2254e-01
5,12,-1.1894e+00
5,13,-3.9216e+00
5,14,6.8740e-01
5,15,-8.0089e-01
5,16,-3.9766e+00
5,17,-2.0266e+00
5,18,-1.5656e+00
5,19,-1.6198e+00
5,20,-8.6835e+00
6,7,1.1610e+00
6,8,3.1901e+00
6,9,5.6954e-01
6,10,4.6310e-02
6,11,-6.6461e-01
6,12,-1.6915e+00
6,13,-1.3757e+00
6,14,-1.4708e+00
6,15,-3.0426e+00
6,16,-5.7827e-01
6,17,-5.8507e-01
6,18,8.4633e-02
6,19,1.0669e+00
6,20,-3.3726e+00
7,8,7.0136e-01
7,9,1.3910e-01
7,10,-2.8115e-02
7,11,-6.5022e-01
7,12,-2.6451e+00
7,13,4.2432e+00
7,14,-3.2989e+00
7,15,-8.2605e-01
7,16,-5.5140e-01
7,17,7.7845e-01
7,18,-9.7852e-01
7,19,-2.4991e+00
7,20,-1.0523e+00
8,9,-6.9394e-01
8,10,-8.8716e-01
8,11,-6.1153e-01
8,12,-1.3016e+00
8,13,-4.5295e-01
8,14,-2.9043e+00
8,15,-4.3951e+00
8,16,-2.1631e-01
8,17,-1.3907e+00
8,18,1.7883e-01
8,19,1.5934e+00
8,20,-3.1730e+00
9,10,-2.2982e+00
9,11,-3.2703e-01
9,12,-1.5856e+00
9,13,-4.7845e+00
9,14,-6.6768e-01
9,15,-3.1706e+00
9,16,-6.6218e-01
9,17,-5.7555e-02
9,18,-4.0774e+00
9,19,-3.5873e+00
9,20,-3.8336e+00
10,11,-4.0044e+00
10,12,8.4045e-01
10,13,1.1206e-01
10,14,2.5063e-01
10,15,-2.7828e+00
10,16,-1.8036e+00
10,17,1.0215e+00
10,18,-1.7321e+00
10,19,1.5166e-01
10,20,-1.7916e+00
11,12,-2.0546e+00
11,13,1.1077e+00
11,14,-2.0410e-01
11,15,-2.5357e+00
11,16,-1.0841e+00
11,17,-3.2914e-01
11,18,-4.2842e-01
11,19,-1.0322e+00
11,20,-4.3280e+00
12,13,-1.6103e+00
12,14,8.8171e-01
12,15,-1.2910e+00
12,16,2.8029e-01
12,17,-1.5724e+00
12,18,7.7371e-01
12,19,-1.8628e+00
12,20,-7.4362e-01
13,14,3.6513e+00
13,15,1.4022e+00
13,16,8.0138e-01
13,17,-2.9367e+00
13,18,-9.6966e-01
13,19,-1.3858e+00
13,20,-1.4632e+00
14,15,-2.1899e+00
14,16,-3.3397e+00
14,17,1.6305e-01
14,18,-3.6297e-01
14,19,1.9400e+00
14,20,3.9323e-01
15,16,-7.1696e-01
15,17,2.1169e-01
15,18,-3.3683e+00
15,19,-2.5285e+00
15,20,-2.8475e+00
16,17,-6.1326e-01
16,18,3.2000e+00
16,19,1.5775e-01
16,20,-1.5981e+00
17,18,1.9816e+00
17,19,-9.1014e-01
17,20,-3.4896e+00
18,19,-2.4645e-02
18,20,-9.3596e-02
19,20,-3.1794e+00
