n1,n2,fij
1,2,4.8801e+00
1,3,2.5607e+00
1,4,-1.4100e+00
1,5,-2.0655e+00
1,6,2.3088e+00
1,7,-2.8463e-01
1,8,1.2194e-01
1,9,4.9896e-01
1,10,-2.3501e+00
1,11,-5.0230e-01
1,12,5.6110e-03
1,13,5.5539e-02
1,14,-3.5000e+00
1,15,-3.8921e+00
1,16,-2.2728e+00
1,17,-4.7111e+00
1,18,-7.6420e+00
1,19,-2.7908e+00
1,20,-3.8428e+00
2,3,-2.0520e+00
2,4,-4.0408e+00
2,5,-3.1539e+00
2,6,8.0015e-01
2,7,-1.6274e+00
2,8,-2.9069e+00
2,9,-1.4788e+00
2,10,-3.1648e+00
2,11,-6.7133e+00
2,12,-4.7936e+00
2,13,-2.7387e+00
2,14,-6.7124e+00
2,15,-2.8843e+00
2,16,-4.1787e+00
2,17,-3.5269e+00
2,18,-3.9985e+00
2,19,-2.9741e+00
2,20,-2.4329e+00
3,4,-1.1272e-01
3,5,-1.6177e+00
3,6,-1.0668e+00
3,7,-1.9992e+00
3,8,-6.1507e+00
3,9,-2.6190e+00
3,10,-1.3511e+00
3,11,-2.3002e+00
3,12,-3.4506e+00
3,13,-1.9872e+00
3,14,-3.3683e+00
3,15,-1.3861e+00
3,16,-3.3283e+00
3,17,-7.0295e+00
3,18,-3.0739e+00
3,19,-3.8110e+00
3,20,-4.3831e+00
4,5,-1.3358e+00
4,6,2.7882e+00
4,7,-7.3879e-01
4,8,1.0807e+00
4,9,-1.0613e+00
4,10,-3.0636e+00
4,11,-7.7303e+00
4,12,-3.0313e+00
4,13,-4.5009e+00
4,14,-4.0111e+00
4,15,-2.3061e+00
4,16,-3.0152e+00
4,17,-2.2798e+00
4,18,-2.3673e+00
4,19,-2.3692e+00
4,20,-3.6115e+00
5,6,8.6985e-01
5,7,7.0614e-01
5,8,-2.2281e+00
5,9,-6.2152e-01
5,10,-8.8507e-01
5,11,-1.5820e-01
5,12,-2.2811e+00
5,13,1.6500e-02
5,14,-9.0111e-01
5,15,-1.1081e+00
5,16,-1.3220e+00
5,17,4.9919e-03
5,18,-4.4482e+00
5,19,-1.1213e+00
5,20,-4.1219e+00
6,7,-8.7919e-01
6,8,1.0257e+00
6,9,-1.5312e+00
6,10,-1.1449e+00
6,11,-4.5716e+00
6,12,-1.8068e+00
6,13,-6.7483e-02
6,14,-2.8754e+00
6,15,-2.7887e-01
6,16,3.9219e-01
6,17,-1.2549e+00
6,18,-5.1362e+00
6,19,-1.9868e+00
6,20,-2.0423e+00
7,8,-3.4804e+00
7,9,-2.6782e+00
7,10,4.3482e-01
7,11,-3.6457e-01
7,12,-1.1353e-01
7,13,-3.2601e+00
7,14,-5.8389e+00
7,15,-4.9383e+00
7,16,-6.0781e+00
7,17,-1.1858e+00
7,18,-1.5225e+00
7,19,-3.5488e+00
7,20,-1.8748e+00
8,9,-6.4839e-01
8,10,3.8820e-01
8,11,-2.7711e+00
8,12,-1.6210e+00
8,13,-3.0188e+00
8,14,-1.7986e+00
8,15,-8.7070e-01
8,16,-2.9488e+00
8,17,-4.2556e+00
8,18,-2.8593e+00
8,19,-4.5722e+00
8,20,7.1276e-03
9,10,3.7245e-01
9,11,-3.4384e+00
9,12,1.4882e+00
9,13,-3.0439e+00
9,14,-3.1529e-01
9,15,-3.6718e+00
9,16,-1.3594e+00
9,17,-3.3465e+00
9,18,-3.5276e+00
9,19,-2.4354e+00
9,20,-1.4648e+00
10,11,-1.3563e+00
10,12,1.5632e+00
10,13,1.5113e+00
10,14,-2.0828e+00
10,15,-3.6817e+00
10,16,-1.3685e+00
10,17,-2.3274e+00
10,18,-2.7639e+00
10,19,-1.7519e+00
10,20,-1.0701e+00
11,12,1.3658e-01
11,13,-1.5924e+00
11,14,-6.6387e-01
11,15,6.4750e-01
11,16,-3.9094e-01
11,17,5.2121e-01
11,18,-2.0131e+00
11,19,-2.0947e+00
11,20,2.6195e-01
12,13,-2.5685e+00
12,14,1.2845e+00
12,15,-3.0049e+00
12,16,2.1572e+00
12,17,-2.7510e+00
12,18,1.0616e+00
12,19,2.8921e+00
12,20,-1.5333e+00
13,14,8.6862e-01
13,15,1.1450e+00
13,16,2.1075e+00
13,17,-1.5637e+00
13,18,1.5111e+00
13,19,4.0730e-01
13,20,-7.1819e-01
14,15,9.8070e-01
14,16,-1.4927e+00
14,17,1.5315e+00
14,18,7.2779e-01
14,19,-9.7187e-01
14,20,2.2053e+00
15,16,-1.5591e+00
15,17,1.5762e+00
15,18,-2.2599e+00
15,19,-1.8421e+00
15,20,-4.1745e-01
16,17,3.0045e-01
16,18,1.2448e+00
16,19,-1.4133e+00
16,20,1.7341e+00
17,18,1.6562e-02
17,19,-3.6230e+00
17,20,2.0712e+00
18,19,1.7150e+00
18,20,3.0458e-02
19,20,8.9938e-01
