n1,n2,fij
1,2,-4.2786e+00
1,3,1.0128e+00
1,4,-3.6161e+00
1,5,-3.0252e+00
1,6,-2.6483e-01
1,7,-1.1940e+00
1,8,-7.8101e+00
1,9,-1.2049e+00
1,10,-1.7136e+00
1,11,7.5621e-01
1,12,-5.2801e+00
1,13,-1.9008e+00
1,14,-5.5864e+00
1,15,-5.6013e+00
1,16,-3.2028e+00
1,17,-3.3604e+00
1,18,-2.6534e+00
1,19,-4.1234e-01
1,20,-6.4336e+00
2,3,4.3297e+00
2,4,-9.0680e-02
2,5,1.7544e+00
2,6,4.7038e+00
2,7,2.2580e+00
2,8,2.7291e-01
2,9,2.8092e+00
2,10,9.6691e-01
2,11,2.6803e-02
2,12,-1.3136e+00
2,13,3.6997e+00
2,14,-2.1658e+00
2,15,-1.7481e+00
2,16,1.9309e+00
2,17,-3.2072e+00
2,18,1.2842e+00
2,19,-2.9745e-01
2,20,-7.9406e-01
3,4,-1.0557e+00
3,5,-1.8521e+00
3,6,-1.9875e+00
3,7,-1.9902e+00
3,8,-5.0597e+00
3,9,-2.0236e+00
3,10,-2.1436e+00
3,11,1.0369e-02
3,12,-3.0736e+00
3,13,4.7999e-01
3,14,-5.2977e+00
3,15,-6.4420e+00
3,16,-4.0054e+00
3,17,-2.0738e+00
3,18,-5.3248e+00
3,19,-1.4131e+00
3,20,-2.6940e+00
4,5,-3.0742e-01
4,6,2.3994e+00
4,7,1.5080e+00
4,8,-6.4441e+00
4,9,-2.3285e-01
4,10,6.0456e-01
4,11,3.5754e+00
4,12,3.0882e-02
4,13,2.1181e+00
4,14,-2.2886e+00
4,15,-1.6470e+00
4,16,4.3830e+00
4,17,-6.4071e-01
4,18,1.8568e-01
4,19,4.9439e-01
4,20,-2.9273e+00
5,6,4.8942e-01
5,7,8.8370e-01
5,8,-2.7481e+00
5,9,5.2907e-01
5,10,-2.4914e+00
5,11,1.3433e+00
5,12,-4.8955e-01
5,13,3.9877e+00
5,14,-4.0035e+00
5,15,-2.9965e+00
5,16,1.8561e+00
5,17,-9.3885e-01
5,18,4.5410e-01
5,19,5.5855e-02
5,20,-3.6178e+00
6,7,3.9212e-01
6,8,-3.5880e+00
6,9,1.8791e-01
6,10,-4.3696e-01
6,11,6.7046e-01
6,12,-3.4176e+00
6,13,3.0415e-01
6,14,-1.4065e+00
6,15,-3.4057e+00
6,16,-8.7657e-01
6,17,-4.5936e+00
6,18,-4.3409e+00
6,19,-7.6958e-01
6,20,-1.4538e+00
7,8,-2.2294e+00
7,9,-4.4495e+00
7,10,6.9882e-01
7,11,6.1332e-01
7,12,6.2500e-01
7,13,-9.9414e-01
7,14,-2.7106e+00
7,15,-2.0598e+00
7,16,-3.9041e+00
7,17,-2.4024e+00
7,18,-2.4624e+00
7,19,2.6715e-01
7,20,8.6506e-01
8,9,4.6761e+00
8,10,4.4062e-01
8,11,1.8805e+00
8,12,1.0119e+00
8,13,3.6501e+00
8,14,-1.3161e-01
8,15,-3.3201e-01
8,16,2.9569e-01
8,17,2.1419e+00
8,18,2.0329e+00
8,19,3.3554e+00
8,20,-4.8406e-01
9,10,6.1909e+00
9,11,3.3029e+00
9,12,-8.1886e-01
9,13,-1.7038e+00
9,14,-5.0483e+00
9,15,-6.6988e+00
9,16,-2.7719e+00
9,17,-1.9894e+00
9,18,-3.7067e+00
9,19,4.6775e-01
9,20,-1.7956e+00
10,11,-4.1376e+00
10,12,-3.1146e+00
10,13,2.2181e+00
10,14,-5.3912e-01
10,15,5.7256e-01
10,16,5.1424e-01
10,17,1.8235e+00
10,18,1.3489e+00
10,19,2.5744e+00
10,20,6.0389e-01
11,12,-3.1778e+00
11,13,1.6404e+00
11,14,-2.0231e+00
11,15,-3.3049e+00
11,16,-1.5234e+00
11,17,-5.9564e+00
11,18,-2.5463e+00
11,19,9.4945e-01
11,20,-4.9438e+00
12,13,5.5555e+00
12,14,-9.7319e-01
12,15,-4.3215e+00
12,16,2.0629e+00
12,17,-8.6886e-01
12,18,3.9058e+00
12,19,1.1417e+00
12,20,-5.1673e-01
13,14,-5.5434e+00
13,15,-3.9429e+00
13,16,1.5471e+00
13,17,-3.5814e+00
13,18,1.6130e+00
13,19,-1.8646e+00
13,20,-2.6935e+00
14,15,6.9888e-01
14,16,1.8665e+00
14,17,-3.8223e-01
14,18,6.3764e-01
14,19,1.4709e+00
14,20,3.1010e+00
15,16,-1.9220e+00
15,17,-2.1713e-01
15,18,-8.4787e-01
15,19,1.1533e+00
15,20,1.5133e+00
16,17,-6.8016e-01
16,18,-2.1635e+00
16,19,-2.8794e+00
16,20,-2.8256e+00
17,18,2.0935e+00
17,19,3.9015e+00
17,20,-1.5560e+00
18,19,2.4689e+00
18,20,-6.6352e-01
19,20,-2.7319e+00
