n1,n2,fij
1,2,-3.0316e+00
1,3,-2.1698e-01
1,4,-1.9268e+00
1,5,-2.3873e+00
1,6,-5.5192e+00
1,7,-6.0601e+00
1,8,-7.8599e-01
1,9,2.0674e+00
1,10,-8.4779e-01
1,11,-3.1327e+00
1,12,4.2827e-01
1,13,8.8320e-02
1,14,-3.1015e+00
1,15,2.0187e-02
1,16,-9.8927e-02
1,17,-2.4696e+00
1,18,-1.1436e+00
1,19,-2.8777e+00
1,20,-1.6341e+00
2,3,1.9300e+00
2,4,1.2761e+00
2,5,-2.8042e+00
2,6,-2.2184e-02
2,7,1.0390e+00
2,8,-2.2328e-01
2,9,2.2995e+00
2,10,2.0129e+00
2,11,-3.2586e+00
2,12,-5.2356e-01
2,13,2.0369e-01
2,14,3.5789e-01
2,15,1.8141e+00
2,16,-7.9102e-03
2,17,-2.3935e+00
2,18,-2.1637e+00
2,19,-6.1693e-01
2,20,2.9441e-01
3,4,-1.7967e+00
3,5,-2.6161e+00
3,6,1.5207e+00
3,7,-9.5229e-01
3,8,-1.3191e-01
3,9,1.7775e+00
3,10,-1.0355e+00
3,11,-2.9423e+00
3,12,-3.0236e+00
3,13,-4.2526e+00
3,14,-2.8733e+00
3,15,-2.7201e+00
3,16,-1.2882e+00
3,17,1.3814e+00
3,18,-1.3928e+00
3,19,-2.9514e+00
3,20,-1.3223e-01
4,5,-1.7938e+00
4,6,-9.1244e-02
4,7,6.2467e-02
4,8,2.2824e-01
4,9,-3.6067e+00
4,10,-1.4012e+00
4,11,-1.0460e+00
4,12,-5.2038e-01
4,13,6.1032e-01
4,14,-2.6959e+00
4,15,-2.0500e+00
4,16,-2.0556e+00
4,17,-7.3214e-01
4,18,-3.3129e-01
4,19,-3.3469e-01
4,20,-6.3798e-01
5,6,-2.9377e+00
5,7,-5.7356e-01
5,8,9.3126e-01
5,9,-4.8407e-01
5,10,1.9734e+00
5,11,1.5043e+00
5,12,2.5499e-03
5,13,2.5927e+00
5,14,-7.2094e-01
5,15,-9.1706e-01
5,16,2.5099e+00
5,17,-2.9128e+00
5,18,-3.5583e+00
5,19,-1.0916e+00
5,20,2.4090e+00
6,7,2.1096e+00
6,8,6.1963e-01
6,9,1.3918e+00
6,10,-4.0430e+00
6,11,7.4992e-01
6,12,-1.8472e+00
6,13,3.3434e+00
6,14,1.7974e+00
6,15,-2.0213e+00
6,16,2.0129e+00
6,17,3.1940e+00
6,18,3.4239e-01
6,19,3.3330e-01
6,20,-7.5530e-01
7,8,-1.4179e+00
7,9,2.2181e+00
7,10,-5.1739e-01
7,11,5.5302e-01
7,12,-1.8256e-01
7,13,1.6685e+00
7,14,-8.3844e-01
7,15,-1.1425e+00
7,16,1.3420e+00
7,17,-3.0143e+00
7,18,-1.6289e+00
7,19,-3.0863e+00
7,20,3.2400e-01
8,9,2.3333e-01
8,10,-4.6499e-01
8,11,-9.5972e-01
8,12,1.7149e+00
8,13,-9.8180e-01
8,14,-1.0296e+00
8,15,-1.2936e+00
8,16,1.1621e+00
8,17,-2.4220e+00
8,18,4.8559e-01
8,19,6.5596e-01
8,20,3.4471e-02
9,10,-1.8774e+00
9,11,-3.9856e+00
9,12,3.1090e-02
9,13,1.9424e-01
9,14,6.1002e-01
9,15,2.0703e+00
9,16,2.0865e-01
9,17,2.8056e-02
9,18,-6.5339e-01
9,19,-9.4967e-01
9,20,-1.3274e+00
10,11,5.4134e-01
10,12,4.9532e-01
10,13,3.3848e+00
10,14,-6.5566e-01
10,15,9.1648e-01
10,16,1.4314e-01
10,17,2.1411e+00
10,18,5.7854e-01
10,19,-1.0524e+00
10,20,-3.8617e-01
11,12,2.5811e+00
11,13,-2.9176e+00
11,14,-3.1951e+00
11,15,-1.9736e+00
11,16,-9.2860e-02
11,17,-8.7284e-01
11,18,-1.8123e+00
11,19,-2.4168e+00
11,20,-4.2572e+00
12,13,-2.0938e-01
12,14,-3.8372e+00
12,15,-3.1145e+00
12,16,5.5825e-01
12,17,-8.9301e-01
12,18,1.4770e+00
12,19,-6.4175e-01
12,20,-1.2335e-01
13,14,8.0087e-01
13,15,3.9148e-01
13,16,-1.4923e+00
13,17,-1.8081e-01
13,18,-3.5123e-01
13,19,3.1952e+00
13,20,-7.3603e-01
14,15,-2.2693e+00
14,16,-8.1656e-01
14,17,9.4100e-01
14,18,2.7063e-02
14,19,-2.2611e+00
14,20,-1.1128e+00
15,16,2.2224e+00
15,17,-3.8111e+00
15,18,-3.5040e+00
15,19,3.2094e-03
15,20,-1.2858e+00
16,17,-3.5837e+00
16,18,-1.9728e+00
16,19,4.4287e-01
16,20,3.3927e-01
17,18,7.3480e-01
17,19,-4.6587e+00
17,20,-1.6314e-02
18,19,9.5401e-01
18,20,3.2865e-01
19,20,-2.0919e-01
