n1,n2,fij
1,2,-4.7318e+00
1,3,-1.3686e+00
1,4,-5.0383e+00
1,5,-3.2272e+00
1,6,-3.4075e+00
1,7,-4.0729e+00
1,8,-8.9014e+00
1,9,9.8995e-01
1,10,-2.5191e+00
1,11,-8.0966e-01
1,12,-6.3183e+00
1,13,-1.8062e+00
1,14,-6.7805e+00
1,15,-5.1956e+00
1,16,-1.7701e+00
1,17,-5.0104e+00
1,18,-2.5224e+00
1,19,-2.1897e+00
1,20,-5.9790e+00
2,3,5.7447e+00
2,4,7.0640e-01
2,5,4.4417e-01
2,6,4.7924e+00
2,7,4.1827e+00
2,8,2.0487e-01
2,9,4.7957e+00
2,10,-5.7365e-01
2,11,-3.0649e-01
2,12,-6.0315e-01
2,13,2.7322e+00
2,14,-4.2220e+00
2,15,-1.0145e+00
2,16,-1.4095e+00
2,17,-3.1190e+00
2,18,1.8652e+00
2,19,2.2454e-01
2,20,-9.9814e-01
3,4,-1.4636e+00
3,5,-4.7006e+00
3,6,-2.5585e+00
3,7,-4.2089e+00
3,8,-6.0593e+00
3,9,6.0151e-01
3,10,-3.4157e+00
3,11,-1.0981e-01
3,12,-5.1202e+00
3,13,-1.7357e+00
3,14,-4.8891e+00
3,15,-6.7657e+00
3,16,-6.7412e+00
3,17,-1.1571e+00
3,18,-2.8535e+00
3,19,-1.3669e+00
3,20,-2.6535e+00
4,5,-5.7201e-01
4,6,3.0436e+00
4,7,3.1469e+00
4,8,-5.7020e+00
4,9,-1.3636e+00
4,10,1.1768e+00
4,11,2.3175e+00
4,12,5.7365e-02
4,13,1.5898e+00
4,14,-1.2587e+00
4,15,-2.0914e+00
4,16,1.2309e+00
4,17,6.5560e-02
4,18,7.6869e-01
4,19,2.5814e+00
4,20,-1.1407e+00
5,6,-1.2342e+00
5,7,1.6193e+00
5,8,-1.2538e+00
5,9,-3.0813e-01
5,10,-1.4587e+00
5,11,3.3271e+00
5,12,-5.9004e-01
5,13,3.7385e+00
5,14,-3.6205e+00
5,15,1.8357e-01
5,16,9.4242e-01
5,17,-1.0899e+00
5,18,4.7039e-01
5,19,1.2440e+00
5,20,-1.3981e+00
6,7,1.4259e+00
6,8,-3.5304e+00
6,9,-6.3429e-01
6,10,7.0477e-02
6,11,2.2077e+00
6,12,-3.5796e+00
6,13,3.6222e-01
6,14,5.9004e-02
6,15,-2.3946e+00
6,16,-1.5751e+00
6,17,-3.1714e+00
6,18,-2.8600e+00
6,19,-2.3110e-01
6,20,-1.5898e-01
7,8,-2.4110e+00
7,9,-2.9158e+00
7,10,1.2915e+00
7,11,-1.6718e-01
7,12,-9.7356e-01
7,13,-4.4581e-01
7,14,-2.7240e+00
7,15,-2.3192e+00
7,16,-2.9666e-01
7,17,-2.2520e+00
7,18,-3.7582e+00
7,19,6.3593e-01
7,20,-1.9127e+00
8,9,3.6746e+00
8,10,-4.0975e-02
8,11,8.2113e-01
8,12,1.0260e+00
8,13,2.5339e+00
8,14,3.9991e-01
8,15,-2.8518e-01
8,16,1.3341e+00
8,17,1.0621e+00
8,18,2.1045e+00
8,19,4.8154e+00
8,20,-2.3257e+00
9,10,2.0274e+00
9,11,-1.0506e+00
9,12,-2.2454e+00
9,13,-4.7039e-01
9,14,-3.6549e+00
9,15,-5.6365e+00
9,16,-4.6580e+00
9,17,-3.0026e+00
9,18,-4.4613e+00
9,19,1.1588e+00
9,20,-2.9469e+00
10,11,-3.6254e+00
10,12,-1.6357e+00
10,13,2.5945e+00
10,14,-7.2116e-02
10,15,1.6193e+00
10,16,4.0647e-01
10,17,2.8305e+00
10,18,2.5224e+00
10,19,2.7519e+00
10,20,-8.4572e-01
11,12,-2.1602e+00
11,13,9.1783e-02
11,14,-4.5662e+00
11,15,-3.5746e+00
11,16,-2.1143e-01
11,17,-4.7154e+00
11,18,-1.8947e+00
11,19,-1.0981e-01
11,20,-4.6875e+00
12,13,4.2892e+00
12,14,-3.5648e+00
12,15,-2.9846e+00
12,16,3.5042e+00
12,17,-1.3374e+00
12,18,4.5039e+00
12,19,1.1473e-01
12,20,-5.5562e-01
13,14,-5.9626e+00
13,15,-2.2634e+00
13,16,2.1848e+00
13,17,-4.4712e+00
13,18,2.3388e+00
13,19,-6.1462e-01
13,20,-1.8275e+00
14,15,7.6705e-01
14,16,2.2421e+00
14,17,2.2454e-01
14,18,1.8144e+00
14,19,2.0864e+00
14,20,6.2118e-01
15,16,-1.7095e+00
15,17,-1.1489e+00
15,18,-3.6058e+00
15,19,1.5947e+00
15,20,2.7863e-02
16,17,-1.3374e+00
16,18,-1.1555e+00
16,19,-9.8667e-01
16,20,-2.1192e+00
17,18,1.4866e+00
17,19,4.2827e+00
17,20,-1.7701e+00
18,19,1.9193e+00
18,20,-3.1141e-01
19,20,-2.5011e+00
