n1,n2,fij
1,2,-1.1877e+00
1,3,4.4540e-01
1,4,-2.2270e+00
1,5,-8.9080e-01
1,6,-1.4847e-01
1,7,-2.0785e+00
1,8,-2.8209e+00
1,9,-3.2663e+00
1,10,-2.8209e+00
1,11,-3.7117e+00
1,12,-3.8601e+00
1,13,-1.1877e+00
1,14,-3.2663e+00
1,15,-2.6724e+00
1,16,-3.7117e+00
1,17,-1.9301e+00
1,18,-1.7816e+00
1,19,-3.4147e+00
1,20,-3.5632e+00
2,3,4.4540e-01
2,4,1.9301e+00
2,5,-1.4847e-01
2,6,-2.9693e-01
2,7,-2.6724e+00
2,8,-1.4847e-01
2,9,-1.6331e+00
2,10,-1.0393e+00
2,11,-5.9387e-01
2,12,2.9693e-01
2,13,2.9693e-01
2,14,2.0785e+00
2,15,-5.9387e-01
2,16,-1.6331e+00
2,17,7.4233e-01
2,18,-8.9080e-01
2,19,1.4847e-01
2,20,-7.4233e-01
3,4,0.0000e+00
3,5,-1.0393e+00
3,6,-4.4540e-01
3,7,-8.9080e-01
3,8,-1.6331e+00
3,9,-1.9301e+00
3,10,-1.0393e+00
3,11,-4.0086e+00
3,12,-3.2663e+00
3,13,-2.0785e+00
3,14,-1.3362e+00
3,15,-1.9301e+00
3,16,5.9387e-01
3,17,-1.3362e+00
3,18,-1.4847e-01
3,19,-3.1178e+00
3,20,-2.9693e+00
4,5,-1.6331e+00
4,6,-1.1877e+00
4,7,-2.5239e+00
4,8,-2.5239e+00
4,9,-8.9080e-01
4,10,-2.3755e+00
4,11,-1.4847e+00
4,12,-1.9301e+00
4,13,-2.2270e+00
4,14,8.9080e-01
4,15,-1.3362e+00
4,16,-1.7816e+00
4,17,4.4540e-01
4,18,-1.9301e+00
4,19,-1.0393e+00
4,20,-1.0393e+00
5,6,1.0393e+00
5,7,-4.4540e-01
5,8,-1.6331e+00
5,9,-1.0393e+00
5,10,-1.1877e+00
5,11,-1.9301e+00
5,12,-2.2270e+00
5,13,-2.3755e+00
5,14,1.4847e-01
5,15,8.9080e-01
5,16,-3.4147e+00
5,17,-1.3362e+00
5,18,-1.4847e-01
5,19,-1.1877e+00
5,20,-7.4233e-01
6,7,1.4847e-01
6,8,-1.4847e-01
6,9,-8.9080e-01
6,10,-1.7816e+00
6,11,4.4540e-01
6,12,-7.4233e-01
6,13,-1.6331e+00
6,14,8.9080e-01
6,15,4.4540e-01
6,16,1.1877e+00
6,17,-1.7816e+00
6,18,-2.0785e+00
6,19,-4.0086e+00
6,20,8.9080e-01
7,8,1.3362e+00
7,9,1.7816e+00
7,10,0.0000e+00
7,11,8.9080e-01
7,12,-2.9693e-01
7,13,-1.4847e-01
7,14,1.1877e+00
7,15,1.6331e+00
7,16,1.0393e+00
7,17,7.4233e-01
7,18,-8.9080e-01
7,19,0.0000e+00
7,20,0.0000e+00
8,9,8.9080e-01
8,10,1.0393e+00
8,11,7.4233e-01
8,12,-1.0393e+00
8,13,1.0393e+00
8,14,1.7816e+00
8,15,-5.9387e-01
8,16,5.9387e-01
8,17,7.4233e-01
8,18,-1.3362e+00
8,19,7.4233e-01
8,20,1.4847e-01
9,10,-1.0393e+00
9,11,-1.6331e+00
9,12,0.0000e+00
9,13,-1.4847e-01
9,14,-1.4847e-01
9,15,1.1877e+00
9,16,1.3362e+00
9,17,1.4847e+00
9,18,-1.3362e+00
9,19,5.9387e-01
9,20,-7.4233e-01
10,11,-2.9693e-01
10,12,7.4233e-01
10,13,1.4847e-01
10,14,-1.1877e+00
10,15,1.3362e+00
10,16,1.4847e-01
10,17,1.3362e+00
10,18,-8.9080e-01
10,19,2.9693e-01
10,20,-1.0393e+00
11,12,1.1877e+00
11,13,2.9693e-01
11,14,1.4847e-01
11,15,8.9080e-01
11,16,1.9301e+00
11,17,4.4540e-01
11,18,-7.4233e-01
11,19,-4.4540e-01
11,20,8.9080e-01
12,13,2.9693e-01
12,14,1.1877e+00
12,15,-2.9693e-01
12,16,3.1178e+00
12,17,4.4540e-01
12,18,7.4233e-01
12,19,1.3362e+00
12,20,-1.7816e+00
13,14,1.4847e+00
13,15,-2.2270e+00
13,16,8.9080e-01
13,17,8.9080e-01
13,18,-1.4847e-01
13,19,-4.4540e-01
13,20,-1.0393e+00
14,15,1.0393e+00
14,16,1.1877e+00
14,17,1.0393e+00
14,18,-8.9080e-01
14,19,4.4540e-01
14,20,-1.4847e-01
15,16,1.7816e+00
15,17,1.4847e+00
15,18,1.7816e+00
15,19,4.4540e-01
15,20,7.4233e-01
16,17,-8.9080e-01
16,18,-1.6331e+00
16,19,-5.3448e+00
16,20,-1.4847e-01
17,18,-2.8209e+00
17,19,-1.9301e+00
17,20,-2.2270e+00
18,19,1.6331e+00
18,20,1.1877e+00
19,20,2.9693e-01
