n1,n2,fij
1,2,-1.2484e+00
1,3,2.8231e-01
1,4,-7.5934e-01
1,5,-1.1028e+00
1,6,-7.8471e-02
1,7,-1.6286e+00
1,8,-1.5938e+00
1,9,-1.7806e+00
1,10,-2.4350e+00
1,11,-2.0752e+00
1,12,-1.7905e+00
1,13,-1.9621e+00
1,14,-2.1829e+00
1,15,-1.4557e+00
1,16,-2.3682e+00
1,17,-1.1636e+00
1,18,-1.9737e+00
1,19,-2.3418e+00
1,20,-1.6476e+00
2,3,5.6621e-01
2,4,1.5009e+00
2,5,3.1554e-01
2,6,6.5512e-01
2,7,-9.7024e-01
2,8,-6.1720e-03
2,9,-7.8714e-01
2,10,-1.3325e+00
2,11,-1.5516e+00
2,12,-2.0463e-01
2,13,-5.4945e-02
2,14,6.8021e-01
2,15,-8.6383e-01
2,16,-1.8887e+00
2,17,2.1001e-01
2,18,-1.0400e+00
2,19,-8.7085e-01
2,20,-9.1068e-01
3,4,-2.4037e-03
3,5,-6.8501e-01
3,6,3.0313e-01
3,7,-9.7639e-01
3,8,-4.4334e-01
3,9,-1.2700e+00
3,10,-1.4293e+00
3,11,-1.9277e+00
3,12,-1.3438e+00
3,13,-8.8411e-01
3,14,-5.8607e-01
3,15,-1.1038e+00
3,16,-1.2768e+00
3,17,-5.1534e-01
3,18,-1.3628e+00
3,19,-1.5475e+00
3,20,-1.8981e+00
4,5,2.0441e-02
4,6,5.0563e-01
4,7,-1.1053e+00
4,8,-2.4488e+00
4,9,-7.4380e-01
4,10,-1.6586e+00
4,11,-1.6612e+00
4,12,-4.3156e-01
4,13,-1.2962e+00
4,14,-6.5954e-01
4,15,-8.1540e-01
4,16,-2.1372e+00
4,17,1.3428e-01
4,18,-1.4126e+00
4,19,-1.3968e+00
4,20,-1.6761e+00
5,6,1.3635e+00
5,7,-1.3093e+00
5,8,-9.1902e-02
5,9,-8.9831e-01
5,10,-1.4231e+00
5,11,-9.7843e-01
5,12,-7.3804e-01
5,13,-1.2683e+00
5,14,6.0769e-02
5,15,-7.1011e-01
5,16,-1.9166e+00
5,17,-6.0207e-01
5,18,-8.7382e-01
5,19,-2.1386e-01
5,20,-8.6272e-01
6,7,-7.4120e-01
6,8,-5.4286e-01
6,9,-6.5292e-01
6,10,-2.6148e+00
6,11,-1.0553e+00
6,12,-1.1119e+00
6,13,-1.6198e+00
6,14,-9.2361e-01
6,15,-5.9741e-01
6,16,-1.1238e+00
6,17,-8.8154e-01
6,18,-2.2650e+00
6,19,-1.6261e+00
6,20,-1.1604e+00
7,8,3.9793e-01
7,9,7.3766e-01
7,10,-3.6202e-02
7,11,-4.4854e-01
7,12,1.5344e-01
7,13,-6.2334e-01
7,14,1.4201e-01
7,15,6.7262e-02
7,16,2.2851e-01
7,17,3.0933e-01
7,18,-2.7869e-01
7,19,-4.0030e-02
7,20,4.1714e-01
8,9,-3.2176e-01
8,10,3.2275e-01
8,11,3.2556e-01
8,12,-1.0952e+00
8,13,-5.7709e-01
8,14,3.0245e-01
8,15,-6.7099e-01
8,16,-5.3358e-01
8,17,-1.1165e-01
8,18,-5.7046e-03
8,19,-6.6003e-01
8,20,-7.9850e-02
9,10,-1.1138e+00
9,11,-7.1867e-01
9,12,2.8018e-01
9,13,-2.4754e-01
9,14,7.8667e-02
9,15,7.3273e-01
9,16,-1.1931e-01
9,17,4.1094e-01
9,18,-6.3249e-01
9,19,-2.5457e-01
9,20,-7.7908e-01
10,11,-9.1289e-01
10,12,3.8875e-01
10,13,1.2107e+00
10,14,-1.0000e+00
10,15,6.3476e-01
10,16,-7.9526e-01
10,17,1.5113e+00
10,18,6.4254e-01
10,19,2.0103e-01
10,20,-9.6468e-01
11,12,-2.5059e-01
11,13,-6.0619e-01
11,14,-5.3009e-01
11,15,2.2205e-01
11,16,3.4217e-01
11,17,2.2096e+00
11,18,-5.8350e-01
11,19,9.9113e-01
11,20,-3.8766e-01
12,13,-4.1912e-01
12,14,4.8117e-01
12,15,-4.8863e-01
12,16,9.2378e-01
12,17,-4.6053e-01
12,18,1.5827e-01
12,19,5.6971e-01
12,20,-1.2052e+00
13,14,6.6028e-01
13,15,1.5624e-01
13,16,9.9275e-01
13,17,8.4824e-01
13,18,1.3662e-01
13,19,-6.2325e-01
13,20,-1.1806e+00
14,15,8.1218e-01
14,16,-5.6681e-01
14,17,7.7134e-01
14,18,-9.5564e-02
14,19,-5.5539e-02
14,20,-9.7955e-01
15,16,3.5893e-01
15,17,1.3129e+00
15,18,5.1310e-01
15,19,2.1045e-01
15,20,7.8877e-01
16,17,1.0062e+00
16,18,-4.0780e-01
16,19,-1.8697e+00
16,20,-3.5740e-01
17,18,-1.3405e+00
17,19,-4.0628e-01
17,20,-1.1004e+00
18,19,1.8506e-01
18,20,-2.7201e-01
19,20,6.1866e-01
