n1,n2,fij
1,2,-1.5071e+00
1,3,-5.1581e-02
1,4,-5.5808e-01
1,5,-1.9185e+00
1,6,3.3551e-01
1,7,-1.7576e+00
1,8,-1.9305e+00
1,9,-2.8182e+00
1,10,-4.1978e+00
1,11,-2.5420e+00
1,12,-3.6742e+00
1,13,-3.7469e+00
1,14,-2.2648e+00
1,15,-3.4938e+00
1,16,-4.2375e+00
1,17,-2.6707e+00
1,18,-2.2316e+00
1,19,-4.1515e+00
1,20,-3.9603e+00
2,3,3.9164e-01
2,4,1.2739e+00
2,5,6.9141e-02
2,6,7.7199e-01
2,7,-1.8084e+00
2,8,-9.7431e-01
2,9,-1.4734e+00
2,10,-1.3400e+00
2,11,-6.8364e-01
2,12,2.0393e-02
2,13,-4.0482e-01
2,14,2.4534e-01
2,15,-1.3970e+00
2,16,-3.4623e+00
2,17,2.1947e-01
2,18,-1.0103e+00
2,19,-1.7768e+00
2,20,-1.6173e+00
3,4,-4.3186e-01
3,5,-7.5663e-01
3,6,-4.7183e-01
3,7,-1.0772e+00
3,8,-1.4764e+00
3,9,-1.6970e+00
3,10,-2.2160e+00
3,11,-2.9739e+00
3,12,-2.2656e+00
3,13,-1.3700e+00
3,14,-6.7397e-01
3,15,-2.1786e+00
3,16,-8.4131e-01
3,17,-8.2980e-01
3,18,-1.0398e+00
3,19,-2.9344e+00
3,20,-3.2403e+00
4,5,-1.3532e+00
4,6,-1.2592e-01
4,7,-1.4385e+00
4,8,-1.9614e+00
4,9,-1.4289e+00
4,10,-1.8550e+00
4,11,-2.1453e+00
4,12,-9.0642e-01
4,13,-1.6742e-01
4,14,3.4793e-01
4,15,-1.2731e+00
4,16,-2.3945e+00
4,17,-7.0040e-01
4,18,-1.9400e+00
4,19,-2.2169e+00
4,20,-9.1038e-01
5,6,1.6281e+00
5,7,-9.9626e-01
5,8,-2.5213e+00
5,9,-3.6497e-01
5,10,-1.5609e+00
5,11,-9.4351e-01
5,12,-1.1605e+00
5,13,-2.7261e+00
5,14,1.5960e-02
5,15,-1.4123e+00
5,16,-3.4192e+00
5,17,-9.8767e-01
5,18,1.6884e-01
5,19,-7.2055e-01
5,20,-7.5159e-01
6,7,-1.2710e+00
6,8,-7.9357e-01
6,9,-1.4682e+00
6,10,-3.2887e+00
6,11,-1.2724e+00
6,12,-1.8163e+00
6,13,-2.4842e+00
6,14,-3.8826e-01
6,15,-1.4492e+00
6,16,-1.4864e+00
6,17,-2.6275e+00
6,18,-2.0699e+00
6,19,-3.3305e+00
6,20,-1.8965e+00
7,8,9.8969e-01
7,9,7.9278e-01
7,10,-6.6628e-03
7,11,9.9026e-01
7,12,-1.0804e-01
7,13,1.7424e-01
7,14,6.3828e-01
7,15,1.0354e+00
7,16,-2.9072e-01
7,17,8.7379e-01
7,18,-7.0037e-01
7,19,7.5045e-01
7,20,-8.4780e-01
8,9,-7.0928e-01
8,10,2.6684e-01
8,11,1.2692e+00
8,12,1.7053e-02
8,13,1.0903e+00
8,14,6.8631e-01
8,15,-5.5299e-01
8,16,5.7392e-01
8,17,6.1962e-01
8,18,-6.8553e-01
8,19,4.3993e-01
8,20,-1.4474e-01
9,10,-9.1531e-01
9,11,7.6126e-01
9,12,8.6044e-01
9,13,3.5557e-01
9,14,-2.3024e-01
9,15,2.4842e-01
9,16,5.6986e-01
9,17,3.0877e-01
9,18,-6.4394e-01
9,19,-2.8302e-02
9,20,-5.1051e-01
10,11,6.4832e-01
10,12,4.9608e-01
10,13,8.1061e-01
10,14,-1.4172e+00
10,15,-5.4045e-01
10,16,-6.0402e-01
10,17,8.0825e-01
10,18,5.1075e-01
10,19,-9.8396e-02
10,20,-1.3222e+00
11,12,-4.7100e-01
11,13,-5.4280e-01
11,14,-4.9983e-01
11,15,-7.3073e-02
11,16,3.6621e-01
11,17,4.2877e-01
11,18,-8.9043e-01
11,19,-1.0173e-02
11,20,-5.9137e-01
12,13,-5.3990e-02
12,14,6.6918e-01
12,15,-4.5890e-01
12,16,1.1848e+00
12,17,-7.4498e-01
12,18,3.1112e-01
12,19,3.6791e-01
12,20,-1.5424e+00
13,14,8.1576e-01
13,15,-1.0263e+00
13,16,9.1600e-02
13,17,6.3226e-01
13,18,-5.8724e-01
13,19,2.1530e-01
13,20,3.0898e-03
14,15,2.7255e-01
14,16,-1.3165e-01
14,17,-5.4587e-01
14,18,-6.8574e-01
14,19,-6.1450e-01
14,20,-9.5090e-01
15,16,1.1177e+00
15,17,1.2201e+00
15,18,7.4755e-01
15,19,1.7006e-01
15,20,2.0254e-01
16,17,4.9938e-03
16,18,-9.4462e-01
16,19,-2.2672e+00
16,20,-3.2682e-01
17,18,-1.4353e+00
17,19,-1.9449e+00
17,20,-1.7791e+00
18,19,1.2753e+00
18,20,7.4599e-02
19,20,6.4501e-01
