n1,n2,fij
1,2,-1.4432e-01
1,3,-2.8864e+00
1,4,1.4432e-01
1,5,-7.2161e-01
1,6,1.4432e+00
1,7,-7.2161e-01
1,8,-1.7319e+00
1,9,5.7729e-01
1,10,-1.1546e+00
1,11,-5.7729e-01
1,12,-2.3092e+00
1,13,-1.8762e+00
1,14,-5.7729e-01
1,15,-1.1546e+00
1,16,-7.2161e-01
1,17,7.2161e-01
1,18,-3.1751e+00
1,19,-5.7729e-01
1,20,-2.0205e+00
2,3,2.3092e+00
2,4,8.6593e-01
2,5,5.7729e-01
2,6,4.3297e-01
2,7,-1.8762e+00
2,8,-2.4535e+00
2,9,4.3297e-01
2,10,1.4432e+00
2,11,0.0000e+00
2,12,1.4432e+00
2,13,-1.8762e+00
2,14,0.0000e+00
2,15,1.5875e+00
2,16,1.7319e+00
2,17,0.0000e+00
2,18,-1.0103e+00
2,19,-3.4637e+00
2,20,-1.8762e+00
3,4,1.4432e+00
3,5,-1.4432e+00
3,6,2.1648e+00
3,7,1.0103e+00
3,8,-5.7729e-01
3,9,2.8864e-01
3,10,-4.3297e-01
3,11,1.2989e+00
3,12,1.2989e+00
3,13,-1.0103e+00
3,14,1.2989e+00
3,15,4.3297e-01
3,16,2.8864e-01
3,17,2.0205e+00
3,18,2.8864e-01
3,19,5.7729e-01
3,20,1.5875e+00
4,5,4.3297e-01
4,6,-1.2989e+00
4,7,-1.8762e+00
4,8,1.4432e-01
4,9,-1.2989e+00
4,10,-7.2161e-01
4,11,-2.8864e-01
4,12,-1.4432e+00
4,13,-8.6593e-01
4,14,-1.5875e+00
4,15,5.7729e-01
4,16,-1.2989e+00
4,17,-2.8864e-01
4,18,-1.0103e+00
4,19,-1.4432e-01
4,20,-1.2989e+00
5,6,7.2161e-01
5,7,-4.3297e-01
5,8,-1.0103e+00
5,9,-1.1546e+00
5,10,1.4432e-01
5,11,5.7729e-01
5,12,1.2989e+00
5,13,-1.0103e+00
5,14,-1.0103e+00
5,15,4.3297e-01
5,16,4.3297e-01
5,17,1.8762e+00
5,18,-1.0103e+00
5,19,-1.0103e+00
5,20,-7.2161e-01
6,7,7.2161e-01
6,8,-1.5875e+00
6,9,1.4432e-01
6,10,1.4432e+00
6,11,-5.7729e-01
6,12,-1.4432e+00
6,13,-2.8864e-01
6,14,-8.6593e-01
6,15,-1.7319e+00
6,16,-1.1546e+00
6,17,1.4432e-01
6,18,-8.6593e-01
6,19,1.0103e+00
6,20,-1.1546e+00
7,8,8.6593e-01
7,9,1.4432e+00
7,10,2.4535e+00
7,11,-5.7729e-01
7,12,1.7319e+00
7,13,4.3297e-01
7,14,1.4432e-01
7,15,1.0103e+00
7,16,-1.5875e+00
7,17,1.8762e+00
7,18,8.6593e-01
7,19,-2.0205e+00
7,20,-1.0103e+00
8,9,2.8864e-01
8,10,4.3297e-01
8,11,1.1546e+00
8,12,2.0205e+00
8,13,-4.3297e-01
8,14,-1.4432e-01
8,15,7.2161e-01
8,16,-1.5875e+00
8,17,1.5875e+00
8,18,-1.8762e+00
8,19,1.5875e+00
8,20,1.4432e+00
9,10,1.2989e+00
9,11,-1.2989e+00
9,12,4.3297e-01
9,13,-2.1648e+00
9,14,5.7729e-01
9,15,1.4432e-01
9,16,3.8967e+00
9,17,1.2989e+00
9,18,-1.4432e-01
9,19,1.4432e+00
9,20,-8.6593e-01
10,11,-7.2161e-01
10,12,-2.4535e+00
10,13,-1.2989e+00
10,14,-8.6593e-01
10,15,-2.8864e-01
10,16,-1.4432e+00
10,17,1.0103e+00
10,18,-2.0205e+00
10,19,-1.4432e+00
10,20,-2.8864e-01
11,12,2.8864e+00
11,13,-2.8864e+00
11,14,7.2161e-01
11,15,2.8864e-01
11,16,0.0000e+00
11,17,1.4432e+00
11,18,4.3297e-01
11,19,2.1648e+00
11,20,2.1648e+00
12,13,-1.4432e-01
12,14,2.8864e-01
12,15,-1.0103e+00
12,16,-1.0103e+00
12,17,-5.7729e-01
12,18,8.6593e-01
12,19,1.4432e-01
12,20,5.7729e-01
13,14,4.3297e-01
13,15,8.6593e-01
13,16,1.7319e+00
13,17,1.8762e+00
13,18,-1.4432e-01
13,19,-5.7729e-01
13,20,1.2989e+00
14,15,1.4432e-01
14,16,5.7729e-01
14,17,1.4432e-01
14,18,1.1546e+00
14,19,-8.6593e-01
14,20,-2.8864e-01
15,16,-1.0103e+00
15,17,7.2161e-01
15,18,-1.4432e-01
15,19,1.4432e-01
15,20,-1.4432e-01
16,17,1.4432e-01
16,18,-1.1546e+00
16,19,7.2161e-01
16,20,1.4432e-01
17,18,-1.8762e+00
17,19,-1.1546e+00
17,20,1.2989e+00
18,19,-1.8762e+00
18,20,-4.0410e+00
19,20,1.8762e+00
