n1,n2,fij
1,2,-2.6220e+00
1,3,-7.4914e-01
1,4,-7.4914e-01
1,5,-1.4983e+00
1,6,2.6220e+00
1,7,0.0000e+00
1,8,-1.8728e+00
1,9,-2.9966e+00
1,10,1.4983e+00
1,11,-1.1237e+00
1,12,1.1237e+00
1,13,-3.7457e+00
1,14,7.4914e-01
1,15,-7.4914e-01
1,16,-1.1237e+00
1,17,1.1237e+00
1,18,-3.3711e+00
1,19,-3.7457e-01
1,20,-3.7457e+00
2,3,0.0000e+00
2,4,1.4983e+00
2,5,2.2474e+00
2,6,-1.4983e+00
2,7,-2.2474e+00
2,8,-1.8728e+00
2,9,-3.7457e-01
2,10,7.4914e-01
2,11,1.4983e+00
2,12,0.0000e+00
2,13,-1.8728e+00
2,14,-2.2474e+00
2,15,1.1237e+00
2,16,0.0000e+00
2,17,-7.4914e-01
2,18,-2.2474e+00
2,19,3.7457e-01
2,20,-1.1237e+00
3,4,0.0000e+00
3,5,3.7457e-01
3,6,4.1203e+00
3,7,1.8728e+00
3,8,-7.4914e-01
3,9,-1.1237e+00
3,10,3.7457e-01
3,11,2.9966e+00
3,12,0.0000e+00
3,13,-1.4983e+00
3,14,-7.4914e-01
3,15,2.9966e+00
3,16,1.1237e+00
3,17,1.8728e+00
3,18,-1.4983e+00
3,19,-3.7457e-01
3,20,0.0000e+00
4,5,-7.4914e-01
4,6,-1.8728e+00
4,7,-3.7457e+00
4,8,0.0000e+00
4,9,1.4983e+00
4,10,-7.4914e-01
4,11,3.7457e-01
4,12,-3.7457e-01
4,13,-1.4983e+00
4,14,7.4914e-01
4,15,7.4914e-01
4,16,-1.4983e+00
4,17,-7.4914e-01
4,18,-4.4948e+00
4,19,-3.7457e-01
4,20,-3.7457e+00
5,6,7.4914e-01
5,7,3.7457e-01
5,8,-1.1237e+00
5,9,-3.7457e-01
5,10,-3.7457e-01
5,11,-3.7457e-01
5,12,0.0000e+00
5,13,-1.8728e+00
5,14,-3.7457e-01
5,15,0.0000e+00
5,16,-1.1237e+00
5,17,0.0000e+00
5,18,3.7457e-01
5,19,3.7457e-01
5,20,-7.4914e-01
6,7,-2.6220e+00
6,8,-1.1237e+00
6,9,-7.4914e-01
6,10,2.9966e+00
6,11,1.1237e+00
6,12,-1.8728e+00
6,13,-7.4914e-01
6,14,0.0000e+00
6,15,-3.3711e+00
6,16,-3.7457e-01
6,17,1.4983e+00
6,18,-1.1237e+00
6,19,3.7457e-01
6,20,-3.7457e-01
7,8,0.0000e+00
7,9,1.1237e+00
7,10,3.7457e-01
7,11,-1.1237e+00
7,12,2.6220e+00
7,13,7.4914e-01
7,14,3.7457e-01
7,15,-7.4914e-01
7,16,3.7457e-01
7,17,1.1237e+00
7,18,-7.4914e-01
7,19,-1.1237e+00
7,20,3.7457e-01
8,9,7.4914e-01
8,10,3.7457e-01
8,11,-3.7457e-01
8,12,-7.4914e-01
8,13,-1.4983e+00
8,14,1.1237e+00
8,15,7.4914e-01
8,16,1.8728e+00
8,17,-2.9966e+00
8,18,3.7457e-01
8,19,-7.4914e-01
8,20,3.3711e+00
9,10,0.0000e+00
9,11,-1.4983e+00
9,12,-1.8728e+00
9,13,7.4914e-01
9,14,1.4983e+00
9,15,-1.8728e+00
9,16,2.2474e+00
9,17,-3.7457e-01
9,18,1.8728e+00
9,19,-3.7457e-01
9,20,0.0000e+00
10,11,-1.1237e+00
10,12,-1.1237e+00
10,13,-7.4914e-01
10,14,-7.4914e-01
10,15,-1.8728e+00
10,16,-1.4983e+00
10,17,3.7457e-01
10,18,-1.1237e+00
10,19,-7.4914e-01
10,20,-1.8728e+00
11,12,-7.4914e-01
11,13,0.0000e+00
11,14,1.4983e+00
11,15,2.2474e+00
11,16,3.7457e-01
11,17,-3.7457e-01
11,18,3.7457e-01
11,19,-3.7457e-01
11,20,0.0000e+00
12,13,2.2474e+00
12,14,0.0000e+00
12,15,-1.1237e+00
12,16,1.8728e+00
12,17,7.4914e-01
12,18,1.4983e+00
12,19,1.8728e+00
12,20,3.7457e-01
13,14,1.4983e+00
13,15,1.8728e+00
13,16,-3.7457e-01
13,17,2.2474e+00
13,18,0.0000e+00
13,19,7.4914e-01
13,20,3.7457e+00
14,15,1.4983e+00
14,16,7.4914e-01
14,17,-1.1237e+00
14,18,-7.4914e-01
14,19,1.8728e+00
14,20,0.0000e+00
15,16,0.0000e+00
15,17,-7.4914e-01
15,18,-1.4983e+00
15,19,-1.1237e+00
15,20,-3.7457e-01
16,17,7.4914e-01
16,18,-1.1237e+00
16,19,7.4914e-01
16,20,2.2474e+00
17,18,-1.8728e+00
17,19,-7.4914e-01
17,20,1.1237e+00
18,19,-1.8728e+00
18,20,-2.2474e+00
19,20,3.7457e-01
