n1,n2,fij
1,2,-8.9456e-01
1,3,-2.8677e+00
1,4,-1.7540e+00
1,5,9.0337e-01
1,6,-2.2289e+00
1,7,-2.7559e+00
1,8,-2.9567e-01
1,9,-4.8660e+00
1,10,-2.2142e+00
1,11,-4.4091e+00
1,12,-2.5341e+00
1,13,-3.5385e+00
1,14,-2.3042e+00
1,15,-1.2648e+00
1,16,-2.1506e+00
1,17,-3.1600e+00
1,18,-4.5874e+00
2,3,7.4641e-01
2,4,2.7944e-01
2,5,1.2210e+00
2,6,1.4745e+00
2,7,2.5701e-01
2,8,-1.0320e+00
2,9,3.3667e+00
2,10,4.4252e-01
2,11,1.5182e-01
2,12,1.3934e+00
2,13,-1.5556e-01
2,14,-7.0684e-02
2,15,6.4472e-01
2,16,-1.9754e-01
2,17,1.8241e+00
2,18,-1.0892e+00
3,4,1.1328e+00
3,5,5.4822e-01
3,6,1.0572e+00
3,7,-2.7996e+00
3,8,1.6536e-01
3,9,1.9809e-01
3,10,-7.0881e-01
3,11,6.5416e-01
3,12,-3.4901e-01
3,13,-1.1025e-01
3,14,5.7017e-02
3,15,-7.4376e-02
3,16,-5.0625e-01
3,17,3.6233e-01
3,18,2.6425e-01
4,5,-1.3576e+00
4,6,5.6759e-02
4,7,4.1012e-01
4,8,-1.0037e+00
4,9,9.9902e-01
4,10,-1.7474e+00
4,11,-7.2293e-01
4,12,-9.4149e-01
4,13,-1.5957e-01
4,14,-5.9291e+00
4,15,-1.6729e+00
4,16,3.5300e-02
4,17,9.5979e-01
4,18,1.5441e-02
5,6,-2.7906e-01
5,7,-1.4263e+00
5,8,4.8111e-01
5,9,-1.3249e-01
5,10,-2.6013e+00
5,11,-1.2219e-02
5,12,-1.4731e+00
5,13,-4.1069e-01
5,14,-1.9583e+00
5,15,-8.5282e-01
5,16,-8.4440e-02
5,17,-9.0626e-02
5,18,-1.9860e+00
6,7,-1.0944e+00
6,8,-5.2486e-01
6,9,8.1829e-01
6,10,-2.4456e+00
6,11,-2.2097e-01
6,12,-2.5848e+00
6,13,-8.7125e-01
6,14,-2.3761e+00
6,15,-2.0319e+00
6,16,5.4648e-01
6,17,3.7500e-02
6,18,-1.2036e+00
7,8,6.2086e-01
7,9,3.6774e+00
7,10,-7.8876e-01
7,11,1.9847e-01
7,12,1.2324e+00
7,13,5.3951e-01
7,14,-2.2347e+00
7,15,-1.0664e+00
7,16,3.5728e-01
7,17,2.4623e+00
7,18,1.3442e+00
8,9,2.4640e+00
8,10,8.3658e-01
8,11,-3.2652e-01
8,12,-2.0336e+00
8,13,-6.1846e-01
8,14,-8.8648e-01
8,15,-1.8591e-02
8,16,1.1218e+00
8,17,2.3326e+00
8,18,2.0911e-01
9,10,1.3154e+00
9,11,-9.0265e-01
9,12,2.0668e+00
9,13,-3.9194e-01
9,14,1.8866e+00
9,15,-2.7571e-01
9,16,8.7874e-03
9,17,-4.1000e-01
9,18,6.4292e-01
10,11,-5.7093e-01
10,12,-1.3238e+00
10,13,1.5166e+00
10,14,1.1091e+00
10,15,-1.7949e-01
10,16,4.3110e-01
10,17,9.2509e-01
10,18,3.0884e-01
11,12,-9.6429e-01
11,13,-1.5170e+00
11,14,-1.4004e-01
11,15,-8.2732e-01
11,16,9.6755e-01
11,17,-5.7932e-01
11,18,-8.6832e-01
12,13,-9.6325e-01
12,14,-1.1120e+00
12,15,1.7695e+00
12,16,-8.5195e-01
12,17,-8.5599e-01
12,18,1.7643e+00
13,14,1.3297e+00
13,15,-4.9013e-01
13,16,-6.4730e-01
13,17,6.3359e-01
13,18,-5.8515e-01
14,15,5.9976e-01
14,16,3.9581e-01
14,17,-3.5138e-01
14,18,-4.0230e-01
15,16,-1.2119e+00
15,17,5.5952e-01
15,18,-1.5511e-01
16,17,6.6519e-01
16,18,1.1118e-01
17,18,9.9565e-01
