n1,n2,fij
1,2,-8.4187e-01
1,3,-7.7490e-01
1,4,-2.6649e-01
1,5,6.3265e-01
1,6,-1.5153e+00
1,7,-2.4665e+00
1,8,9.1676e-01
1,9,-2.9441e+00
1,10,-2.6515e+00
1,11,-2.6817e+00
1,12,-1.7284e+00
1,13,-2.7304e+00
1,14,-1.4521e+00
1,15,-1.9792e+00
1,16,-2.9331e+00
1,17,-2.6230e+00
1,18,-3.6103e+00
2,3,1.2972e-01
2,4,6.9200e-01
2,5,-1.0075e-02
2,6,1.3247e-01
2,7,1.3971e+00
2,8,-2.7162e-01
2,9,1.5999e+00
2,10,-1.7081e+00
2,11,4.8970e-01
2,12,2.0793e-01
2,13,-2.4771e-01
2,14,-4.8572e-01
2,15,-2.1944e-01
2,16,7.0344e-01
2,17,-1.5023e-01
2,18,-3.3010e-01
3,4,1.5480e+00
3,5,3.2923e-01
3,6,2.1522e+00
3,7,-1.3047e+00
3,8,1.0494e-01
3,9,2.2156e-01
3,10,-1.6965e+00
3,11,-1.0488e+00
3,12,2.7054e-01
3,13,-1.3847e+00
3,14,-6.7423e-01
3,15,-1.1465e+00
3,16,8.6416e-01
3,17,5.6454e-01
3,18,1.8338e-01
4,5,-1.1220e+00
4,6,-1.3615e+00
4,7,2.4788e-01
4,8,-5.4684e-01
4,9,-3.4755e+00
4,10,-2.2280e+00
4,11,-2.5656e+00
4,12,-1.7720e+00
4,13,-1.9430e+00
4,14,-3.4949e+00
4,15,-1.3480e+00
4,16,-1.0509e+00
4,17,-2.2851e-01
4,18,-3.0542e+00
5,6,2.1597e-01
5,7,1.6612e-01
5,8,5.8161e-01
5,9,3.3339e-01
5,10,-1.1847e+00
5,11,8.0947e-01
5,12,-2.1606e+00
5,13,1.4888e-01
5,14,-1.9922e+00
5,15,-7.7784e-01
5,16,3.2233e-02
5,17,-3.2456e-02
5,18,-1.8065e+00
6,7,-1.3378e+00
6,8,1.9438e-02
6,9,-2.3019e-01
6,10,-1.4513e+00
6,11,-8.8721e-01
6,12,-7.8838e-01
6,13,-1.0770e+00
6,14,-1.1236e+00
6,15,-2.1462e+00
6,16,-9.7339e-01
6,17,-2.1263e+00
6,18,-5.2407e-01
7,8,4.0531e-01
7,9,1.3173e+00
7,10,6.4113e-01
7,11,3.9205e-01
7,12,-6.9097e-01
7,13,4.8151e-02
7,14,2.5488e-01
7,15,-5.2750e-01
7,16,1.0240e+00
7,17,2.5893e+00
7,18,9.2152e-01
8,9,1.4277e+00
8,10,-1.8921e-01
8,11,-5.7146e-01
8,12,-2.5603e+00
8,13,-5.6244e-01
8,14,-2.6248e-01
8,15,-3.6468e-01
8,16,1.0130e+00
8,17,7.6497e-01
8,18,-3.1082e-01
9,10,8.3873e-01
9,11,-4.7435e-02
9,12,-2.5969e-02
9,13,-8.8904e-01
9,14,-2.8418e-01
9,15,-5.5046e-01
9,16,-2.2084e+00
9,17,1.1108e+00
9,18,-2.8029e-01
10,11,1.6762e-01
10,12,9.1818e-02
10,13,-5.4029e-01
10,14,2.2418e-01
10,15,-8.1650e-01
10,16,8.1598e-01
10,17,3.1643e-01
10,18,4.3733e-01
11,12,-9.7206e-01
11,13,-1.0050e+00
11,14,-1.7492e+00
11,15,6.3025e-01
11,16,3.4883e+00
11,17,-1.8558e-01
11,18,1.3360e-01
12,13,6.7698e-01
12,14,-9.8346e-01
12,15,1.1761e+00
12,16,2.8441e-01
12,17,-8.1394e-01
12,18,2.1581e+00
13,14,1.1688e+00
13,15,1.2639e+00
13,16,-6.5964e-01
13,17,1.2654e+00
13,18,-6.8631e-01
14,15,3.4262e-01
14,16,-1.0684e+00
14,17,-1.4332e-01
14,18,-5.7510e-01
15,16,2.7411e-01
15,17,9.4592e-01
15,18,-1.3643e+00
16,17,7.1714e-01
16,18,-8.7850e-01
17,18,1.2998e+00
