n1,n2,fij
1,2,3.7874e+00
1,3,1.2625e+00
1,4,-1.9638e+00
1,5,-7.0137e-01
1,6,1.4027e+00
1,7,1.2625e+00
1,8,1.5430e+00
1,9,-9.8191e-01
1,10,-2.2444e+00
1,11,-1.4027e-01
1,12,1.1222e+00
1,13,8.4164e-01
1,14,-1.8236e+00
1,15,-1.1222e+00
1,16,-1.4027e+00
1,17,-1.9638e+00
1,18,-1.9638e+00
1,19,-1.2625e+00
1,20,-2.8055e+00
2,3,-8.4164e-01
2,4,-1.4027e+00
2,5,-9.8191e-01
2,6,0.0000e+00
2,7,-4.2082e-01
2,8,-2.8055e-01
2,9,-1.6833e+00
2,10,-1.5430e+00
2,11,-2.3846e+00
2,12,1.4027e-01
2,13,0.0000e+00
2,14,-3.5068e+00
2,15,-1.4027e+00
2,16,-2.1041e+00
2,17,-1.2625e+00
2,18,-1.2625e+00
2,19,-3.6471e+00
2,20,-1.5430e+00
3,4,5.6109e-01
3,5,0.0000e+00
3,6,-1.2625e+00
3,7,-4.2082e-01
3,8,-1.1222e+00
3,9,-3.9276e+00
3,10,-9.8191e-01
3,11,-1.1222e+00
3,12,-1.4027e+00
3,13,-8.4164e-01
3,14,-2.8055e-01
3,15,-9.8191e-01
3,16,-8.4164e-01
3,17,-2.3846e+00
3,18,-7.0137e-01
3,19,-2.8055e-01
3,20,-1.9638e+00
4,5,0.0000e+00
4,6,0.0000e+00
4,7,-1.4027e+00
4,8,2.8055e+00
4,9,4.2082e-01
4,10,-4.4887e+00
4,11,-5.1901e+00
4,12,-8.4164e-01
4,13,-1.6833e+00
4,14,-1.4027e-01
4,15,-2.2444e+00
4,16,-1.5430e+00
4,17,-2.2444e+00
4,18,-1.2625e+00
4,19,-4.2082e-01
4,20,-1.9638e+00
5,6,7.0137e-01
5,7,1.4027e-01
5,8,-8.4164e-01
5,9,-1.9638e+00
5,10,-2.1041e+00
5,11,5.6109e-01
5,12,-1.4027e-01
5,13,-1.4027e-01
5,14,-1.4027e-01
5,15,0.0000e+00
5,16,-5.6109e-01
5,17,0.0000e+00
5,18,-1.5430e+00
5,19,-1.5430e+00
5,20,-1.1222e+00
6,7,-1.8236e+00
6,8,-5.6109e-01
6,9,-7.0137e-01
6,10,-9.8191e-01
6,11,-1.9638e+00
6,12,-1.6833e+00
6,13,7.0137e-01
6,14,-8.4164e-01
6,15,-5.6109e-01
6,16,0.0000e+00
6,17,-8.4164e-01
6,18,-2.6652e+00
6,19,-2.2444e+00
6,20,-1.5430e+00
7,8,-4.2082e-01
7,9,-5.6109e-01
7,10,-9.8191e-01
7,11,4.2082e-01
7,12,5.6109e-01
7,13,-1.4027e-01
7,14,-8.4164e-01
7,15,-1.9638e+00
7,16,-4.2082e-01
7,17,-5.6109e-01
7,18,-8.4164e-01
7,19,-1.1222e+00
7,20,1.4027e-01
8,9,-1.2625e+00
8,10,-1.8236e+00
8,11,7.0137e-01
8,12,-1.4027e+00
8,13,-9.8191e-01
8,14,-1.1222e+00
8,15,-4.2082e-01
8,16,-1.4027e+00
8,17,-2.1041e+00
8,18,-1.9638e+00
8,19,-1.4027e+00
8,20,0.0000e+00
9,10,-7.0137e-01
9,11,2.8055e-01
9,12,1.4027e+00
9,13,7.0137e-01
9,14,2.8055e-01
9,15,-2.1041e+00
9,16,5.6109e-01
9,17,-1.5430e+00
9,18,-4.2082e-01
9,19,-2.6652e+00
9,20,-1.4027e-01
10,11,8.4164e-01
10,12,9.8191e-01
10,13,9.8191e-01
10,14,2.8055e-01
10,15,2.8055e-01
10,16,7.0137e-01
10,17,-1.2625e+00
10,18,8.4164e-01
10,19,-8.4164e-01
10,20,-1.1222e+00
11,12,-1.2625e+00
11,13,-1.4027e+00
11,14,1.1222e+00
11,15,-8.4164e-01
11,16,-4.2082e-01
11,17,-2.8055e-01
11,18,-1.4027e-01
11,19,-1.8236e+00
11,20,-7.0137e-01
12,13,-1.6833e+00
12,14,-1.4027e-01
12,15,-2.2444e+00
12,16,-1.1222e+00
12,17,-1.5430e+00
12,18,0.0000e+00
12,19,-4.2082e-01
12,20,-7.0137e-01
13,14,-1.1222e+00
13,15,1.4027e-01
13,16,-1.4027e-01
13,17,-1.8236e+00
13,18,0.0000e+00
13,19,5.6109e-01
13,20,5.6109e-01
14,15,-2.3846e+00
14,16,-1.8236e+00
14,17,-1.4027e-01
14,18,2.8055e-01
14,19,-2.2444e+00
14,20,1.4027e-01
15,16,2.8055e-01
15,17,1.5430e+00
15,18,-4.2082e-01
15,19,7.0137e-01
15,20,7.0137e-01
16,17,1.1222e+00
16,18,1.2625e+00
16,19,-3.2263e+00
16,20,-2.8055e-01
17,18,-1.1222e+00
17,19,-8.4164e-01
17,20,-1.4027e-01
18,19,1.4027e-01
18,20,-4.2082e-01
19,20,-4.2082e-01
