n1,n2,fij
1,2,2.8578e+00
1,3,4.4745e-01
1,4,-7.1635e-01
1,5,-5.5489e-01
1,6,8.6112e-01
1,7,5.3292e-01
1,8,2.6205e-01
1,9,9.7043e-01
1,10,-1.2517e+00
1,11,-3.1534e-01
1,12,2.2765e-01
1,13,2.5365e-01
1,14,-1.9975e+00
1,15,-1.0149e+00
1,16,-6.0632e-01
1,17,-2.6386e+00
1,18,-2.7351e+00
1,19,-1.2229e+00
1,20,-2.4272e+00
2,3,-2.4878e+00
2,4,-3.1510e+00
2,5,-2.4726e+00
2,6,-2.4123e-01
2,7,-1.7037e+00
2,8,-1.7360e+00
2,9,-9.1247e-01
2,10,-1.8853e+00
2,11,-3.5410e+00
2,12,-3.3503e+00
2,13,-1.8928e+00
2,14,-4.2601e+00
2,15,-1.8707e+00
2,16,-3.3941e+00
2,17,-2.9873e+00
2,18,-3.9540e+00
2,19,-3.3781e+00
2,20,-2.8709e+00
3,4,-2.1630e-01
3,5,-1.0898e+00
3,6,2.2599e-02
3,7,-8.6811e-01
3,8,-2.0175e+00
3,9,-6.6490e-01
3,10,-6.1899e-02
3,11,-6.6490e-01
3,12,-1.0638e+00
3,13,-7.3934e-01
3,14,-7.5864e-01
3,15,-1.2895e+00
3,16,-1.1058e+00
3,17,-2.2702e+00
3,18,-1.7765e+00
3,19,-1.2973e+00
3,20,-1.6891e+00
4,5,-6.8785e-02
4,6,5.6642e-01
4,7,4.6299e-01
4,8,1.1921e+00
4,9,2.2719e-01
4,10,-1.3495e+00
4,11,-2.7705e+00
4,12,-2.1838e+00
4,13,-1.5969e+00
4,14,-7.3117e-01
4,15,-1.2027e+00
4,16,-1.8321e+00
4,17,-1.5606e+00
4,18,-6.5428e-01
4,19,-1.3460e+00
4,20,-1.8214e+00
5,6,7.7426e-01
5,7,-4.7957e-01
5,8,-7.2934e-01
5,9,3.9674e-01
5,10,-5.4067e-01
5,11,5.4060e-01
5,12,-1.0707e+00
5,13,-1.2068e+00
5,14,-8.6191e-01
5,15,-5.7681e-01
5,16,-1.1420e+00
5,17,-1.0613e+00
5,18,-1.7404e+00
5,19,-5.2548e-01
5,20,-1.3087e+00
6,7,8.6763e-02
6,8,-7.5519e-01
6,9,-3.7484e-01
6,10,-5.6134e-02
6,11,-1.9345e+00
6,12,-9.8520e-01
6,13,-2.9797e-01
6,14,-1.9117e+00
6,15,-1.8560e-01
6,16,6.2838e-03
6,17,-1.0719e+00
6,18,-1.7667e+00
6,19,-1.7305e+00
6,20,-1.4422e+00
7,8,-9.3755e-01
7,9,-5.2460e-01
7,10,-1.7376e-01
7,11,-6.1857e-01
7,12,-5.2127e-01
7,13,-1.4315e+00
7,14,-1.3350e+00
7,15,-1.4884e+00
7,16,-2.0711e+00
7,17,-4.9292e-01
7,18,-5.9094e-01
7,19,-2.2552e+00
7,20,-7.6130e-01
8,9,6.4625e-01
8,10,-1.1579e-01
8,11,-7.8554e-01
8,12,-9.4278e-01
8,13,-3.9031e-01
8,14,-6.2997e-02
8,15,1.5749e-01
8,16,-7.5873e-01
8,17,-2.1556e+00
8,18,-4.0373e-01
8,19,-1.4082e+00
8,20,5.0594e-01
9,10,-6.0441e-01
9,11,-1.1087e+00
9,12,-1.1933e-01
9,13,-1.9020e+00
9,14,-9.6539e-01
9,15,-1.1242e+00
9,16,-6.7189e-01
9,17,-1.1717e+00
9,18,-7.3491e-01
9,19,-1.4779e+00
9,20,-9.9751e-01
10,11,-4.3846e-01
10,12,-2.9112e-02
10,13,8.7046e-01
10,14,-7.2131e-01
10,15,-4.7277e-01
10,16,8.4469e-02
10,17,-9.8041e-01
10,18,-9.8794e-01
10,19,-3.7490e-01
10,20,-1.0187e+00
11,12,-1.4424e-01
11,13,-8.4456e-01
11,14,-2.0991e-01
11,15,3.1647e-01
11,16,1.1888e-02
11,17,-1.0199e-02
11,18,-2.5382e-01
11,19,-6.8246e-01
11,20,-5.6755e-01
12,13,-1.4116e+00
12,14,-1.5741e-01
12,15,-5.7993e-01
12,16,-1.1483e-01
12,17,-1.0490e+00
12,18,1.6045e-01
12,19,-1.6625e-01
12,20,-3.3572e-01
13,14,7.5051e-01
13,15,1.0076e+00
13,16,1.0205e+00
13,17,-1.7878e-01
13,18,3.0814e-01
13,19,-1.8497e-01
13,20,-2.4543e-01
14,15,3.2265e-02
14,16,-1.0681e+00
14,17,-4.9712e-01
14,18,6.6099e-02
14,19,-8.9221e-01
14,20,5.0744e-01
15,16,-1.0295e+00
15,17,2.5205e-01
15,18,-3.9370e-01
15,19,-6.6142e-01
15,20,-4.1519e-01
16,17,-5.7635e-03
16,18,5.6577e-01
16,19,-1.0124e+00
16,20,-3.3828e-01
17,18,-1.3271e-01
17,19,-1.3441e+00
17,20,7.9387e-02
18,19,1.0597e-01
18,20,3.1490e-01
19,20,-5.7663e-01
