n1,n2,fij
1,2,4.1026e+00
1,3,-1.0256e+00
1,4,-3.4188e-01
1,5,-3.4188e-01
1,6,6.8376e-01
1,7,-1.0256e+00
1,8,0.0000e+00
1,9,-1.0256e+00
1,10,-1.3675e+00
1,11,-1.0256e+00
1,12,-1.3675e+00
1,13,-3.4188e-01
1,14,-1.3675e+00
1,15,-3.4188e-01
1,16,-3.0769e+00
1,17,-1.0256e+00
1,18,-1.7094e+00
1,19,-2.3932e+00
1,20,-3.4188e-01
2,3,-2.0513e+00
2,4,-1.7094e+00
2,5,-2.7350e+00
2,6,-1.0256e+00
2,7,6.8376e-01
2,8,1.7094e+00
2,9,-3.4188e+00
2,10,-1.3675e+00
2,11,-1.7094e+00
2,12,-2.0513e+00
2,13,1.0256e+00
2,14,-5.4701e+00
2,15,-6.8376e-01
2,16,-4.1026e+00
2,17,-4.1026e+00
2,18,-2.7350e+00
2,19,-3.7607e+00
2,20,-3.0769e+00
3,4,0.0000e+00
3,5,-3.4188e-01
3,6,1.3675e+00
3,7,-3.4188e-01
3,8,-6.8376e-01
3,9,-2.7350e+00
3,10,0.0000e+00
3,11,-1.3675e+00
3,12,-2.3932e+00
3,13,3.4188e-01
3,14,6.8376e-01
3,15,-1.3675e+00
3,16,-6.8376e-01
3,17,-2.0513e+00
3,18,-2.3932e+00
3,19,-1.0256e+00
3,20,-6.8376e-01
4,5,2.0513e+00
4,6,-3.4188e-01
4,7,1.0256e+00
4,8,3.4188e+00
4,9,-3.4188e-01
4,10,-2.7350e+00
4,11,1.0256e+00
4,12,-1.0256e+00
4,13,-6.8376e-01
4,14,-1.7094e+00
4,15,-1.0256e+00
4,16,-4.4444e+00
4,17,-2.3932e+00
4,18,0.0000e+00
4,19,-1.0256e+00
4,20,-6.8376e-01
5,6,-1.0256e+00
5,7,6.8376e-01
5,8,6.8376e-01
5,9,-6.8376e-01
5,10,-1.0256e+00
5,11,-3.4188e-01
5,12,-4.7863e+00
5,13,-6.8376e-01
5,14,-6.8376e-01
5,15,-1.3675e+00
5,16,-1.0256e+00
5,17,-2.0513e+00
5,18,-2.3932e+00
5,19,-3.7607e+00
5,20,-1.3675e+00
6,7,1.0256e+00
6,8,-3.4188e-01
6,9,-1.3675e+00
6,10,6.8376e-01
6,11,-1.0256e+00
6,12,0.0000e+00
6,13,-1.0256e+00
6,14,-6.8376e-01
6,15,-1.3675e+00
6,16,-6.8376e-01
6,17,-2.0513e+00
6,18,-2.0513e+00
6,19,-2.0513e+00
6,20,-2.0513e+00
7,8,0.0000e+00
7,9,-1.3675e+00
7,10,-1.3675e+00
7,11,-1.0256e+00
7,12,3.4188e-01
7,13,-1.7094e+00
7,14,-3.4188e-01
7,15,-2.0513e+00
7,16,-1.0256e+00
7,17,-1.0256e+00
7,18,6.8376e-01
7,19,-2.0513e+00
7,20,-3.4188e-01
8,9,-1.3675e+00
8,10,-6.8376e-01
8,11,-1.7094e+00
8,12,-1.7094e+00
8,13,3.4188e-01
8,14,-1.0256e+00
8,15,1.0256e+00
8,16,-1.3675e+00
8,17,-2.0513e+00
8,18,3.4188e-01
8,19,-2.3932e+00
8,20,-1.0256e+00
9,10,1.7094e+00
9,11,1.7094e+00
9,12,1.0256e+00
9,13,6.8376e-01
9,14,-1.0256e+00
9,15,-6.8376e-01
9,16,-1.3675e+00
9,17,1.0256e+00
9,18,1.0256e+00
9,19,-1.7094e+00
9,20,2.7350e+00
10,11,6.8376e-01
10,12,-3.4188e-01
10,13,1.0256e+00
10,14,-1.0256e+00
10,15,1.3675e+00
10,16,-6.8376e-01
10,17,-6.8376e-01
10,18,3.4188e-01
10,19,6.8376e-01
10,20,6.8376e-01
11,12,1.3675e+00
11,13,-1.3675e+00
11,14,-1.0256e+00
11,15,1.7094e+00
11,16,1.3675e+00
11,17,-3.4188e-01
11,18,6.8376e-01
11,19,3.4188e-01
11,20,-6.8376e-01
12,13,-1.0256e+00
12,14,1.7094e+00
12,15,3.4188e-01
12,16,-2.0513e+00
12,17,-1.3675e+00
12,18,3.4188e-01
12,19,-1.3675e+00
12,20,-1.0256e+00
13,14,-3.4188e-01
13,15,-6.8376e-01
13,16,0.0000e+00
13,17,-3.4188e-01
13,18,-2.7350e+00
13,19,-3.0769e+00
13,20,6.8376e-01
14,15,3.4188e-01
14,16,-1.3675e+00
14,17,3.4188e-01
14,18,-6.8376e-01
14,19,-3.4188e+00
14,20,6.8376e-01
15,16,-3.4188e-01
15,17,3.4188e-01
15,18,-6.8376e-01
15,19,-1.0256e+00
15,20,6.8376e-01
16,17,-1.0256e+00
16,18,1.3675e+00
16,19,-1.0256e+00
16,20,0.0000e+00
17,18,-3.4188e-01
17,19,-2.3932e+00
17,20,-3.4188e-01
18,19,-2.0513e+00
18,20,-1.0256e+00
19,20,0.0000e+00
