n1,n2,fij
1,2,-1.5107e+00
1,3,2.6093e+00
1,4,4.1200e-01
1,5,-1.0987e+00
1,6,-1.3733e-01
1,7,-9.6133e-01
1,8,-5.4933e-01
1,9,1.6480e+00
1,10,8.2400e-01
1,11,1.0987e+00
1,12,-2.7467e-01
1,13,5.4933e-01
1,14,-5.4933e-01
1,15,0.0000e+00
1,16,1.5107e+00
1,17,-4.1200e-01
1,18,6.8666e-01
1,19,-2.7467e-01
1,20,-1.2360e+00
2,3,3.5707e+00
2,4,4.1200e-01
2,5,1.3733e-01
2,6,1.3733e-01
2,7,4.1200e-01
2,8,1.5107e+00
2,9,2.6093e+00
2,10,6.8666e-01
2,11,4.1200e-01
2,12,5.4933e-01
2,13,1.3733e+00
2,14,-5.4933e-01
2,15,4.1200e-01
2,16,2.7467e-01
2,17,-1.3733e-01
2,18,1.7853e+00
2,19,2.7467e-01
2,20,-6.8666e-01
3,4,-6.8666e-01
3,5,-2.6093e+00
3,6,-2.8840e+00
3,7,-2.7467e+00
3,8,-5.4933e-01
3,9,-4.1200e-01
3,10,-1.6480e+00
3,11,4.1200e-01
3,12,-1.2360e+00
3,13,-5.4933e-01
3,14,-1.6480e+00
3,15,-3.5707e+00
3,16,-3.9827e+00
3,17,0.0000e+00
3,18,-2.1973e+00
3,19,-1.6480e+00
3,20,-1.2360e+00
4,5,-4.1200e-01
4,6,-6.8666e-01
4,7,1.3733e+00
4,8,-3.4333e+00
4,9,-5.4933e-01
4,10,8.2400e-01
4,11,2.7467e-01
4,12,1.7853e+00
4,13,-8.2400e-01
4,14,-2.7467e-01
4,15,6.8666e-01
4,16,1.7853e+00
4,17,9.6133e-01
4,18,1.2360e+00
4,19,1.3733e-01
4,20,1.9227e+00
5,6,2.7467e-01
5,7,1.7853e+00
5,8,9.6133e-01
5,9,1.0987e+00
5,10,6.8666e-01
5,11,3.5707e+00
5,12,1.9227e+00
5,13,1.6480e+00
5,14,-2.1973e+00
5,15,1.2360e+00
5,16,8.2400e-01
5,17,1.3733e-01
5,18,2.6093e+00
5,19,-4.1200e-01
5,20,-1.5107e+00
6,7,6.8666e-01
6,8,-1.3733e-01
6,9,2.0600e+00
6,10,1.0987e+00
6,11,2.4720e+00
6,12,2.7467e-01
6,13,1.3733e-01
6,14,5.4933e-01
6,15,-4.1200e-01
6,16,9.6133e-01
6,17,-2.4720e+00
6,18,-1.7853e+00
6,19,1.3733e-01
6,20,-1.3733e-01
7,8,9.6133e-01
7,9,-1.2360e+00
7,10,1.3733e+00
7,11,1.9227e+00
7,12,5.4933e-01
7,13,6.8666e-01
7,14,-1.0987e+00
7,15,-1.5107e+00
7,16,1.6480e+00
7,17,-1.3733e-01
7,18,-2.7467e-01
7,19,0.0000e+00
7,20,2.7467e-01
8,9,1.0987e+00
8,10,4.1200e-01
8,11,-1.3733e-01
8,12,1.3733e+00
8,13,1.3733e-01
8,14,1.3733e-01
8,15,-2.7467e-01
8,16,6.8666e-01
8,17,1.3733e+00
8,18,1.5107e+00
8,19,1.0987e+00
8,20,-2.1973e+00
9,10,0.0000e+00
9,11,-1.0987e+00
9,12,-4.1200e-01
9,13,-1.6480e+00
9,14,-2.1973e+00
9,15,-3.5707e+00
9,16,-2.6093e+00
9,17,-4.1200e-01
9,18,-4.5320e+00
9,19,-8.2400e-01
9,20,-1.5107e+00
10,11,-1.9227e+00
10,12,-4.1200e-01
10,13,1.2360e+00
10,14,0.0000e+00
10,15,5.4933e-01
10,16,0.0000e+00
10,17,1.3733e+00
10,18,2.0600e+00
10,19,4.1200e-01
10,20,2.7467e-01
11,12,1.3733e-01
11,13,-2.1973e+00
11,14,-1.3733e-01
11,15,-1.7853e+00
11,16,-1.3733e-01
11,17,-1.3733e-01
11,18,-2.7467e-01
11,19,-1.9227e+00
11,20,-2.7467e+00
12,13,2.0600e+00
12,14,-1.2360e+00
12,15,-3.1587e+00
12,16,1.9227e+00
12,17,0.0000e+00
12,18,-6.8666e-01
12,19,-2.6093e+00
12,20,-4.1200e-01
13,14,-2.3347e+00
13,15,-1.0987e+00
13,16,1.3733e+00
13,17,-6.8666e-01
13,18,1.9227e+00
13,19,1.5107e+00
13,20,-4.1200e-01
14,15,8.2400e-01
14,16,8.2400e-01
14,17,5.4933e-01
14,18,8.2400e-01
14,19,-6.8666e-01
14,20,6.8666e-01
15,16,2.7467e-01
15,17,-1.0987e+00
15,18,-4.5320e+00
15,19,1.3733e-01
15,20,1.0987e+00
16,17,6.8666e-01
16,18,-5.4933e-01
16,19,-6.8666e-01
16,20,-4.1200e-01
17,18,5.4933e-01
17,19,4.1200e-01
17,20,-8.2400e-01
18,19,4.1200e-01
18,20,4.1200e-01
19,20,8.2400e-01
