n1,n2,fij
1,2,-1.3271e+00
1,3,3.1413e-01
1,4,-1.1216e+00
1,5,-9.3832e-01
1,6,-8.2142e-02
1,7,-3.7033e-01
1,8,-2.4224e+00
1,9,-3.7373e-01
1,10,-5.3152e-01
1,11,2.3455e-01
1,12,-1.6377e+00
1,13,-5.8955e-01
1,14,-1.7327e+00
1,15,-1.7373e+00
1,16,-9.9340e-01
1,17,-1.0423e+00
1,18,-8.2299e-01
1,19,-1.2789e-01
1,20,-1.9955e+00
2,3,1.3429e+00
2,4,-2.8126e-02
2,5,5.4417e-01
2,6,1.4590e+00
2,7,7.0035e-01
2,8,8.4647e-02
2,9,8.7133e-01
2,10,2.9990e-01
2,11,8.3134e-03
2,12,-4.0744e-01
2,13,1.1475e+00
2,14,-6.7177e-01
2,15,-5.4219e-01
2,16,5.9889e-01
2,17,-9.9476e-01
2,18,3.9831e-01
2,19,-9.2261e-02
2,20,-2.4629e-01
3,4,-3.2743e-01
3,5,-5.7446e-01
3,6,-6.1645e-01
3,7,-6.1730e-01
3,8,-1.5694e+00
3,9,-6.2765e-01
3,10,-6.6487e-01
3,11,3.2162e-03
3,12,-9.5332e-01
3,13,1.4888e-01
3,14,-1.6432e+00
3,15,-1.9981e+00
3,16,-1.2423e+00
3,17,-6.4323e-01
3,18,-1.6516e+00
3,19,-4.3830e-01
3,20,-8.3558e-01
4,5,-9.5352e-02
4,6,7.4420e-01
4,7,4.6772e-01
4,8,-1.9987e+00
4,9,-7.2221e-02
4,10,1.8751e-01
4,11,1.1090e+00
4,12,9.5787e-03
4,13,6.5695e-01
4,14,-7.0984e-01
4,15,-5.1084e-01
4,16,1.3595e+00
4,17,-1.9873e-01
4,18,5.7592e-02
4,19,1.5334e-01
4,20,-9.0794e-01
5,6,1.5180e-01
5,7,2.7410e-01
5,8,-8.5236e-01
5,9,1.6410e-01
5,10,-7.7274e-01
5,11,4.1664e-01
5,12,-1.5184e-01
5,13,1.2368e+00
5,14,-1.2418e+00
5,15,-9.2941e-01
5,16,5.7570e-01
5,17,-2.9120e-01
5,18,1.4085e-01
5,19,1.7325e-02
5,20,-1.1221e+00
6,7,1.2162e-01
6,8,-1.1129e+00
6,9,5.8284e-02
6,10,-1.3553e-01
6,11,2.0796e-01
6,12,-1.0600e+00
6,13,9.4336e-02
6,14,-4.3626e-01
6,15,-1.0563e+00
6,16,-2.7188e-01
6,17,-1.4248e+00
6,18,-1.3464e+00
6,19,-2.3870e-01
6,20,-4.5091e-01
7,8,-6.9149e-01
7,9,-1.3801e+00
7,10,2.1675e-01
7,11,1.9023e-01
7,12,1.9385e-01
7,13,-3.0835e-01
7,14,-8.4075e-01
7,15,-6.3887e-01
7,16,-1.2109e+00
7,17,-7.4515e-01
7,18,-7.6376e-01
7,19,8.2862e-02
7,20,2.6831e-01
8,9,1.4504e+00
8,10,1.3666e-01
8,11,5.8327e-01
8,12,3.1386e-01
8,13,1.1321e+00
8,14,-4.0821e-02
8,15,-1.0298e-01
8,16,9.1713e-02
8,17,6.6435e-01
8,18,6.3054e-01
8,19,1.0407e+00
8,20,-1.5014e-01
9,10,1.9202e+00
9,11,1.0245e+00
9,12,-2.5398e-01
9,13,-5.2848e-01
9,14,-1.5658e+00
9,15,-2.0777e+00
9,16,-8.5976e-01
9,17,-6.1704e-01
9,18,-1.1497e+00
9,19,1.4508e-01
9,20,-5.5693e-01
10,11,-1.2834e+00
10,12,-9.6603e-01
10,13,6.8798e-01
10,14,-1.6722e-01
10,15,1.7759e-01
10,16,1.5950e-01
10,17,5.6559e-01
10,18,4.1838e-01
10,19,7.9848e-01
10,20,1.8731e-01
11,12,-9.8566e-01
11,13,5.0879e-01
11,14,-6.2751e-01
11,15,-1.0251e+00
11,16,-4.7250e-01
11,17,-1.8475e+00
11,18,-7.8978e-01
11,19,2.9449e-01
11,20,-1.5334e+00
12,13,1.7231e+00
12,14,-3.0185e-01
12,15,-1.3404e+00
12,16,6.3984e-01
12,17,-2.6949e-01
12,18,1.2115e+00
12,19,3.5413e-01
12,20,-1.6027e-01
13,14,-1.7194e+00
13,15,-1.2230e+00
13,16,4.7985e-01
13,17,-1.1108e+00
13,18,5.0031e-01
13,19,-5.7835e-01
13,20,-8.3544e-01
14,15,2.1677e-01
14,16,5.7893e-01
14,17,-1.1855e-01
14,18,1.9778e-01
14,19,4.5623e-01
14,20,9.6181e-01
15,16,-5.9613e-01
15,17,-6.7346e-02
15,18,-2.6298e-01
15,19,3.5772e-01
15,20,4.6938e-01
16,17,-2.1096e-01
16,18,-6.7105e-01
16,19,-8.9311e-01
16,20,-8.7641e-01
17,18,6.4934e-01
17,19,1.2101e+00
17,20,-4.8262e-01
18,19,7.6576e-01
18,20,-2.0580e-01
19,20,-8.4733e-01
