n1,n2,fij
1,2,-2.4417e+00
1,3,7.4683e-02
1,4,-2.2164e+00
1,5,-1.8519e+00
1,6,-2.1384e+00
1,7,-1.0553e+00
1,8,-2.6152e+00
1,9,9.1520e-01
1,10,-1.3790e+00
1,11,-5.4387e-01
1,12,-2.3078e+00
1,13,-1.1124e+00
1,14,-3.7221e+00
1,15,-2.2001e+00
1,16,-6.4073e-01
1,17,-1.6768e+00
1,18,-1.5662e+00
1,19,-1.2329e+00
1,20,-2.8075e+00
2,3,1.8813e+00
2,4,-4.0782e-01
2,5,9.0808e-01
2,6,9.6336e-01
2,7,1.4819e+00
2,8,-6.6237e-02
2,9,1.7814e+00
2,10,-7.1574e-01
2,11,-4.9751e-01
2,12,-1.7588e-01
2,13,7.5673e-01
2,14,-1.3724e+00
2,15,-1.8219e-01
2,16,-3.9423e-01
2,17,-1.1808e+00
2,18,5.5429e-01
2,19,8.3960e-01
2,20,-7.9123e-01
3,4,-1.1344e+00
3,5,-1.4483e+00
3,6,-9.5067e-01
3,7,-1.6028e+00
3,8,-2.2612e+00
3,9,2.0357e-01
3,10,-1.4145e+00
3,11,-6.2303e-01
3,12,-2.2125e+00
3,13,-9.7042e-01
3,14,-1.9327e+00
3,15,-2.0878e+00
3,16,-2.5372e+00
3,17,-6.7133e-01
3,18,-1.5637e+00
3,19,-1.9051e+00
3,20,-7.5807e-01
4,5,-1.8600e-01
4,6,5.6682e-01
4,7,1.0618e+00
4,8,-1.0217e+00
4,9,-6.4892e-02
4,10,1.4828e-01
4,11,8.4598e-01
4,12,5.5541e-01
4,13,-2.5612e-02
4,14,-2.4222e-01
4,15,-1.8196e-01
4,16,2.1481e-01
4,17,4.1676e-01
4,18,-2.0140e-01
4,19,8.5735e-01
4,20,2.0353e-01
5,6,4.2341e-02
5,7,1.3285e+00
5,8,-2.6350e-01
5,9,-1.8007e-03
5,10,-2.9365e-01
5,11,1.4233e+00
5,12,6.4333e-02
5,13,1.4410e+00
5,14,-1.6603e+00
5,15,-1.0084e-01
5,16,4.0121e-01
5,17,-7.6933e-01
5,18,2.2010e-01
5,19,2.8497e-01
5,20,-7.0940e-01
6,7,6.8882e-01
6,8,-1.1560e+00
6,9,3.6923e-01
6,10,3.2408e-01
6,11,1.0941e+00
6,12,-1.3142e+00
6,13,4.8903e-01
6,14,6.3237e-02
6,15,-8.2069e-01
6,16,2.7740e-01
6,17,-1.3988e+00
6,18,-1.0903e+00
6,19,3.1130e-01
6,20,-2.9271e-01
7,8,-1.1187e+00
7,9,-3.6440e-01
7,10,-1.0074e-01
7,11,2.6387e-02
7,12,4.5845e-01
7,13,-1.0231e+00
7,14,-3.3734e-01
7,15,-1.0788e+00
7,16,1.5153e-01
7,17,-4.7110e-01
7,18,-2.0960e+00
7,19,-5.0858e-02
7,20,-7.1291e-01
8,9,1.1774e+00
8,10,-7.1656e-02
8,11,4.8884e-01
8,12,1.9130e-01
8,13,3.7944e-01
8,14,1.0058e-01
8,15,1.1749e-01
8,16,-2.8030e-01
8,17,6.3979e-01
8,18,1.0979e+00
8,19,1.1026e+00
8,20,-8.1527e-01
9,10,-2.8351e-01
9,11,-1.3854e+00
9,12,-7.4963e-01
9,13,-1.5833e+00
9,14,-1.4014e+00
9,15,-2.6864e+00
9,16,-1.9441e+00
9,17,-1.0018e+00
9,18,-2.1981e+00
9,19,-9.5037e-01
9,20,-9.0539e-01
10,11,-7.1291e-01
10,12,-1.0690e+00
10,13,8.8361e-01
10,14,3.2838e-01
10,15,7.4075e-01
10,16,-1.1215e-01
10,17,3.1514e-01
10,18,1.4712e+00
10,19,5.6849e-01
10,20,-1.5583e-02
11,12,-3.3473e-01
11,13,-6.8893e-02
11,14,-8.6467e-01
11,15,-5.4623e-01
11,16,-1.2644e-01
11,17,-5.6792e-01
11,18,-6.6616e-01
11,19,-7.6217e-01
11,20,-1.3953e+00
12,13,9.1497e-01
12,14,-4.3251e-01
12,15,-1.3219e+00
12,16,1.1307e+00
12,17,-5.0867e-01
12,18,7.7079e-01
12,19,2.2442e-01
12,20,-4.3148e-01
13,14,-1.6134e+00
13,15,-3.2490e-01
13,16,6.8724e-01
13,17,-6.2046e-01
13,18,1.8690e-01
13,19,1.0455e+00
13,20,-2.3754e-01
14,15,4.8558e-01
14,16,9.5586e-01
14,17,4.6907e-02
14,18,-5.2329e-02
14,19,7.0268e-01
14,20,5.6878e-01
15,16,-5.6497e-01
15,17,-6.6156e-01
15,18,-1.8553e+00
15,19,1.7412e+00
15,20,1.5751e-01
16,17,-2.1044e-01
16,18,-6.0956e-01
16,19,5.0024e-01
16,20,-1.0255e+00
17,18,1.8953e-01
17,19,2.3983e-01
17,20,-7.0263e-01
18,19,7.4562e-01
18,20,2.7926e-01
19,20,-6.8027e-01
