n1,n2,fij
1,2,-1.6618e+00
1,3,-4.8064e-01
1,4,-1.7694e+00
1,5,-1.1334e+00
1,6,-1.1967e+00
1,7,-1.4304e+00
1,8,-3.1262e+00
1,9,3.4767e-01
1,10,-8.8472e-01
1,11,-2.8435e-01
1,12,-2.2190e+00
1,13,-6.3433e-01
1,14,-2.3813e+00
1,15,-1.8247e+00
1,16,-6.2166e-01
1,17,-1.7597e+00
1,18,-8.8587e-01
1,19,-7.6902e-01
1,20,-2.0998e+00
2,3,2.0175e+00
2,4,2.4809e-01
2,5,1.5599e-01
2,6,1.6831e+00
2,7,1.4690e+00
2,8,7.1952e-02
2,9,1.6842e+00
2,10,-2.0146e-01
2,11,-1.0764e-01
2,12,-2.1183e-01
2,13,9.5955e-01
2,14,-1.4828e+00
2,15,-3.5631e-01
2,16,-4.9503e-01
2,17,-1.0954e+00
2,18,6.5505e-01
2,19,7.8859e-02
2,20,-3.5055e-01
3,4,-5.1402e-01
3,5,-1.6509e+00
3,6,-8.9853e-01
3,7,-1.4782e+00
3,8,-2.1280e+00
3,9,2.1125e-01
3,10,-1.1996e+00
3,11,-3.8566e-02
3,12,-1.7982e+00
3,13,-6.0958e-01
3,14,-1.7171e+00
3,15,-2.3761e+00
3,16,-2.3675e+00
3,17,-4.0638e-01
3,18,-1.0021e+00
3,19,-4.8006e-01
3,20,-9.3192e-01
4,5,-2.0089e-01
4,6,1.0689e+00
4,7,1.1052e+00
4,8,-2.0026e+00
4,9,-4.7891e-01
4,10,4.1329e-01
4,11,8.1392e-01
4,12,2.0146e-02
4,13,5.5835e-01
4,14,-4.4207e-01
4,15,-7.3448e-01
4,16,4.3229e-01
4,17,2.3025e-02
4,18,2.6996e-01
4,19,9.0659e-01
4,20,-4.0063e-01
5,6,-4.3344e-01
5,7,5.6871e-01
5,8,-4.4034e-01
5,9,-1.0822e-01
5,10,-5.1230e-01
5,11,1.1685e+00
5,12,-2.0722e-01
5,13,1.3130e+00
5,14,-1.2715e+00
5,15,6.4469e-02
5,16,3.3098e-01
5,17,-3.8278e-01
5,18,1.6520e-01
5,19,4.3689e-01
5,20,-4.9100e-01
6,7,5.0078e-01
6,8,-1.2399e+00
6,9,-2.2276e-01
6,10,2.4751e-02
6,11,7.7535e-01
6,12,-1.2571e+00
6,13,1.2721e-01
6,14,2.0722e-02
6,15,-8.4097e-01
6,16,-5.5317e-01
6,17,-1.1138e+00
6,18,-1.0044e+00
6,19,-8.1162e-02
6,20,-5.5835e-02
7,8,-8.4673e-01
7,9,-1.0240e+00
7,10,4.5358e-01
7,11,-5.8713e-02
7,12,-3.4191e-01
7,13,-1.5657e-01
7,14,-9.5667e-01
7,15,-8.1449e-01
7,16,-1.0419e-01
7,17,-7.9089e-01
7,18,-1.3199e+00
7,19,2.2334e-01
7,20,-6.7174e-01
8,9,1.2905e+00
8,10,-1.4390e-02
8,11,2.8838e-01
8,12,3.6033e-01
8,13,8.8990e-01
8,14,1.4045e-01
8,15,-1.0016e-01
8,16,4.6855e-01
8,17,3.7300e-01
8,18,7.3909e-01
8,19,1.6912e+00
8,20,-8.1680e-01
9,10,7.1203e-01
9,11,-3.6897e-01
9,12,-7.8859e-01
9,13,-1.6520e-01
9,14,-1.2836e+00
9,15,-1.9795e+00
9,16,-1.6359e+00
9,17,-1.0545e+00
9,18,-1.5668e+00
9,19,4.0696e-01
9,20,-1.0350e+00
10,11,-1.2733e+00
10,12,-5.7446e-01
10,13,9.1120e-01
10,14,-2.5327e-02
10,15,5.6871e-01
10,16,1.4275e-01
10,17,9.9409e-01
10,18,8.8587e-01
10,19,9.6646e-01
10,20,-2.9702e-01
11,12,-7.5866e-01
11,13,3.2234e-02
11,14,-1.6037e+00
11,15,-1.2554e+00
11,16,-7.4254e-02
11,17,-1.6560e+00
11,18,-6.6541e-01
11,19,-3.8566e-02
11,20,-1.6463e+00
12,13,1.5064e+00
12,14,-1.2520e+00
12,15,-1.0482e+00
12,16,1.2307e+00
12,17,-4.6970e-01
12,18,1.5818e+00
12,19,4.0293e-02
12,20,-1.9513e-01
13,14,-2.0941e+00
13,15,-7.9492e-01
13,16,7.6729e-01
13,17,-1.5703e+00
13,18,8.2140e-01
13,19,-2.1586e-01
13,20,-6.4181e-01
14,15,2.6939e-01
14,16,7.8744e-01
14,17,7.8859e-02
14,18,6.3720e-01
14,19,7.3276e-01
14,20,2.1816e-01
15,16,-6.0037e-01
15,17,-4.0351e-01
15,18,-1.2664e+00
15,19,5.6007e-01
15,20,9.7854e-03
16,17,-4.6970e-01
16,18,-4.0581e-01
16,19,-3.4652e-01
16,20,-7.4427e-01
17,18,5.2208e-01
17,19,1.5041e+00
17,20,-6.2166e-01
18,19,6.7404e-01
18,20,-1.0937e-01
19,20,-8.7839e-01
